step_idx,avg_winning,avg_diff,avg_score,loss_train
150,0.45,0.01015,4.52516,0.033
300,0.63,-0.2034,6.34545,0.061
450,0.635,-0.17601,6.39561,0.091
600,0.66,-0.14128,6.65205,0.12
750,0.635,-0.08586,6.39873,0.143
900,0.555,-0.04159,5.58914,0.167
1050,0.38,-0.21411,3.8185,0.182
1200,0.43,-0.12018,4.32343,0.192
1350,0.59,-0.11934,5.94341,0.209
1500,0.49,-0.07586,4.92986,0.22
1650,0.46,-0.15154,4.62643,0.229
1800,0.46,-0.1118,4.62642,0.242
1950,0.465,-0.00521,4.67398,0.261
2100,0.525,-0.19333,5.28237,0.266
2250,0.36,-0.03164,3.61692,0.265
