Game start! 
Dice => [4, 5]
Dice => [4, 5]
Dice => [2, 1]
Dice => [3, 1]
Dice => [2, 1]
Dice => [1, 3]
Dice => [3, 3]
Dice => [4, 1]
Dice => [5, 4]
Dice => [6, 2]
Dice => [4, 6]
Dice => [5, 6]
Dice => [3, 2]
Dice => [6, 5]
Dice => [6, 1]
Dice => [2, 4]
Dice => [4, 6]
Dice => [5, 4]
Dice => [3, 6]
Dice => [2, 6]
Community_chest Card => doctor_fee
Dice => [6, 6]
Dice => [1, 4]
Dice => [3, 1]
Dice => [1, 4]
Dice => [3, 1]
Chance Card => go_to_st_charles
Dice => [1, 5]
Community_chest Card => grand_opera_night
Dice => [6, 4]
Dice => [3, 5]
Dice => [3, 4]
Community_chest Card => bank_error
Dice => [2, 4]
Dice => [2, 2]
Dice => [5, 2]
Dice => [4, 6]
Dice => [1, 5]
Dice => [6, 4]
Dice => [4, 3]
Dice => [6, 6]
Dice => [1, 1]
Dice => [3, 5]
Dice => [3, 3]
Dice => [1, 6]
Chance Card => advance_to_go
Dice => [2, 6]
Dice => [1, 4]
Dice => [2, 6]
Dice => [4, 4]
Dice => [1, 5]
Dice => [4, 5]
Dice => [4, 1]
Dice => [6, 4]
Dice => [1, 5]
Dice => [4, 1]
Dice => [4, 3]
Community_chest Card => win_beauty_contest
Dice => [3, 5]
Dice => [6, 2]
Community_chest Card => consultancy_fee
Dice => [5, 1]
Dice => [5, 1]
Mediterranean-Avenue is located at 1
Mediterranean-Avenue is classified as real_estate
Mediterranean-Avenue is colored as Brown
Mediterranean-Avenue is price-1-house at 50
Mediterranean-Avenue is rented-1-hotel at 250
Mediterranean-Avenue is rented-0-house at 2
Mediterranean-Avenue is rented-1-house at 10
Mediterranean-Avenue is rented-2-house at 30
Mediterranean-Avenue is rented-3-house at 90
Mediterranean-Avenue is rented-4-house at 160
Mediterranean-Avenue is mortgaged at 30
Mediterranean-Avenue is priced at 60
Community-Chest is located at 2
Community-Chest is classified as action
Baltic-Avenue is located at 3
Baltic-Avenue is classified as real_estate
Baltic-Avenue is colored as Brown
Baltic-Avenue is price-1-house at 50
Baltic-Avenue is rented-1-hotel at 450
Baltic-Avenue is rented-0-house at 4
Baltic-Avenue is rented-1-house at 20
Baltic-Avenue is rented-2-house at 60
Baltic-Avenue is rented-3-house at 180
Baltic-Avenue is rented-4-house at 320
Baltic-Avenue is mortgaged at 30
Baltic-Avenue is priced at 60
Income-Tax is located at 4
Income-Tax is classified as tax
Income-Tax is cost at 200
Reading-Railroad is located at 5
Reading-Railroad is classified as railroad
Reading-Railroad is mortgaged at 100
Reading-Railroad is priced at 200
Oriental-Avenue is located at 6
Oriental-Avenue is classified as real_estate
Oriental-Avenue is colored as SkyBlue
Oriental-Avenue is price-1-house at 50
Oriental-Avenue is rented-1-hotel at 550
Oriental-Avenue is rented-0-house at 6
Oriental-Avenue is rented-1-house at 30
Oriental-Avenue is rented-2-house at 90
Oriental-Avenue is rented-3-house at 270
Oriental-Avenue is rented-4-house at 400
Oriental-Avenue is mortgaged at 50
Oriental-Avenue is priced at 100
Vermont-Avenue is located at 8
Vermont-Avenue is classified as real_estate
Vermont-Avenue is colored as SkyBlue
Vermont-Avenue is price-1-house at 50
Vermont-Avenue is rented-1-hotel at 550
Vermont-Avenue is rented-0-house at 6
Vermont-Avenue is rented-1-house at 30
Vermont-Avenue is rented-2-house at 90
Vermont-Avenue is rented-3-house at 270
Vermont-Avenue is rented-4-house at 400
Vermont-Avenue is mortgaged at 50
Vermont-Avenue is priced at 100
Connecticut-Avenue is located at 9
Connecticut-Avenue is classified as real_estate
Connecticut-Avenue is colored as SkyBlue
Connecticut-Avenue is price-1-house at 50
Connecticut-Avenue is rented-1-hotel at 600
Connecticut-Avenue is rented-0-house at 8
Connecticut-Avenue is rented-1-house at 40
Connecticut-Avenue is rented-2-house at 100
Connecticut-Avenue is rented-3-house at 300
Connecticut-Avenue is rented-4-house at 450
Connecticut-Avenue is mortgaged at 60
Connecticut-Avenue is priced at 120
In-Jail/Just-Visiting is located at 10
In-Jail/Just-Visiting is classified as do_nothing
St.-Charles-Place is located at 11
St.-Charles-Place is classified as real_estate
St.-Charles-Place is colored as Orchid
St.-Charles-Place is price-1-house at 10
St.-Charles-Place is rented-1-hotel at 750
St.-Charles-Place is rented-0-house at 10
St.-Charles-Place is rented-1-house at 50
St.-Charles-Place is rented-2-house at 150
St.-Charles-Place is rented-3-house at 450
