loss_train,avg_score,avg_winning,step_idx,avg_score_no,avg_diff
0.07,0.23179,0.205,300,0.02679,0.0
0.058,0.22748,0.2,600,0.02748,0.03
0.021,0.22281,0.195,900,0.02781,0.03
-0.015,0.23807,0.21,1200,0.02807,0.045
0.056,0.23816,0.21,1500,0.02816,0.035
0.04,0.28907,0.26,1800,0.02907,0.045
0.017,0.25307,0.225,2100,0.02807,0.055
0.046,0.27848,0.25,2400,0.02848,0.03
0.052,0.24265,0.215,2700,0.02765,0.045
0.026,0.22788,0.2,3000,0.02788,0.04
0.002,0.20139,0.175,3300,0.02639,0.025
0.036,0.21175,0.185,3600,0.02675,0.065
0.023,0.21213,0.185,3900,0.02713,0.055
0.029,0.19267,0.165,4200,0.02767,0.045
0.026,0.19752,0.17,4500,0.02752,0.035
0.023,0.17654,0.15,4800,0.02654,0.045
-0.007,0.17205,0.145,5100,0.02705,0.035
-0.001,0.20217,0.175,5400,0.02717,0.05
0.055,0.21718,0.19,5700,0.02718,0.02
0.056,0.19137,0.165,6000,0.02637,0.04
0.035,0.20768,0.18,6300,0.02768,0.035
0.028,0.2025,0.175,6600,0.0275,0.03
0.032,0.23362,0.205,6900,0.02862,0.025
0.012,0.24405,0.215,7200,0.02905,0.035
-0.014,0.21356,0.185,7500,0.02856,0.025
0.024,0.199,0.17,7800,0.029,-0.005
0.018,0.18708,0.16,8100,0.02708,0.025
0.018,0.17714,0.15,8400,0.02714,0.035
0.025,0.198,0.17,8700,0.028,0.03
0.024,0.23347,0.205,9000,0.02847,0.01
0.022,0.22329,0.195,9300,0.02829,0.005
0.044,0.18299,0.155,9600,0.02799,0.015
0.008,0.19811,0.17,9900,0.02811,0.01
0.016,0.19231,0.165,10200,0.02731,0.01
0.004,0.21804,0.19,10500,0.02804,0.02
0.033,0.20819,0.18,10800,0.02819,0.02
0.031,0.19899,0.17,11100,0.02899,0.005
0.013,0.19871,0.17,11400,0.02871,-0.005
0.03,0.22813,0.2,11700,0.02813,0.025
0.003,0.22322,0.195,12000,0.02822,0.015
0.003,0.2325,0.205,12300,0.0275,0.02
0.019,0.24774,0.22,12600,0.02774,0.025
0.022,0.23748,0.21,12900,0.02748,0.045
-0.008,0.25386,0.225,13200,0.02886,-0.005
0.016,0.25885,0.23,13500,0.02885,0.0
-0.028,0.27009,0.24,13800,0.03009,0.025
-0.011,0.30464,0.275,14100,0.02964,0.025
0.011,0.3063,0.275,14400,0.0313,0.01
0.015,0.32601,0.295,14700,0.03101,0.025
-0.0,0.30062,0.27,15000,0.03062,0.02
