avg_score,avg_winning,step_idx,avg_diff,loss_train,avg_score_no
0.24195,0.215,300,-0.015,-0.018,0.02695
0.23603,0.21,600,0.01,0.109,0.02603
0.22577,0.2,900,0.015,0.05,0.02577
0.26604,0.24,1200,0.0,0.019,0.02604
0.22031,0.195,1500,0.015,0.08,0.02531
0.23431,0.21,1800,0.0,0.047,0.02431
0.23979,0.215,2100,0.01,0.085,0.02479
0.26621,0.24,2400,0.025,0.028,0.02621
0.30071,0.275,2700,0.02,-0.014,0.02571
0.32954,0.305,3000,0.0,0.064,0.02454
0.30214,0.275,3300,0.01,0.029,0.02714
0.29207,0.265,3600,0.03,0.037,0.02707
0.28125,0.255,3900,0.01,-0.007,0.02625
0.28661,0.26,4200,0.015,0.037,0.02661
0.33504,0.31,4500,0.01,0.001,0.02504
0.31495,0.29,4800,0.01,0.02,0.02495
0.32384,0.295,5100,0.03,0.069,0.02884
0.29432,0.265,5400,0.015,0.013,0.02932
0.3047,0.275,5700,0.02,0.019,0.0297
0.30516,0.275,6000,0.015,0.016,0.03016
0.30511,0.275,6300,0.015,0.033,0.03011
0.30087,0.27,6600,0.015,0.028,0.03087
0.29985,0.27,6900,0.015,0.045,0.02985
0.29457,0.265,7200,0.02,0.014,0.02957
0.29955,0.27,7500,0.02,0.049,0.02955
0.28448,0.255,7800,0.025,0.04,0.02948
0.26934,0.24,8100,0.02,0.048,0.02934
0.27936,0.25,8400,0.04,0.005,0.02936
0.2545,0.225,8700,0.045,0.048,0.0295
0.25862,0.23,9000,0.03,0.037,0.02862
0.2644,0.235,9300,0.015,0.045,0.0294
0.23773,0.21,9600,0.015,0.04,0.02773
0.21282,0.185,9900,0.01,0.015,0.02782
0.20302,0.175,10200,0.025,0.04,0.02802
0.19875,0.17,10500,0.035,0.021,0.02875
0.21324,0.185,10800,0.04,0.024,0.02824
0.20289,0.175,11100,0.035,0.021,0.02789
0.19917,0.17,11400,0.025,0.033,0.02917
0.18818,0.16,11700,0.03,0.024,0.02818
0.20888,0.18,12000,0.02,0.003,0.02888
0.27503,0.245,12300,0.04,0.034,0.03003
0.24919,0.22,12600,0.035,0.042,0.02919
0.17844,0.15,12900,0.01,0.043,0.02844
0.24498,0.215,13200,0.02,0.018,0.02998
0.28061,0.25,13500,0.025,0.028,0.03061
0.27503,0.245,13800,0.015,0.029,0.03003
0.2655,0.235,14100,0.025,-0.019,0.0305
0.26099,0.23,14400,0.02,0.025,0.03099
0.29609,0.265,14700,0.02,0.05,0.03109
0.3018,0.27,15000,0.01,0.012,0.0318
0.26045,0.23,15300,0.04,0.022,0.03045
0.25099,0.22,15600,0.035,-0.003,0.03099
0.26085,0.23,15900,0.045,0.027,0.03085
0.29088,0.26,16200,0.035,0.018,0.03088
0.27544,0.245,16500,0.03,0.047,0.03044
0.29012,0.26,16800,0.04,-0.005,0.03012
0.26975,0.24,17100,0.035,0.006,0.02975
0.2612,0.23,17400,0.055,0.054,0.0312
0.27459,0.245,17700,0.02,0.013,0.02959
0.27589,0.245,18000,0.035,0.032,0.03089
0.26123,0.23,18300,0.035,0.03,0.03123
0.27025,0.24,18600,0.025,-0.002,0.03025
0.29024,0.26,18900,0.045,-0.003,0.03024
0.337,0.305,19200,0.02,0.036,0.032
0.31165,0.28,19500,0.03,-0.004,0.03165
0.31188,0.28,19800,0.03,0.038,0.03188
0.36411,0.33,20100,-0.005,0.011,0.03411
0.35918,0.325,20400,0.02,0.008,0.03418
0.40001,0.365,20700,0.035,0.021,0.03501
0.40951,0.375,21000,0.04,0.034,0.03451
0.42533,0.39,21300,0.015,0.023,0.03533
0.36349,0.33,21600,0.02,0.009,0.03349
0.37349,0.34,21900,0.045,0.019,0.03349
0.37327,0.34,22200,0.025,-0.001,0.03327
0.33762,0.305,22500,0.025,0.003,0.03262
0.38009,0.345,22800,0.02,0.033,0.03509
0.40033,0.365,23100,0.035,-0.021,0.03533
0.41071,0.375,23400,0.01,0.012,0.03571
0.42198,0.385,23700,0.01,0.014,0.03698
0.35366,0.32,24000,0.005,-0.0,0.03366
0.44209,0.405,24300,0.025,0.026,0.03709
0.43628,0.4,24600,0.03,-0.023,0.03628
0.45776,0.42,24900,0.015,0.003,0.03776
0.46323,0.425,25200,0.03,-0.031,0.03823
0.46823,0.43,25500,0.02,0.071,0.03823
0.4886,0.45,25800,0.02,0.008,0.0386
0.44257,0.405,26100,0.03,0.023,0.03757
0.46357,0.425,26400,0.01,-0.002,0.03857
0.4632,0.425,26700,-0.005,0.024,0.0382
0.448,0.41,27000,0.03,0.017,0.038
