step_idx,avg_winning
300,0.285
600,0.155
900,0.15000000000000002
1200,0.16999999999999998
1500,0.16
1800,0.13
2100,0.24
2400,0.29
2700,0.265
3000,0.38
3300,0.44
3600,0.455
3900,0.445
4200,0.43
4500,0.45999999999999996
4800,0.42
5100,0.38
5400,0.29
5700,0.39
6000,0.29
6300,0.39499999999999996
6600,0.37
6900,0.37
7200,0.16999999999999998
7500,0.11
7800,0.14500000000000002
8100,0.32
8400,0.305
8700,0.33499999999999996
9000,0.385
9300,0.27
9600,0.325
9900,0.325
10200,0.385
10500,0.275
10800,0.24
11100,0.36
11400,0.305
11700,0.245
12000,0.235
12300,0.325
12600,0.365
12900,0.385
13200,0.285
13500,0.315
13800,0.305
14100,0.315
14400,0.285
14700,0.275
15000,0.28
15300,0.325
15600,0.33499999999999996
15900,0.365
16200,0.395
16500,0.22
16800,0.37
17100,0.375
17400,0.39
17700,0.365
18000,0.365
18300,0.38
18600,0.37
18900,0.41
19200,0.36
19500,0.41
19800,0.445
20100,0.415
20400,0.39999999999999997
20700,0.39
21000,0.42
21300,0.41
21600,0.39
21900,0.42
22200,0.45999999999999996
22500,0.43
22800,0.40499999999999997
23100,0.45
23400,0.40499999999999997
23700,0.43
24000,0.39499999999999996
24300,0.38
24600,0.455
24900,0.455
25200,0.44
25500,0.44
25800,0.425
26100,0.415
26400,0.42
26700,0.375
27000,0.36
27300,0.39499999999999996
27600,0.39499999999999996
27900,0.35
28200,0.385
28500,0.425
28800,0.42
29100,0.425
29400,0.365
29700,0.39999999999999997
30000,0.425
30300,0.42
30600,0.455
30900,0.425
31200,0.425
31500,0.375
31800,0.415
32100,0.455
32400,0.455
32700,0.435
33000,0.45999999999999996
33300,0.43
33600,0.445
33900,0.425
34200,0.41
34500,0.44
34800,0.45999999999999996
35100,0.44
35400,0.48
35700,0.435
36000,0.455
36300,0.485
36600,0.44
36900,0.51
37200,0.45999999999999996
37500,0.485
37800,0.475
38100,0.485
38400,0.44
38700,0.42
39000,0.39
39300,0.435
39600,0.47
39900,0.455
40200,0.39
40500,0.41
40800,0.43
41100,0.38
41400,0.425
41700,0.37
42000,0.39
42300,0.385
42600,0.39999999999999997
42900,0.40499999999999997
43200,0.39499999999999996
43500,0.385
43800,0.39499999999999996
44100,0.365
44400,0.41
44700,0.36
45000,0.36
45300,0.395
45600,0.365
45900,0.375
46200,0.385
46500,0.35
46800,0.38
47100,0.39
47400,0.39999999999999997
47700,0.41
48000,0.36
48300,0.44
48600,0.38
48900,0.39999999999999997
49200,0.385
49500,0.39999999999999997
49800,0.37
50100,0.365
50400,0.37
50700,0.37
51000,0.39
51300,0.39
51600,0.365
51900,0.355
52200,0.36
52500,0.385
52800,0.39999999999999997
53100,0.39999999999999997
53400,0.42
53700,0.39
54000,0.435
54300,0.46499999999999997
54600,0.43
54900,0.41
55200,0.415
55500,0.425
55800,0.44
56100,0.44
56400,0.445
56700,0.46499999999999997
57000,0.47
57300,0.48
57600,0.475
57900,0.46499999999999997
58200,0.46499999999999997
58500,0.47
58800,0.47
59100,0.455
59400,0.435
59700,0.485
60000,0.485
60300,0.47
60600,0.49
60900,0.47
61200,0.485
61500,0.45
61800,0.445
62100,0.45999999999999996
62400,0.44
62700,0.475
63000,0.455
63300,0.505
63600,0.5
63900,0.455
64200,0.47
64500,0.40499999999999997
64800,0.425
65100,0.44
65400,0.415
65700,0.455
66000,0.445
66300,0.435
66600,0.44
66900,0.43
67200,0.445
67500,0.475
67800,0.455
68100,0.47
68400,0.375
68700,0.505
69000,0.49
69300,0.49
69600,0.485
69900,0.505
70200,0.505
70500,0.515
70800,0.51
71100,0.53
71400,0.5
71700,0.485
72000,0.485
72300,0.505
72600,0.51
72900,0.445
73200,0.45
73500,0.49
73800,0.455
74100,0.425
74400,0.46499999999999997
74700,0.46499999999999997
75000,0.455
75300,0.425
75600,0.44
75900,0.40499999999999997
76200,0.43
76500,0.39499999999999996
76800,0.415
77100,0.42
77400,0.43
77700,0.43
78000,0.415
78300,0.41
78600,0.455
78900,0.44
79200,0.415
79500,0.42
79800,0.43
80100,0.41
80400,0.37
80700,0.40499999999999997
81000,0.365
81300,0.40499999999999997
81600,0.37
81900,0.365
82200,0.38
82500,0.37
82800,0.39
83100,0.39
83400,0.35
83700,0.375
84000,0.39
84300,0.39499999999999996
84600,0.385
84900,0.35
85200,0.36
85500,0.38
85800,0.38
86100,0.385
86400,0.355
86700,0.355
87000,0.36
87300,0.39
87600,0.375
87900,0.365
88200,0.36
88500,0.39499999999999996
88800,0.375
89100,0.36
89400,0.39999999999999997
89700,0.36
90000,0.385
90300,0.38
90600,0.39
90900,0.37
91200,0.37
91500,0.385
91800,0.38
92100,0.355
92400,0.395
92700,0.35
93000,0.355
93300,0.365
93600,0.38
93900,0.37
94200,0.365
94500,0.395
94800,0.385
95100,0.375
95400,0.40499999999999997
95700,0.39999999999999997
96000,0.39499999999999996
96300,0.385
96600,0.39
96900,0.39999999999999997
97200,0.35
97500,0.38
