avg_score_no,avg_score,loss_train,avg_diff,step_idx,avg_winning
0.02658,0.24658,0.006,0.02,300,0.22
0.02524,0.22524,0.029,0.035,600,0.2
0.02591,0.22091,0.046,0.01,900,0.195
0.0272,0.2372,0.04,0.005,1200,0.21
0.02598,0.22598,0.049,0.01,1500,0.2
0.02669,0.22669,0.067,0.01,1800,0.2
0.02587,0.20587,0.022,0.02,2100,0.18
0.02533,0.19533,0.057,0.03,2400,0.17
0.02558,0.24058,0.104,0.025,2700,0.215
0.02633,0.25133,0.039,0.02,3000,0.225
0.02702,0.23202,0.021,0.03,3300,0.205
0.02788,0.24288,0.042,0.03,3600,0.215
0.02637,0.23137,-0.028,0.025,3900,0.205
0.02626,0.19626,0.029,0.03,4200,0.17
0.02764,0.21264,0.027,0.025,4500,0.185
0.02732,0.23232,0.003,0.025,4800,0.205
0.02764,0.22764,0.001,0.03,5100,0.2
0.02747,0.22747,0.029,0.035,5400,0.2
0.02728,0.22728,-0.005,0.025,5700,0.2
0.0268,0.2268,0.022,0.045,6000,0.2
0.02714,0.19214,-0.017,0.035,6300,0.165
0.02709,0.19709,0.028,0.03,6600,0.17
0.02779,0.22779,0.016,0.025,6900,0.2
0.02754,0.22754,0.01,0.04,7200,0.2
0.02721,0.23221,0.007,0.035,7500,0.205
0.02723,0.23223,0.017,0.02,7800,0.205
0.02714,0.25714,0.016,0.025,8100,0.23
0.02716,0.28216,0.045,0.02,8400,0.255
0.0259,0.2509,0.033,0.05,8700,0.225
0.02496,0.27496,0.025,0.035,9000,0.25
0.02525,0.28525,0.046,0.02,9300,0.26
0.02517,0.28517,0.012,0.035,9600,0.26
0.02516,0.29516,0.039,0.035,9900,0.27
0.02439,0.29439,-0.014,0.03,10200,0.27
0.02494,0.27994,0.074,0.05,10500,0.255
0.02524,0.27024,0.034,0.025,10800,0.245
0.02444,0.26944,-0.008,0.035,11100,0.245
0.02397,0.28897,-0.023,0.045,11400,0.265
0.02486,0.28986,-0.008,0.015,11700,0.265
0.02787,0.27287,0.031,0.02,12000,0.245
0.02615,0.30115,0.055,0.02,12300,0.275
0.02537,0.28037,0.004,0.025,12600,0.255
0.02772,0.27772,0.079,0.05,12900,0.25
0.02901,0.30901,-0.041,0.035,13200,0.28
0.02827,0.28327,0.041,0.03,13500,0.255
0.02928,0.27928,0.025,0.04,13800,0.25
0.03158,0.29158,0.03,0.035,14100,0.26
0.03033,0.27033,0.037,0.04,14400,0.24
0.03001,0.30501,-0.019,0.04,14700,0.275
0.02973,0.28473,0.032,0.04,15000,0.255
0.03157,0.30157,-0.018,0.035,15300,0.27
0.03068,0.34568,0.03,0.05,15600,0.315
0.03082,0.34082,0.037,0.035,15900,0.31
0.03158,0.34158,-0.05,0.045,16200,0.31
0.03146,0.33646,0.016,0.035,16500,0.305
0.03205,0.29205,0.023,0.035,16800,0.26
0.03093,0.32593,0.008,0.035,17100,0.295
0.03056,0.31556,0.007,0.045,17400,0.285
0.03071,0.31571,0.021,0.045,17700,0.285
0.03002,0.31002,-0.005,0.02,18000,0.28
0.03122,0.32622,0.023,0.04,18300,0.295
0.03126,0.30626,-0.015,0.04,18600,0.275
0.03231,0.31231,0.035,0.03,18900,0.28
0.0335,0.3085,0.006,0.045,19200,0.275
0.03255,0.32755,-0.02,0.025,19500,0.295
0.03236,0.31736,-0.009,0.025,19800,0.285
0.03266,0.34266,0.014,0.025,20100,0.31
0.03151,0.33151,-0.0,0.025,20400,0.3
0.03012,0.35512,0.007,0.03,20700,0.325
0.0311,0.3661,0.017,0.035,21000,0.335
0.03074,0.35074,0.001,0.04,21300,0.32
0.03164,0.34664,-0.002,0.025,21600,0.315
0.03233,0.35233,-0.003,0.02,21900,0.32
0.03127,0.31127,0.051,0.025,22200,0.28
0.0319,0.2919,0.03,0.025,22500,0.26
0.03207,0.29707,0.009,0.035,22800,0.265
0.03118,0.27618,0.041,0.015,23100,0.245
0.03007,0.29007,0.033,0.025,23400,0.26
0.03107,0.29607,0.026,0.04,23700,0.265
0.03018,0.29518,0.016,0.045,24000,0.265
0.02693,0.26193,0.003,0.03,24300,0.235
0.03063,0.28563,0.008,0.025,24600,0.255
0.03092,0.30592,0.012,0.025,24900,0.275
0.03087,0.30587,-0.01,0.02,25200,0.275
0.03087,0.31087,0.01,0.03,25500,0.28
0.02982,0.30982,-0.005,0.045,25800,0.28
0.03086,0.32586,-0.007,0.055,26100,0.295
0.03486,0.39486,0.017,0.045,26400,0.36
0.03245,0.35745,0.003,0.035,26700,0.325
0.03423,0.37923,0.003,0.035,27000,0.345
0.03359,0.41859,-0.013,0.04,27300,0.385
0.03311,0.41811,-0.051,0.015,27600,0.385
0.03395,0.39895,-0.019,0.02,27900,0.365
0.03318,0.39318,-0.016,0.035,28200,0.36
0.03424,0.38924,-0.028,0.05,28500,0.355
0.03436,0.41936,-0.013,0.035,28800,0.385
0.03388,0.39888,-0.022,0.005,29100,0.365
0.03343,0.40343,0.016,0.02,29400,0.37
0.03527,0.43527,-0.0,0.02,29700,0.4
0.03559,0.42559,-0.045,0.045,30000,0.39
0.03479,0.46479,-0.028,0.04,30300,0.43
0.03556,0.41556,-0.021,0.05,30600,0.38
0.03572,0.46572,-0.014,0.04,30900,0.43
0.03472,0.45472,-0.026,0.045,31200,0.42
0.03424,0.43924,-0.015,0.02,31500,0.405
0.03536,0.44036,0.011,0.045,31800,0.405
0.0365,0.4465,0.003,0.025,32100,0.41
0.03623,0.43123,-0.011,0.03,32400,0.395
0.03602,0.45602,-0.008,0.05,32700,0.42
0.03603,0.46603,0.009,0.06,33000,0.43
0.0363,0.4413,-0.036,0.05,33300,0.405
