avg_score,avg_score_no,avg_diff,step_idx,avg_winning,loss_train
0.2271,0.0271,0.035,300,0.2,0.051
0.23147,0.02647,0.03,600,0.205,0.056
0.22289,0.02789,0.025,900,0.195,0.03
0.22784,0.02784,0.04,1200,0.2,0.039
0.21315,0.02815,0.04,1500,0.185,0.055
0.22259,0.02759,0.02,1800,0.195,0.053
0.24883,0.02883,0.03,2100,0.22,0.056
0.2382,0.0282,0.02,2400,0.21,0.004
0.26386,0.02886,0.01,2700,0.235,0.047
0.32495,0.02995,0.02,3000,0.295,0.05
0.28048,0.03048,0.02,3300,0.25,0.013
0.29464,0.02964,0.02,3600,0.265,0.001
0.29427,0.02927,0.015,3900,0.265,0.053
0.27538,0.03038,0.02,4200,0.245,0.061
0.29967,0.02967,0.04,4500,0.27,0.061
0.28616,0.03116,0.03,4800,0.255,0.015
0.33706,0.03206,0.005,5100,0.305,0.056
0.34154,0.03154,0.035,5400,0.31,0.044
0.33167,0.03167,0.01,5700,0.3,0.002
0.31627,0.03127,0.015,6000,0.285,0.042
0.32105,0.03105,0.0,6300,0.29,0.032
0.30557,0.03057,0.02,6600,0.275,0.046
0.34051,0.03051,0.015,6900,0.31,0.032
0.28494,0.02994,0.035,7200,0.255,0.037
0.32141,0.03141,0.025,7500,0.29,0.023
0.31009,0.03009,0.03,7800,0.28,0.005
0.31514,0.03014,0.015,8100,0.285,0.01
0.29483,0.02983,0.015,8400,0.265,0.016
0.3096,0.0296,0.02,8700,0.28,-0.004
0.29043,0.03043,0.03,9000,0.26,-0.039
0.29076,0.03076,0.015,9300,0.26,0.014
0.28088,0.03088,0.01,9600,0.25,0.008
0.3412,0.0312,0.045,9900,0.31,0.028
0.34232,0.03232,0.015,10200,0.31,0.077
0.3533,0.0333,0.025,10500,0.32,-0.005
0.3266,0.0316,0.0,10800,0.295,-0.023
0.33236,0.03236,0.0,11100,0.3,0.026
0.34781,0.03281,0.02,11400,0.315,0.022
0.3423,0.0323,0.015,11700,0.31,-0.006
