avg_diff,avg_score,avg_winning,loss_train,step_idx,avg_score_no
0.005,0.26041,0.235,0.013,300,0.02541
-0.005,0.26209,0.235,-0.004,600,0.02709
0.0,0.2567,0.23,0.024,900,0.0267
0.01,0.27234,0.245,0.018,1200,0.02734
0.04,0.24226,0.215,0.044,1500,0.02726
0.05,0.24788,0.22,0.049,1800,0.02788
0.045,0.24797,0.22,0.031,2100,0.02797
0.05,0.23189,0.205,0.043,2400,0.02689
0.05,0.21176,0.185,0.014,2700,0.02676
0.035,0.28298,0.255,0.054,3000,0.02798
0.015,0.27894,0.25,0.058,3300,0.02894
0.025,0.28941,0.26,-0.013,3600,0.02941
0.04,0.26955,0.24,0.038,3900,0.02955
0.02,0.27306,0.245,0.016,4200,0.02806
0.025,0.28911,0.26,0.019,4500,0.02911
0.01,0.28399,0.255,0.039,4800,0.02899
0.015,0.27381,0.245,0.026,5100,0.02881
0.01,0.2886,0.26,0.008,5400,0.0286
0.015,0.27309,0.245,0.027,5700,0.02809
0.02,0.27413,0.245,0.028,6000,0.02913
0.005,0.30019,0.27,0.036,6300,0.03019
0.015,0.29961,0.27,0.076,6600,0.02961
0.015,0.22382,0.195,0.017,6900,0.02882
0.02,0.23895,0.21,0.046,7200,0.02895
0.02,0.25853,0.23,0.02,7500,0.02853
0.02,0.25927,0.23,0.016,7800,0.02927
0.005,0.26395,0.235,0.031,8100,0.02895
0.03,0.28996,0.26,0.037,8400,0.02996
0.01,0.29435,0.265,-0.005,8700,0.02935
0.01,0.29939,0.27,0.005,9000,0.02939
0.015,0.30075,0.27,-0.016,9300,0.03075
0.025,0.31559,0.285,-0.009,9600,0.03059
0.015,0.32017,0.29,0.041,9900,0.03017
0.02,0.31193,0.28,-0.0,10200,0.03193
0.015,0.32601,0.295,0.016,10500,0.03101
0.015,0.33195,0.3,0.014,10800,0.03195
0.01,0.33248,0.3,0.013,11100,0.03248
0.01,0.32201,0.29,0.02,11400,0.03201
0.02,0.33676,0.305,-0.011,11700,0.03176
0.02,0.34182,0.31,0.015,12000,0.03182
0.025,0.34366,0.31,0.021,12300,0.03366
0.03,0.39406,0.36,0.056,12600,0.03406
0.025,0.37541,0.34,-0.004,12900,0.03541
0.025,0.34772,0.315,0.0,13200,0.03272
0.025,0.34013,0.305,0.059,13500,0.03513
0.025,0.35585,0.32,0.024,13800,0.03585
0.025,0.34399,0.31,0.017,14100,0.03399
0.02,0.39027,0.355,-0.005,14400,0.03527
0.025,0.36933,0.335,0.029,14700,0.03433
0.02,0.37499,0.34,0.004,15000,0.03499
0.02,0.33361,0.3,-0.026,15300,0.03361
0.02,0.3693,0.335,-0.027,15600,0.0343
0.03,0.41109,0.375,0.04,15900,0.03609
0.02,0.36619,0.33,0.011,16200,0.03619
0.025,0.39673,0.36,-0.073,16500,0.03673
0.025,0.35086,0.315,0.017,16800,0.03586
0.02,0.3662,0.33,-0.045,17100,0.0362
0.035,0.3812,0.345,0.032,17400,0.0362
0.035,0.45558,0.415,-0.02,17700,0.04058
0.03,0.43332,0.395,-0.001,18000,0.03832
0.04,0.44608,0.405,0.012,18300,0.04108
0.035,0.45054,0.41,0.029,18600,0.04054
0.025,0.44041,0.4,0.027,18900,0.04041
0.035,0.398,0.36,0.019,19200,0.038
0.02,0.47547,0.435,0.005,19500,0.04047
0.02,0.47713,0.435,0.022,19800,0.04213
0.005,0.47092,0.43,0.027,20100,0.04092
-0.005,0.48262,0.44,-0.028,20400,0.04262
0.02,0.45716,0.415,0.012,20700,0.04216
0.01,0.47645,0.435,-0.004,21000,0.04145
0.005,0.50262,0.46,0.013,21300,0.04262
0.01,0.4821,0.44,0.0,21600,0.0421
0.015,0.49845,0.455,-0.002,21900,0.04345
0.01,0.52866,0.485,-0.029,22200,0.04366
-0.01,0.50349,0.46,0.002,22500,0.04349
0.01,0.47159,0.43,0.014,22800,0.04159
0.01,0.47695,0.435,0.016,23100,0.04195
0.01,0.53071,0.485,0.007,23400,0.04571
0.005,0.50837,0.465,-0.032,23700,0.04337
0.0,0.51262,0.47,-0.009,24000,0.04262
0.01,0.52393,0.48,0.025,24300,0.04393
0.005,0.52295,0.48,-0.008,24600,0.04295
0.005,0.51815,0.475,-0.006,24900,0.04315
0.015,0.51877,0.475,-0.016,25200,0.04377
0.0,0.52379,0.48,-0.019,25500,0.04379
-0.005,0.53384,0.49,-0.007,25800,0.04384
0.01,0.53517,0.49,0.009,26100,0.04517
0.02,0.53631,0.49,0.003,26400,0.04631
0.005,0.5401,0.495,0.02,26700,0.0451
0.015,0.54009,0.495,-0.045,27000,0.04509
0.02,0.5306,0.485,0.02,27300,0.0456
0.025,0.55015,0.505,-0.005,27600,0.04515
0.01,0.53052,0.485,-0.002,27900,0.04552
0.01,0.55037,0.505,-0.051,28200,0.04537
0.01,0.56071,0.515,0.014,28500,0.04571
0.005,0.58592,0.54,-0.047,28800,0.04592
0.03,0.52886,0.485,0.013,29100,0.04386
0.025,0.53331,0.49,-0.001,29400,0.04331
0.025,0.52428,0.48,0.004,29700,0.04428
0.015,0.52838,0.485,0.022,30000,0.04338
0.03,0.50773,0.465,0.013,30300,0.04273
0.005,0.53832,0.495,0.017,30600,0.04332
0.02,0.51956,0.475,-0.04,30900,0.04456
0.01,0.52515,0.48,-0.009,31200,0.04515
0.015,0.52966,0.485,-0.021,31500,0.04466
0.02,0.51412,0.47,0.022,31800,0.04412
0.02,0.52915,0.485,0.053,32100,0.04415
0.02,0.50353,0.46,0.035,32400,0.04353
0.02,0.52367,0.48,0.009,32700,0.04367
0.01,0.51439,0.47,0.051,33000,0.04439
0.015,0.51341,0.47,0.01,33300,0.04341
0.02,0.51296,0.47,-0.012,33600,0.04296
0.01,0.51941,0.475,-0.005,33900,0.04441
0.02,0.51317,0.47,0.001,34200,0.04317
0.01,0.50723,0.465,0.022,34500,0.04223
0.01,0.51813,0.475,0.035,34800,0.04313
0.01,0.50906,0.465,-0.011,35100,0.04406
0.01,0.52777,0.485,-0.039,35400,0.04277
0.01,0.5222,0.48,-0.005,35700,0.0422
0.02,0.51796,0.475,-0.058,36000,0.04296
0.03,0.55242,0.51,0.016,36300,0.04242
0.01,0.52811,0.485,0.014,36600,0.04311
0.02,0.52801,0.485,-0.016,36900,0.04301
0.025,0.53759,0.495,0.014,37200,0.04259
0.02,0.55223,0.51,-0.027,37500,0.04223
0.02,0.5636,0.52,-0.042,37800,0.0436
0.02,0.55776,0.515,-0.029,38100,0.04276
0.01,0.5537,0.51,0.008,38400,0.0437
0.02,0.56378,0.52,0.012,38700,0.04378
0.01,0.56889,0.525,0.04,39000,0.04389
0.025,0.5487,0.505,-0.015,39300,0.0437
0.02,0.5436,0.5,0.048,39600,0.0436
0.015,0.52218,0.48,0.011,39900,0.04218
0.03,0.54418,0.5,-0.032,40200,0.04418
0.035,0.52813,0.485,0.017,40500,0.04313
0.03,0.53764,0.495,0.029,40800,0.04264
0.03,0.53387,0.49,-0.002,41100,0.04387
0.02,0.54442,0.5,0.012,41400,0.04442
0.035,0.53876,0.495,-0.024,41700,0.04376
0.03,0.54273,0.5,0.031,42000,0.04273
0.025,0.55917,0.515,0.025,42300,0.04417
0.03,0.52931,0.485,0.01,42600,0.04431
0.02,0.52933,0.485,-0.021,42900,0.04433
0.02,0.52465,0.48,-0.005,43200,0.04465
0.025,0.54043,0.495,-0.024,43500,0.04543
0.02,0.53961,0.495,0.033,43800,0.04461
0.015,0.57032,0.525,0.0,44100,0.04532
0.04,0.5642,0.52,-0.016,44400,0.0442
0.03,0.50274,0.46,-0.017,44700,0.04274
0.015,0.50266,0.46,0.002,45000,0.04266
0.015,0.52458,0.48,-0.005,45300,0.04458
0.02,0.5429,0.5,0.012,45600,0.0429
0.02,0.50717,0.465,0.013,45900,0.04217
0.025,0.52228,0.48,0.027,46200,0.04228
0.025,0.51293,0.47,0.0,46500,0.04293
0.02,0.55001,0.505,0.023,46800,0.04501
0.015,0.51895,0.475,-0.021,47100,0.04395
0.055,0.54028,0.495,-0.024,47400,0.04528
0.015,0.53458,0.49,-0.041,47700,0.04458
0.01,0.52358,0.48,-0.021,48000,0.04358
0.02,0.51825,0.475,-0.019,48300,0.04325
0.015,0.5383,0.495,0.022,48600,0.0433
0.02,0.54812,0.505,0.02,48900,0.04312
0.025,0.54854,0.505,0.01,49200,0.04354
0.025,0.55859,0.515,-0.008,49500,0.04359
0.04,0.53151,0.49,-0.039,49800,0.04151
0.055,0.53695,0.495,-0.006,50100,0.04195
0.03,0.54833,0.505,0.037,50400,0.04333
0.03,0.54239,0.5,-0.026,50700,0.04239
0.03,0.5367,0.495,0.023,51000,0.0417
0.025,0.56349,0.52,0.029,51300,0.04349
0.035,0.54366,0.5,0.034,51600,0.04366
0.04,0.53734,0.495,-0.017,51900,0.04234
0.04,0.54238,0.5,-0.002,52200,0.04238
0.05,0.50787,0.465,-0.016,52500,0.04287
0.05,0.533,0.49,-0.032,52800,0.043
0.045,0.5369,0.495,0.002,53100,0.0419
0.04,0.54131,0.5,-0.04,53400,0.04131
0.04,0.56174,0.52,0.014,53700,0.04174
0.04,0.54181,0.5,-0.012,54000,0.04181
0.045,0.54894,0.505,-0.002,54300,0.04394
