avg_winning,avg_score,loss_train,step_idx,avg_diff
0.205,0.2224,0.03,1000,0.036
0.239,0.25059,0.039,2000,0.03
0.257,0.26833,0.043,3000,0.017
0.259,0.27026,0.041,4000,0.019
0.256,0.27248,0.038,5000,0.018
0.246,0.2614,0.036,6000,0.023
0.25,0.27174,0.036,7000,0.033
0.253,0.27569,0.031,8000,0.018
0.271,0.29668,0.027,9000,0.023
0.281,0.29952,0.031,10000,0.018
0.272,0.29933,0.027,11000,0.023
0.336,0.36179,0.027,12000,0.017
0.339,0.36805,0.03,13000,0.025
0.338,0.36146,0.03,14000,0.014
0.374,0.40326,0.036,15000,0.013
0.383,0.40178,0.032,16000,0.01
0.426,0.45118,0.032,17000,0.021
0.404,0.43112,0.03,18000,0.022
0.438,0.46808,0.031,19000,0.014
0.461,0.49672,0.027,20000,0.012
0.458,0.49118,0.032,21000,0.016
0.453,0.48265,0.03,22000,0.014
0.446,0.47958,0.031,23000,0.013
0.471,0.50508,0.024,24000,0.019
0.459,0.49075,0.034,25000,0.008
0.448,0.48509,0.029,26000,0.017
0.452,0.48483,0.029,27000,0.01
0.467,0.4983,0.026,28000,0.009
0.445,0.48181,0.029,29000,0.022
0.481,0.51315,0.025,30000,0.013
0.466,0.50185,0.028,31000,0.021
0.445,0.48303,0.024,32000,0.015
0.473,0.49974,0.018,33000,0.015
0.46,0.49467,0.02,34000,0.013
0.455,0.47841,0.021,35000,0.009
0.462,0.49682,0.025,36000,0.02
0.473,0.51117,0.034,37000,0.016
0.481,0.51533,0.018,38000,0.01
0.474,0.50981,0.02,39000,0.005
0.458,0.49628,0.019,40000,0.015
0.474,0.51177,0.025,41000,0.021
0.482,0.51498,0.023,42000,0.011
0.472,0.5003,0.02,43000,0.013
0.47,0.50789,0.023,44000,0.013
0.473,0.51213,0.022,45000,0.026
0.459,0.49416,0.016,46000,0.013
0.46,0.4826,0.02,47000,0.012
0.479,0.51338,0.023,48000,0.012
0.471,0.50613,0.019,49000,0.022
0.483,0.51955,0.022,50000,0.01
0.474,0.51139,0.023,51000,0.016
0.464,0.50426,0.026,52000,0.023
0.456,0.49345,0.018,53000,0.019
0.46,0.49841,0.02,54000,0.015
0.458,0.49507,0.013,55000,0.022
0.456,0.49464,0.026,56000,0.025
0.453,0.49249,0.027,57000,0.028
0.448,0.48565,0.018,58000,0.032
0.447,0.48603,0.022,59000,0.023
0.453,0.49399,0.027,60000,0.027
0.442,0.46849,0.015,61000,0.024
0.478,0.51686,0.022,62000,0.026
