avg_score,avg_diff,avg_winning,step_idx,loss_train
0.24229,0.025,0.224,1000,0.033
0.23142,0.024,0.213,2000,0.04
0.26141,0.011,0.244,3000,0.039
0.2766,0.022,0.261,4000,0.037
0.29186,0.029,0.275,5000,0.038
0.31225,0.018,0.294,6000,0.041
0.29522,0.018,0.275,7000,0.037
0.27672,0.022,0.255,8000,0.031
0.27851,0.031,0.253,9000,0.031
0.29297,0.025,0.271,10000,0.034
0.34283,0.015,0.318,11000,0.029
0.34558,0.021,0.318,12000,0.03
0.32848,0.02,0.302,13000,0.032
0.31202,0.02,0.285,14000,0.03
0.35759,0.018,0.329,15000,0.031
0.34595,0.025,0.319,16000,0.031
0.38469,0.032,0.353,17000,0.033
0.35749,0.025,0.326,18000,0.024
0.41804,0.013,0.385,19000,0.028
0.39233,0.025,0.362,20000,0.031
0.40381,0.025,0.377,21000,0.031
0.3971,0.024,0.37,22000,0.032
0.39389,0.021,0.369,23000,0.03
0.43843,0.02,0.405,24000,0.03
0.47701,0.018,0.44,25000,0.029
0.45269,0.021,0.416,26000,0.03
0.45958,0.019,0.43,27000,0.029
0.46419,0.021,0.431,28000,0.029
0.49692,0.016,0.457,29000,0.034
0.47284,0.021,0.444,30000,0.03
0.48345,0.027,0.442,31000,0.03
0.4487,0.015,0.407,32000,0.03
0.46672,0.029,0.425,33000,0.031
0.49643,0.025,0.458,34000,0.024
0.48996,0.018,0.448,35000,0.028
0.51593,0.012,0.476,36000,0.023
0.48268,0.015,0.44,37000,0.03
0.51104,0.021,0.478,38000,0.027
0.50445,0.024,0.462,39000,0.031
0.49755,0.031,0.456,40000,0.031
0.50315,0.031,0.461,41000,0.025
0.48511,0.019,0.444,42000,0.026
0.5079,0.02,0.467,43000,0.031
0.48417,0.025,0.441,44000,0.03
0.47331,0.018,0.43,45000,0.028
0.46542,0.02,0.423,46000,0.03
0.49853,0.023,0.457,47000,0.025
0.47751,0.031,0.438,48000,0.027
0.46921,0.026,0.428,49000,0.024
0.48539,0.014,0.45,50000,0.029
0.48623,0.025,0.445,51000,0.016
0.49269,0.02,0.45,52000,0.024
0.48304,0.023,0.441,53000,0.034
0.51294,0.012,0.47,54000,0.031
0.50045,0.025,0.457,55000,0.023
0.48837,0.022,0.446,56000,0.024
0.49474,0.022,0.45,57000,0.029
0.48218,0.01,0.437,58000,0.026
0.50621,0.013,0.463,59000,0.02
0.47591,0.02,0.44,60000,0.031
0.48766,0.026,0.443,61000,0.032
0.47096,0.016,0.426,62000,0.021
0.49572,0.027,0.45,63000,0.021
0.48603,0.023,0.441,64000,0.029
0.48848,0.014,0.443,65000,0.02
0.47155,0.018,0.428,66000,0.022
0.47749,0.023,0.432,67000,0.031
0.48486,0.023,0.44,68000,0.021
0.4839,0.019,0.437,69000,0.029
0.49209,0.011,0.446,70000,0.028
0.47487,0.024,0.429,71000,0.033
0.47358,0.018,0.428,72000,0.024
0.46879,0.022,0.423,73000,0.022
0.47881,0.024,0.433,74000,0.023
0.45954,0.018,0.414,75000,0.024
0.46481,0.017,0.419,76000,0.017
0.48684,0.016,0.442,77000,0.017
0.45641,0.024,0.411,78000,0.029
0.48514,0.02,0.439,79000,0.015
0.48523,0.021,0.44,80000,0.021
0.48038,0.016,0.435,81000,0.025
0.49336,0.017,0.447,82000,0.005
0.46427,0.018,0.42,83000,0.017
0.49349,0.013,0.447,84000,0.015
0.47605,0.02,0.431,85000,0.018
0.47729,0.019,0.432,86000,0.02
0.46647,0.016,0.422,87000,0.012
0.46616,0.011,0.42,88000,0.015
0.47245,0.02,0.426,89000,0.02
0.4798,0.019,0.434,90000,0.017
0.49007,0.028,0.444,91000,0.021
0.48806,0.018,0.442,92000,0.017
0.49293,0.015,0.446,93000,0.025
0.48731,0.016,0.44,94000,0.004
0.47033,0.011,0.428,95000,0.019
0.49076,0.019,0.444,96000,0.025
0.47758,0.013,0.431,97000,0.018
0.48101,0.016,0.435,98000,0.029
0.48936,0.012,0.443,99000,0.01
0.49675,0.019,0.451,100000,0.016
0.4949,0.01,0.449,101000,0.018
0.51481,0.011,0.468,102000,0.014
0.50256,0.018,0.457,103000,0.02
0.5038,0.011,0.457,104000,0.023
0.47623,0.015,0.435,105000,0.009
0.50311,0.017,0.457,106000,0.025
0.47793,0.017,0.434,107000,0.03
0.48891,0.018,0.442,108000,0.023
0.49439,0.016,0.451,109000,0.02
0.49171,0.013,0.446,110000,0.021
0.49219,0.014,0.445,111000,0.021
0.45215,0.018,0.419,112000,0.002
0.4989,0.021,0.453,113000,0.022
0.51293,0.022,0.465,114000,0.027
0.48569,0.025,0.439,115000,0.014
0.49147,0.019,0.444,116000,0.021
0.44684,0.023,0.403,117000,0.029
0.51095,0.018,0.464,118000,0.016
0.51268,0.021,0.465,119000,0.024
0.49077,0.023,0.444,120000,0.021
0.49587,0.02,0.448,121000,0.028
0.50479,0.023,0.457,122000,0.015
0.51356,0.014,0.465,123000,0.012
0.50537,0.016,0.458,124000,0.02
0.49859,0.02,0.452,125000,0.023
0.51278,0.014,0.465,126000,0.014
0.50405,0.024,0.456,127000,0.024
0.5205,0.013,0.472,128000,0.025
0.50684,0.019,0.46,129000,0.033
0.51063,0.021,0.463,130000,0.024
0.50668,0.02,0.463,131000,0.033
0.50191,0.02,0.454,132000,0.028
0.52604,0.015,0.478,133000,0.016
0.50627,0.025,0.463,134000,0.024
0.49564,0.011,0.448,135000,0.024
0.50555,0.011,0.457,136000,0.03
0.5123,0.027,0.466,137000,0.024
0.51239,0.018,0.465,138000,0.025
0.5147,0.018,0.471,139000,0.021
0.52351,0.016,0.476,140000,0.031
0.52216,0.021,0.475,141000,0.022
0.51583,0.012,0.468,142000,0.022
0.50926,0.019,0.461,143000,0.008
0.50909,0.012,0.461,144000,0.014
0.51451,0.018,0.467,145000,0.027
0.47982,0.013,0.444,146000,0.005
0.50341,0.019,0.46,147000,0.035
0.53809,0.016,0.489,148000,0.03
0.52516,0.018,0.478,149000,0.018
0.51273,0.01,0.465,150000,0.032
0.51817,0.018,0.47,151000,0.016
0.5168,0.02,0.468,152000,0.025
0.51776,0.01,0.47,153000,0.03
0.5108,0.019,0.464,154000,0.019
0.49622,0.02,0.454,155000,0.011
0.50966,0.014,0.463,156000,0.027
0.50991,0.013,0.463,157000,0.024
0.49853,0.018,0.465,158000,0.018
0.51835,0.016,0.475,159000,0.038
0.52406,0.018,0.477,160000,0.03
0.50117,0.016,0.456,161000,0.02
0.49727,0.018,0.456,162000,0.011
0.50298,0.025,0.458,163000,0.017
0.51789,0.021,0.473,164000,0.011
0.50171,0.012,0.468,165000,0.02
0.51075,0.019,0.466,166000,0.03
0.49962,0.017,0.458,167000,0.015
0.50911,0.017,0.464,168000,0.02
0.49932,0.022,0.454,169000,0.033
0.51232,0.023,0.466,170000,0.028
0.48857,0.021,0.447,171000,0.03
0.48732,0.017,0.443,172000,0.023
0.51292,0.023,0.468,173000,0.013
0.49531,0.015,0.452,174000,0.024
0.51016,0.023,0.465,175000,0.019
0.49824,0.021,0.453,176000,0.023
0.50739,0.017,0.461,177000,0.016
0.5058,0.026,0.46,178000,0.014
0.52077,0.016,0.476,179000,0.017
0.5258,0.014,0.481,180000,0.026
0.48252,0.028,0.438,181000,0.017
0.52187,0.021,0.478,182000,0.003
0.49458,0.015,0.449,183000,0.025
0.51067,0.006,0.466,184000,0.018
0.49541,0.015,0.454,185000,0.029
0.523,0.021,0.477,186000,0.018
0.51428,0.018,0.468,187000,0.006
0.53626,0.021,0.49,188000,0.026
0.50879,0.026,0.464,189000,0.012
0.51941,0.017,0.476,190000,0.017
0.49362,0.019,0.459,191000,0.007
0.5109,0.016,0.466,192000,0.019
0.5125,0.016,0.468,193000,0.03
0.53998,0.01,0.494,194000,0.021
0.50884,0.015,0.464,195000,0.017
0.5289,0.011,0.484,196000,0.021
0.52142,0.008,0.477,197000,0.03
0.48208,0.012,0.436,198000,0.021
0.52087,0.015,0.474,199000,0.012
0.52622,0.017,0.48,200000,0.018
0.4998,0.021,0.455,201000,0.027
0.49734,0.026,0.452,202000,0.023
0.50031,0.011,0.456,203000,0.025
0.48209,0.018,0.438,204000,0.021
0.50594,0.014,0.46,205000,0.013
0.48718,0.034,0.443,206000,0.024
0.52437,0.027,0.478,207000,0.015
0.49618,0.018,0.451,208000,0.028
0.50984,0.015,0.466,209000,0.012
0.51653,0.018,0.471,210000,0.029
0.54105,0.012,0.496,211000,0.021
0.49352,0.008,0.448,212000,0.021
0.50228,0.017,0.456,213000,0.022
0.50409,0.022,0.459,214000,0.021
0.52557,0.008,0.48,215000,0.018
0.48384,0.027,0.439,216000,0.018
0.47824,0.018,0.433,217000,0.013
0.50636,0.02,0.46,218000,0.005
0.48752,0.013,0.446,219000,0.023
0.53491,0.018,0.489,220000,0.031
0.50459,0.021,0.459,221000,0.026
0.5123,0.022,0.466,222000,0.026
0.50846,0.016,0.462,223000,0.011
0.51536,0.019,0.469,224000,0.02
0.51297,0.013,0.466,225000,0.029
0.50737,0.022,0.461,226000,0.014
0.52435,0.016,0.478,227000,0.016
0.51845,0.018,0.472,228000,0.024
0.5018,0.023,0.456,229000,0.021
0.50025,0.019,0.454,230000,0.015
0.51204,0.024,0.466,231000,0.021
0.45517,0.011,0.41,232000,0.02
0.49864,0.019,0.454,233000,0.011
0.50542,0.02,0.461,234000,0.023
0.48144,0.011,0.435,235000,0.038
0.48466,0.018,0.439,236000,0.023
0.49065,0.018,0.445,237000,0.011
0.49331,0.014,0.448,238000,0.033
0.49208,0.016,0.446,239000,0.004
0.48948,0.019,0.445,240000,0.009
0.4936,0.023,0.45,241000,0.016
0.49718,0.023,0.454,242000,0.022
0.47456,0.017,0.429,243000,0.022
0.48122,0.016,0.436,244000,0.033
0.48892,0.019,0.444,245000,0.005
0.47018,0.025,0.425,246000,0.019
0.47579,0.017,0.43,247000,0.025
0.47296,0.023,0.431,248000,0.011
0.49397,0.014,0.449,249000,0.021
0.48297,0.015,0.438,250000,0.007
0.46422,0.018,0.42,251000,0.012
0.47662,0.02,0.431,252000,0.009
0.47123,0.012,0.427,253000,0.015
0.47111,0.032,0.426,254000,0.014
0.48023,0.008,0.436,255000,0.011
0.49513,0.014,0.452,256000,0.025
0.4812,0.023,0.437,257000,0.014
0.46756,0.023,0.424,258000,0.019
0.46399,0.021,0.421,259000,0.025
0.45575,0.019,0.412,260000,0.025
0.47087,0.021,0.427,261000,0.014
0.45313,0.024,0.41,262000,0.017
0.44338,0.027,0.4,263000,0.024
0.461,0.019,0.419,264000,0.012
0.45688,0.032,0.413,265000,0.029
0.47381,0.018,0.43,266000,0.002
0.46871,0.033,0.425,267000,0.023
0.47856,0.031,0.435,268000,0.011
0.46173,0.022,0.418,269000,0.01
0.45314,0.02,0.409,270000,0.025
0.47777,0.011,0.434,271000,0.009
0.46789,0.016,0.429,272000,0.006
0.4825,0.019,0.438,273000,0.039
0.48273,0.019,0.438,274000,0.017
0.47336,0.019,0.428,275000,0.019
0.48054,0.018,0.436,276000,0.007
0.48438,0.019,0.44,277000,0.011
0.51073,0.024,0.465,278000,0.014
0.48211,0.015,0.438,279000,0.014
0.47998,0.025,0.437,280000,0.019
0.49644,0.017,0.453,281000,0.021
0.49946,0.023,0.454,282000,0.019
0.50621,0.015,0.463,283000,0.021
0.49392,0.015,0.449,284000,0.024
0.48475,0.02,0.443,285000,0.016
0.48632,0.024,0.442,286000,0.024
0.50698,0.015,0.461,287000,0.014
0.50653,0.017,0.461,288000,0.024
0.49342,0.019,0.447,289000,0.043
0.50276,0.017,0.461,290000,0.02
0.50042,0.019,0.455,291000,0.026
0.49045,0.021,0.445,292000,0.018
0.48205,0.022,0.437,293000,0.015
0.49856,0.028,0.452,294000,0.013
0.50423,0.024,0.457,295000,0.008
0.50343,0.015,0.457,296000,0.006
0.52939,0.019,0.482,297000,0.012
0.52838,0.019,0.481,298000,0.005
0.52367,0.023,0.476,299000,0.014
0.51615,0.023,0.468,300000,0.026
0.51996,0.017,0.472,301000,0.024
0.53235,0.019,0.484,302000,0.016
0.53503,0.015,0.487,303000,0.014
0.53251,0.013,0.484,304000,0.018
0.52426,0.013,0.476,305000,0.021
0.51708,0.019,0.469,306000,0.011
0.52032,0.016,0.472,307000,0.026
0.50992,0.017,0.462,308000,0.012
0.50806,0.009,0.461,309000,0.024
0.463,0.022,0.418,310000,0.006
0.51546,0.009,0.468,311000,0.0
0.50869,0.018,0.462,312000,0.027
0.4858,0.018,0.44,313000,0.021
0.49423,0.014,0.447,314000,0.022
0.46909,0.01,0.424,315000,0.014
0.50756,0.027,0.461,316000,0.008
0.48473,0.016,0.439,317000,0.024
0.49907,0.018,0.452,318000,0.009
0.49764,0.023,0.45,319000,0.004
0.49649,0.021,0.449,320000,0.021
0.48525,0.021,0.438,321000,0.01
0.50129,0.019,0.453,322000,0.012
0.51073,0.015,0.463,323000,-0.006
0.4932,0.027,0.446,324000,0.017
0.49531,0.02,0.448,325000,0.022
0.49865,0.02,0.451,326000,0.033
0.49703,0.023,0.451,327000,0.026
0.48222,0.019,0.436,328000,0.007
0.49042,0.016,0.444,329000,0.007
0.49302,0.02,0.446,330000,0.015
0.50465,0.011,0.458,331000,0.021
0.48889,0.022,0.442,332000,-0.002
0.49694,0.018,0.45,333000,0.029
0.50121,0.021,0.454,334000,0.034
0.48996,0.022,0.443,335000,0.014
0.50474,0.01,0.457,336000,0.019
0.49984,0.016,0.453,337000,0.022
0.49767,0.021,0.45,338000,0.003
0.50131,0.026,0.454,339000,0.011
0.50613,0.016,0.459,340000,0.017
0.49161,0.026,0.446,341000,0.019
0.49022,0.021,0.444,342000,0.009
0.48985,0.016,0.444,343000,0.015
0.49125,0.034,0.444,344000,0.019
0.46827,0.013,0.423,345000,0.012
0.49143,0.027,0.445,346000,0.021
0.51384,0.02,0.469,347000,0.02
0.46617,0.029,0.421,348000,0.011
0.50876,0.017,0.463,349000,0.002
0.49583,0.024,0.45,350000,0.009
0.48611,0.029,0.44,351000,0.02
0.52286,0.019,0.475,352000,0.026
0.52186,0.023,0.474,353000,0.031
0.51216,0.016,0.465,354000,0.028
0.50595,0.019,0.46,355000,0.027
0.51707,0.021,0.47,356000,0.019
