step_idx,avg_score,loss_train,avg_winning,avg_diff
1000,0.22511,0.034,0.205,0.021
2000,0.23848,0.041,0.224,0.024
3000,0.22566,0.039,0.209,0.019
4000,0.25692,0.039,0.241,0.023
5000,0.25296,0.035,0.233,0.021
6000,0.25204,0.028,0.232,0.026
7000,0.29951,0.032,0.278,0.017
8000,0.2727,0.034,0.251,0.025
9000,0.28047,0.027,0.255,0.018
10000,0.28068,0.033,0.255,0.025
11000,0.28973,0.03,0.266,0.035
12000,0.29694,0.032,0.271,0.018
13000,0.33015,0.028,0.306,0.012
14000,0.32404,0.029,0.302,0.021
15000,0.3508,0.034,0.323,0.013
16000,0.36143,0.032,0.339,0.022
17000,0.39157,0.029,0.358,0.026
18000,0.40096,0.031,0.371,0.027
19000,0.429,0.031,0.394,0.027
20000,0.38739,0.029,0.353,0.015
21000,0.44564,0.032,0.412,0.025
22000,0.44018,0.028,0.407,0.007
23000,0.43579,0.029,0.406,0.01
24000,0.46147,0.032,0.426,0.015
25000,0.46207,0.033,0.425,0.023
26000,0.47369,0.025,0.439,0.02
27000,0.47482,0.033,0.44,0.015
28000,0.4982,0.03,0.462,0.019
29000,0.49329,0.032,0.457,0.023
30000,0.49576,0.03,0.461,0.012
31000,0.50523,0.035,0.464,0.024
32000,0.51313,0.028,0.474,0.025
33000,0.4844,0.033,0.454,0.015
34000,0.50644,0.034,0.476,0.016
35000,0.50307,0.032,0.462,0.021
36000,0.50683,0.021,0.47,0.016
37000,0.49294,0.032,0.452,0.021
38000,0.50356,0.029,0.462,0.021
39000,0.52959,0.036,0.494,0.01
40000,0.51685,0.028,0.475,0.019
41000,0.49947,0.033,0.457,0.018
42000,0.50599,0.032,0.465,0.02
43000,0.50332,0.026,0.462,0.015
44000,0.50066,0.028,0.46,0.023
45000,0.47234,0.034,0.43,0.026
46000,0.48887,0.03,0.45,0.014
47000,0.50373,0.027,0.469,0.022
48000,0.48393,0.025,0.449,0.015
49000,0.48004,0.025,0.438,0.03
50000,0.48178,0.028,0.442,0.027
51000,0.48476,0.026,0.442,0.012
52000,0.51671,0.021,0.483,0.012
53000,0.49678,0.023,0.456,0.015
54000,0.49466,0.024,0.454,0.017
55000,0.49328,0.032,0.45,0.026
56000,0.49846,0.018,0.457,0.014
57000,0.48552,0.022,0.444,0.012
58000,0.4861,0.017,0.445,0.021
59000,0.48637,0.03,0.445,0.019
60000,0.4954,0.019,0.453,0.025
61000,0.51005,0.016,0.467,0.026
62000,0.51207,0.022,0.469,0.022
63000,0.49881,0.019,0.457,0.024
64000,0.51423,0.013,0.473,0.026
65000,0.49375,0.021,0.455,0.012
66000,0.50522,0.007,0.467,0.026
67000,0.5108,0.023,0.468,0.02
68000,0.51161,0.019,0.472,0.016
69000,0.48636,0.012,0.45,0.027
70000,0.48419,0.026,0.442,0.024
71000,0.51504,0.01,0.472,0.028
72000,0.51397,0.013,0.471,0.023
73000,0.49987,0.024,0.458,0.034
74000,0.51202,0.019,0.469,0.02
75000,0.51566,0.018,0.476,0.013
76000,0.51424,0.019,0.474,0.016
