avg_diff,step_idx,avg_winning,avg_score,loss_train
0.032,1000,0.259,0.27571,0.035
0.021,2000,0.288,0.30106,0.042
0.021,3000,0.295,0.30812,0.044
0.019,4000,0.265,0.28103,0.042
0.029,5000,0.261,0.27909,0.039
0.017,6000,0.264,0.28642,0.036
0.013,7000,0.273,0.29774,0.03
0.031,8000,0.264,0.2918,0.025
0.022,9000,0.303,0.32945,0.023
0.028,10000,0.304,0.33211,0.028
0.023,11000,0.337,0.36078,0.029
0.025,12000,0.319,0.34814,0.029
0.018,13000,0.342,0.37063,0.028
0.02,14000,0.333,0.36143,0.027
0.034,15000,0.354,0.37996,0.03
0.021,16000,0.366,0.39583,0.032
0.029,17000,0.365,0.39852,0.03
0.017,18000,0.356,0.39051,0.027
0.025,19000,0.376,0.4082,0.025
0.021,20000,0.372,0.40674,0.029
0.017,21000,0.392,0.42672,0.028
0.028,22000,0.394,0.42922,0.027
0.026,23000,0.407,0.44337,0.033
0.021,24000,0.412,0.44863,0.026
0.023,25000,0.425,0.46234,0.029
0.021,26000,0.43,0.46721,0.029
0.033,27000,0.441,0.47707,0.03
0.009,28000,0.443,0.48164,0.026
0.017,29000,0.481,0.51804,0.03
0.02,30000,0.441,0.48198,0.029
0.023,31000,0.45,0.48872,0.027
0.015,32000,0.473,0.51269,0.025
0.014,33000,0.471,0.50893,0.032
0.02,34000,0.441,0.48171,0.031
0.017,35000,0.444,0.48429,0.024
0.013,36000,0.452,0.48911,0.025
0.023,37000,0.465,0.50821,0.031
0.02,38000,0.449,0.46758,0.02
0.022,39000,0.465,0.50439,0.031
0.023,40000,0.467,0.50353,0.032
0.011,41000,0.457,0.49326,0.028
0.023,42000,0.458,0.49426,0.022
0.018,43000,0.449,0.48459,0.022
0.017,44000,0.453,0.4931,0.021
0.014,45000,0.451,0.48404,0.017
0.024,46000,0.461,0.49818,0.027
0.013,47000,0.468,0.50547,0.017
0.022,48000,0.45,0.48998,0.017
0.023,49000,0.456,0.49628,0.018
0.025,50000,0.45,0.48926,0.016
0.019,51000,0.475,0.51789,0.024
0.019,52000,0.459,0.50198,0.023
0.024,53000,0.465,0.50697,0.02
0.019,54000,0.444,0.48699,0.026
0.032,55000,0.465,0.5079,0.019
0.018,56000,0.456,0.49819,0.018
0.034,57000,0.431,0.47321,0.011
0.034,58000,0.439,0.48153,0.027
0.024,59000,0.444,0.48719,0.01
0.025,60000,0.438,0.48145,0.015
0.021,61000,0.446,0.48901,0.015
0.026,62000,0.464,0.50549,0.02
0.023,63000,0.448,0.4843,0.009
0.018,64000,0.459,0.49997,0.012
0.014,65000,0.447,0.49031,0.018
0.021,66000,0.441,0.48239,0.008
0.025,67000,0.436,0.47846,0.026
0.017,68000,0.445,0.4868,0.014
0.016,69000,0.433,0.47592,0.025
0.022,70000,0.44,0.48382,0.017
0.021,71000,0.453,0.49584,0.017
0.033,72000,0.469,0.50998,0.02
0.021,73000,0.456,0.49866,0.027
0.028,74000,0.443,0.48676,0.011
0.033,75000,0.446,0.49026,0.018
0.027,76000,0.453,0.49722,0.023
0.016,77000,0.45,0.49151,0.026
0.026,78000,0.429,0.47282,0.026
0.015,79000,0.443,0.48443,0.013
0.029,80000,0.445,0.48778,0.026
0.014,81000,0.455,0.49612,0.024
0.013,82000,0.453,0.49016,0.015
0.015,83000,0.454,0.49626,0.019
0.02,84000,0.439,0.48404,0.03
0.005,85000,0.452,0.49316,0.017
0.029,86000,0.458,0.503,0.04
0.019,87000,0.452,0.49616,0.009
0.022,88000,0.467,0.51146,0.02
0.024,89000,0.453,0.49783,0.018
0.018,90000,0.48,0.52306,0.01
0.019,91000,0.454,0.49936,0.027
0.013,92000,0.455,0.50091,0.014
0.016,93000,0.465,0.50779,0.014
0.015,94000,0.473,0.51661,0.028
0.022,95000,0.481,0.52651,0.03
0.019,96000,0.472,0.51692,0.023
0.019,97000,0.448,0.49296,0.017
0.023,98000,0.446,0.49131,0.026
0.016,99000,0.465,0.50432,0.022
0.028,100000,0.461,0.50559,0.011
0.021,101000,0.471,0.51342,0.022
0.031,102000,0.447,0.49197,0.022
0.032,103000,0.466,0.51158,0.021
0.029,104000,0.45,0.49505,0.024
0.021,105000,0.468,0.51339,0.024
0.029,106000,0.437,0.47413,0.018
0.034,107000,0.473,0.51857,0.032
0.021,108000,0.46,0.50438,0.022
0.036,109000,0.467,0.51203,0.014
0.041,110000,0.457,0.50164,0.03
0.039,111000,0.467,0.51301,0.013
0.027,112000,0.471,0.51726,0.017
0.023,113000,0.461,0.5063,0.006
0.021,114000,0.464,0.50201,0.013
0.03,115000,0.444,0.48868,0.033
0.019,116000,0.474,0.52006,0.024
0.021,117000,0.471,0.51604,0.001
0.018,118000,0.459,0.50367,0.026
0.023,119000,0.44,0.48482,0.01
0.029,120000,0.427,0.47122,0.007
0.028,121000,0.463,0.50799,0.003
0.024,122000,0.472,0.51321,0.015
0.017,123000,0.478,0.51743,0.007
0.031,124000,0.48,0.52353,0.027
0.022,125000,0.468,0.5118,0.03
