step_idx,avg_winning,loss_train,avg_score,avg_diff
1000,0.162,0.024,0.18193,0.041
2000,0.177,0.029,0.19474,0.036
3000,0.205,0.031,0.21983,0.032
4000,0.232,0.03,0.2472,0.038
5000,0.195,0.033,0.2139,0.033
6000,0.191,0.03,0.20886,0.039
7000,0.213,0.028,0.23262,0.037
8000,0.21,0.028,0.23144,0.026
9000,0.248,0.028,0.26656,0.027
10000,0.253,0.025,0.27508,0.031
11000,0.302,0.025,0.31808,0.032
12000,0.296,0.028,0.31613,0.027
13000,0.279,0.024,0.30223,0.021
14000,0.279,0.028,0.2987,0.025
15000,0.275,0.024,0.29583,0.034
16000,0.287,0.029,0.30934,0.015
17000,0.301,0.027,0.32419,0.034
18000,0.325,0.027,0.34634,0.03
19000,0.317,0.026,0.34172,0.02
20000,0.325,0.024,0.346,0.026
21000,0.355,0.033,0.38042,0.016
22000,0.334,0.027,0.3603,0.035
23000,0.362,0.025,0.38688,0.028
24000,0.383,0.027,0.40985,0.019
25000,0.404,0.028,0.43353,0.022
26000,0.421,0.025,0.45097,0.024
27000,0.45,0.024,0.47683,0.027
28000,0.45,0.025,0.47439,0.02
29000,0.479,0.024,0.50941,0.02
30000,0.481,0.026,0.51603,0.006
31000,0.489,0.023,0.51761,0.018
32000,0.478,0.023,0.50848,0.017
33000,0.469,0.026,0.50056,0.023
34000,0.491,0.025,0.52345,0.024
35000,0.478,0.022,0.50804,0.015
36000,0.503,0.022,0.53387,0.017
37000,0.473,0.026,0.51204,0.011
38000,0.51,0.018,0.54607,0.021
39000,0.491,0.021,0.5227,0.02
40000,0.482,0.019,0.51678,0.025
41000,0.49,0.024,0.52876,0.028
42000,0.483,0.024,0.51726,0.023
43000,0.472,0.023,0.50459,0.026
44000,0.501,0.018,0.53896,0.026
45000,0.51,0.025,0.54975,0.033
46000,0.477,0.013,0.51418,0.026
47000,0.516,0.022,0.55185,0.016
48000,0.467,0.017,0.49863,0.022
49000,0.497,0.017,0.53668,0.029
50000,0.487,0.023,0.5253,0.015
51000,0.471,0.02,0.51062,0.023
52000,0.477,0.017,0.51576,0.028
53000,0.472,0.022,0.50919,0.023
54000,0.463,0.017,0.49641,0.022
55000,0.47,0.013,0.50051,0.021
56000,0.466,0.022,0.50321,0.021
57000,0.463,0.007,0.49539,0.016
58000,0.461,0.025,0.50142,0.018
59000,0.453,0.024,0.49372,0.03
60000,0.458,0.017,0.49382,0.023
61000,0.479,0.023,0.51643,0.03
62000,0.455,0.011,0.48563,0.026
63000,0.455,0.016,0.49025,0.025
64000,0.452,0.014,0.48948,0.024
65000,0.454,0.014,0.49421,0.029
66000,0.471,0.018,0.51183,0.021
67000,0.47,0.015,0.50987,0.017
68000,0.469,0.018,0.50831,0.023
69000,0.466,0.014,0.50515,0.02
70000,0.473,0.012,0.51384,0.02
71000,0.464,0.013,0.50217,0.027
72000,0.474,0.019,0.51334,0.02
73000,0.486,0.01,0.5245,0.026
74000,0.464,0.017,0.50374,0.02
75000,0.474,0.008,0.51187,0.024
76000,0.485,0.017,0.51961,0.014
77000,0.481,0.016,0.51742,0.015
78000,0.471,0.014,0.50708,0.022
79000,0.466,0.016,0.50309,0.03
80000,0.468,0.006,0.50284,0.021
81000,0.462,0.014,0.49517,0.025
82000,0.473,0.002,0.50373,0.024
83000,0.469,0.011,0.50629,0.033
84000,0.458,0.009,0.49591,0.02
85000,0.478,0.013,0.51679,0.015
86000,0.473,0.022,0.51335,0.025
87000,0.475,0.013,0.5126,0.018
88000,0.485,0.021,0.52335,0.025
89000,0.447,0.007,0.47635,0.017
90000,0.453,0.022,0.48554,0.022
91000,0.488,0.015,0.52709,0.016
92000,0.486,0.006,0.52507,0.027
93000,0.469,0.021,0.50583,0.027
94000,0.472,0.018,0.50827,0.026
95000,0.481,0.018,0.51752,0.019
96000,0.481,0.015,0.52075,0.024
97000,0.461,0.02,0.5014,0.02
98000,0.468,0.012,0.5051,0.024
99000,0.47,0.019,0.50849,0.022
100000,0.449,0.017,0.48105,0.03
101000,0.485,0.005,0.52146,0.023
102000,0.478,0.019,0.51466,0.02
103000,0.476,0.006,0.51416,0.021
104000,0.483,0.013,0.5202,0.026
105000,0.472,0.019,0.50503,0.029
106000,0.468,0.009,0.50224,0.024
107000,0.462,0.007,0.50321,0.025
108000,0.446,0.021,0.48705,0.022
109000,0.446,0.008,0.47648,0.026
110000,0.466,0.017,0.49178,0.025
111000,0.48,0.019,0.51768,0.018
112000,0.477,0.017,0.51724,0.025
113000,0.45,0.01,0.4875,0.02
114000,0.47,0.008,0.50451,0.026
115000,0.456,0.012,0.49488,0.028
116000,0.45,0.022,0.48737,0.021
117000,0.48,0.018,0.51823,0.024
118000,0.469,0.007,0.50834,0.025
119000,0.47,0.024,0.50051,0.025
120000,0.456,0.011,0.48788,0.02
121000,0.442,0.017,0.47859,0.013
122000,0.467,0.005,0.49661,0.024
123000,0.47,0.021,0.50236,0.024
124000,0.44,0.01,0.47042,0.028
125000,0.459,0.014,0.4919,0.019
126000,0.459,0.018,0.49283,0.019
127000,0.442,0.013,0.47923,0.025
128000,0.464,0.011,0.50272,0.021
129000,0.454,0.016,0.49537,0.023
130000,0.452,0.012,0.49199,0.013
131000,0.458,0.012,0.48827,0.018
132000,0.459,0.01,0.49104,0.018
133000,0.444,0.025,0.47775,0.028
134000,0.454,0.008,0.49207,0.02
135000,0.447,0.007,0.48366,0.023
136000,0.48,0.003,0.51604,0.016
137000,0.459,0.012,0.49762,0.024
138000,0.461,0.008,0.49534,0.024
139000,0.459,0.016,0.497,0.024
140000,0.475,0.007,0.51398,0.026
141000,0.437,0.012,0.47071,0.026
142000,0.453,0.017,0.48802,0.03
143000,0.441,0.006,0.47201,0.017
144000,0.454,0.02,0.48717,0.024
145000,0.453,0.01,0.48499,0.031
146000,0.493,0.01,0.52951,0.019
147000,0.468,0.013,0.50606,0.017
148000,0.476,0.002,0.51249,0.024
149000,0.482,0.017,0.52153,0.022
150000,0.481,0.006,0.5215,0.02
151000,0.465,0.005,0.50113,0.021
152000,0.454,0.012,0.4899,0.024
153000,0.465,0.007,0.50207,0.022
154000,0.451,-0.003,0.47932,0.016
155000,0.488,0.012,0.5266,0.023
156000,0.471,0.015,0.50635,0.022
157000,0.479,0.01,0.5137,0.017
158000,0.484,0.006,0.5223,0.021
159000,0.486,0.007,0.52159,0.026
160000,0.459,0.015,0.49502,0.022
161000,0.478,0.011,0.51743,0.023
162000,0.468,0.004,0.5066,0.021
163000,0.474,0.012,0.51127,0.036
164000,0.468,0.019,0.50441,0.023
165000,0.466,0.008,0.50218,0.034
166000,0.457,0.015,0.49552,0.026
167000,0.456,0.003,0.48956,0.02
168000,0.473,0.008,0.5101,0.023
169000,0.484,0.012,0.52077,0.017
170000,0.466,0.014,0.50338,0.02
171000,0.477,0.019,0.51199,0.026
172000,0.473,0.014,0.50848,0.019
173000,0.466,0.0,0.5019,0.028
174000,0.484,0.014,0.51663,0.015
175000,0.476,0.009,0.5111,0.017
176000,0.458,0.011,0.48861,0.022
177000,0.485,0.015,0.51876,0.026
178000,0.474,0.012,0.50656,0.018
179000,0.466,0.009,0.49616,0.028
180000,0.455,0.021,0.49036,0.019
181000,0.442,0.012,0.48068,0.025
182000,0.467,0.004,0.50028,0.023
183000,0.461,0.015,0.49165,0.021
184000,0.466,0.015,0.50523,0.017
185000,0.463,0.003,0.49759,0.021
186000,0.503,0.003,0.54191,0.03
187000,0.452,0.016,0.48819,0.017
188000,0.464,0.007,0.49793,0.013
189000,0.464,0.018,0.50309,0.024
190000,0.483,0.011,0.52171,0.025
191000,0.492,0.008,0.52944,0.023
192000,0.471,0.013,0.50513,0.031
193000,0.489,0.016,0.52346,0.021
194000,0.472,0.011,0.50617,0.026
195000,0.489,0.018,0.52296,0.028
196000,0.467,0.012,0.50006,0.019
197000,0.469,0.006,0.4996,0.012
198000,0.476,0.009,0.5091,0.02
199000,0.484,0.008,0.51863,0.024
200000,0.462,0.012,0.49787,0.02
201000,0.478,0.013,0.51468,0.028
202000,0.452,0.008,0.49169,0.013
203000,0.466,0.01,0.50007,0.019
204000,0.444,0.021,0.47319,0.026
205000,0.488,0.016,0.52243,0.031
206000,0.48,0.019,0.5147,0.02
207000,0.489,0.005,0.5188,0.025
208000,0.477,0.007,0.51076,0.026
209000,0.497,0.004,0.52378,0.019
210000,0.475,0.011,0.50608,0.02
211000,0.484,0.01,0.51092,0.014
212000,0.475,0.013,0.50353,0.02
213000,0.446,0.018,0.48362,0.026
214000,0.443,0.013,0.47123,0.022
215000,0.471,0.009,0.50115,0.024
216000,0.479,0.007,0.50664,0.025
217000,0.471,0.016,0.50561,0.021
218000,0.482,0.011,0.51806,0.022
219000,0.456,0.016,0.49113,0.028
220000,0.473,0.017,0.50282,0.021
221000,0.454,0.009,0.48798,0.028
222000,0.449,0.013,0.48564,0.011
223000,0.45,0.0,0.48519,0.021
224000,0.458,0.018,0.49241,0.019
225000,0.466,0.016,0.49748,0.028
226000,0.462,0.006,0.49273,0.03
227000,0.488,0.015,0.5185,0.022
228000,0.462,0.01,0.49572,0.023
229000,0.463,0.012,0.49688,0.023
