step_idx,avg_score,loss_train,avg_diff,avg_winning
1000,0.18281,0.028,0.04,0.164
2000,0.16532,0.028,0.037,0.147
3000,0.18725,0.028,0.025,0.171
4000,0.17022,0.03,0.024,0.151
5000,0.19595,0.031,0.018,0.18
6000,0.18647,0.028,0.025,0.169
7000,0.25874,0.025,0.027,0.239
8000,0.20721,0.027,0.022,0.187
9000,0.21366,0.023,0.03,0.191
10000,0.22254,0.023,0.022,0.2
11000,0.24226,0.025,0.032,0.218
12000,0.24673,0.025,0.029,0.226
13000,0.2746,0.025,0.03,0.252
14000,0.27141,0.026,0.033,0.249
15000,0.27409,0.026,0.028,0.251
16000,0.29385,0.022,0.02,0.27
17000,0.33814,0.024,0.03,0.313
