avg_score,step_idx,avg_winning,loss_train
0.13219,1000,0.113,0.018
0.12954,2000,0.111,0.021
0.16172,3000,0.143,0.021
0.16832,4000,0.149,0.025
0.17545,5000,0.16,0.027
0.15765,6000,0.139,0.027
0.15238,7000,0.133,0.023
0.18844,8000,0.171,0.025
0.17387,9000,0.157,0.026
0.12008,10000,0.102,0.021
0.16831,11000,0.151,0.022
0.14153,12000,0.123,0.023
0.16781,13000,0.151,0.027
0.17434,14000,0.158,0.027
0.15537,15000,0.138,0.03
0.16928,16000,0.151,0.025
0.1185,17000,0.1,0.022
0.16962,18000,0.152,0.024
0.14756,19000,0.129,0.025
0.16571,20000,0.147,0.024
0.13685,21000,0.117,0.022
0.15224,22000,0.133,0.025
0.17534,23000,0.156,0.024
0.15783,24000,0.141,0.025
0.17899,25000,0.162,0.026
0.2074,26000,0.192,0.027
0.19492,27000,0.18,0.029
