loss_train,step_idx,avg_score,avg_winning
0.023,1000,0.14366,0.127
0.024,2000,0.1854,0.169
0.027,3000,0.18888,0.172
0.024,4000,0.14675,0.128
0.026,5000,0.1729,0.156
0.027,6000,0.15751,0.141
0.024,7000,0.18482,0.169
0.026,8000,0.15759,0.139
0.026,9000,0.16833,0.149
0.025,10000,0.1725,0.155
0.024,11000,0.15396,0.137
0.024,12000,0.13806,0.121
0.024,13000,0.16275,0.144
0.025,14000,0.14633,0.128
0.025,15000,0.1628,0.145
0.024,16000,0.1826,0.167
0.024,17000,0.15168,0.134
0.026,18000,0.19595,0.181
0.026,19000,0.18028,0.165
0.024,20000,0.21473,0.199
0.027,21000,0.15541,0.138
0.029,22000,0.15879,0.142
0.024,23000,0.17901,0.162
0.025,24000,0.17714,0.161
0.027,25000,0.16461,0.147
0.026,26000,0.15477,0.137
0.025,27000,0.15282,0.133
0.024,28000,0.15116,0.132
0.028,29000,0.15973,0.142
0.027,30000,0.20812,0.193
0.027,31000,0.14336,0.128
0.028,32000,0.15598,0.139
0.026,33000,0.17391,0.156
0.028,34000,0.18149,0.165
0.023,35000,0.13517,0.117
0.026,36000,0.19609,0.179
0.025,37000,0.18076,0.163
0.025,38000,0.17336,0.155
0.025,39000,0.18859,0.172
0.022,40000,0.16533,0.148
