loss_train,avg_score,avg_winning,step_idx,avg_diff
0.017,0.18652,0.171,1000,0.062
0.018,0.22335,0.209,2000,0.053
0.017,0.23295,0.22,3000,0.068
0.018,0.26005,0.249,4000,0.06
0.018,0.25768,0.247,5000,0.05
0.016,0.2707,0.259,6000,0.035
0.015,0.25959,0.247,7000,0.056
0.016,0.28569,0.276,8000,0.032
0.013,0.27298,0.262,9000,0.043
0.014,0.25429,0.243,10000,0.05
0.014,0.26936,0.262,11000,0.044
0.012,0.27172,0.261,12000,0.047
0.013,0.28674,0.274,13000,0.054
0.013,0.26702,0.252,14000,0.054
0.014,0.28508,0.274,15000,0.032
0.012,0.28769,0.285,16000,0.045
