avg_score,loss_train,step_idx,avg_winning
0.11559,0.012,1000,0.097
0.15004,0.013,2000,0.131
0.15768,0.015,3000,0.14
0.17099,0.015,4000,0.153
0.13887,0.014,5000,0.121
0.15185,0.012,6000,0.133
0.15576,0.013,7000,0.137
0.16694,0.013,8000,0.15
0.17781,0.015,9000,0.16
0.15294,0.013,10000,0.135
0.16207,0.012,11000,0.143
0.14221,0.011,12000,0.124
0.16245,0.014,13000,0.145
0.15897,0.015,14000,0.142
0.17518,0.016,15000,0.157
0.18825,0.016,16000,0.17
0.17606,0.014,17000,0.157
0.15721,0.013,18000,0.139
0.15341,0.014,19000,0.134
0.16757,0.011,20000,0.15
0.14179,0.013,21000,0.123
0.15606,0.014,22000,0.138
0.15467,0.014,23000,0.137
