loss_train,avg_score,step_idx,avg_winning,avg_diff
0.017,0.20053,1000,0.181,0.066
0.019,0.22133,2000,0.204,0.051
0.017,0.26982,3000,0.259,0.048
0.021,0.29295,4000,0.286,0.034
0.02,0.27264,5000,0.263,0.043
0.017,0.24312,6000,0.233,0.053
0.017,0.2526,7000,0.24,0.039
0.016,0.24924,8000,0.24,0.038
0.016,0.30055,9000,0.289,0.05
0.016,0.27796,10000,0.267,0.054
0.016,0.28515,11000,0.277,0.046
0.015,0.26931,12000,0.261,0.037
0.015,0.2942,13000,0.284,0.038
0.016,0.30382,14000,0.292,0.047
0.016,0.32436,15000,0.316,0.039
0.015,0.31215,16000,0.304,0.034
0.013,0.31059,17000,0.305,0.043
0.015,0.29167,18000,0.28,0.033
0.015,0.31842,19000,0.31,0.034
0.015,0.31911,20000,0.313,0.039
0.012,0.2755,21000,0.272,0.044
0.017,0.30229,22000,0.292,0.054
0.014,0.28919,23000,0.282,0.054
0.017,0.29647,24000,0.285,0.064
0.015,0.33083,25000,0.319,0.05
0.011,0.29782,26000,0.292,0.037
0.012,0.28892,27000,0.289,0.042
0.014,0.39576,28000,0.378,0.058
0.016,0.39423,29000,0.376,0.031
0.01,0.39902,30000,0.38,0.027
0.011,0.41569,31000,0.398,0.039
0.007,0.31663,32000,0.313,0.041
0.013,0.4056,33000,0.393,0.044
0.013,0.45758,34000,0.443,0.044
0.006,0.46741,35000,0.456,0.041
