step_idx,avg_score,avg_winning,loss_train
1000,0.16324,0.146,0.015
2000,0.15451,0.137,0.016
3000,0.1588,0.142,0.014
4000,0.15135,0.134,0.015
5000,0.15672,0.138,0.017
6000,0.17303,0.154,0.014
7000,0.19917,0.181,0.014
8000,0.18316,0.167,0.017
9000,0.20405,0.187,0.015
10000,0.17167,0.154,0.015
11000,0.16051,0.144,0.015
12000,0.19616,0.178,0.015
13000,0.14079,0.122,0.013
14000,0.15853,0.141,0.015
15000,0.1743,0.157,0.015
16000,0.15391,0.136,0.014
17000,0.16478,0.147,0.013
18000,0.18497,0.166,0.014
19000,0.18139,0.164,0.015
20000,0.16052,0.143,0.016
21000,0.16932,0.152,0.014
22000,0.16764,0.15,0.013
23000,0.15939,0.142,0.015
24000,0.18293,0.165,0.015
25000,0.15298,0.135,0.014
26000,0.16519,0.147,0.013
27000,0.20053,0.182,0.013
28000,0.1766,0.159,0.015
29000,0.17255,0.154,0.015
30000,0.13866,0.119,0.013
31000,0.12677,0.109,0.012
32000,0.13515,0.116,0.012
33000,0.16044,0.142,0.013
34000,0.16094,0.142,0.014
35000,0.15489,0.137,0.014
