avg_winning,avg_diff,avg_score,step_idx,loss_train
0.352,0.024,0.36715,1000,0.041
0.368,0.016,0.38555,2000,0.053
0.325,0.01,0.34633,3000,0.043
0.335,0.013,0.35621,4000,0.044
0.339,0.009,0.36543,5000,0.034
0.337,0.02,0.36502,6000,0.034
0.338,0.012,0.36702,7000,0.034
0.37,0.019,0.39808,8000,0.03
0.376,0.015,0.4071,9000,0.03
0.369,0.013,0.39836,10000,0.028
0.376,0.015,0.40826,11000,0.029
0.352,0.012,0.38406,12000,0.029
0.397,0.015,0.43095,13000,0.034
0.36,0.023,0.39581,14000,0.03
0.352,0.021,0.3885,15000,0.028
0.383,0.014,0.41343,16000,0.031
0.376,0.013,0.41647,17000,0.03
0.403,0.013,0.43661,18000,0.03
