loss_train,step_idx,avg_winning,avg_score
0.04,1000,0.383,0.39702
0.054,2000,0.37,0.38158
0.053,3000,0.36,0.37319
0.055,4000,0.366,0.37789
0.053,5000,0.383,0.39244
0.056,6000,0.341,0.35225
0.054,7000,0.346,0.35951
0.05,8000,0.332,0.34523
0.05,9000,0.388,0.40228
0.055,10000,0.334,0.34868
0.05,11000,0.37,0.38692
0.055,12000,0.366,0.38001
0.051,13000,0.364,0.3769
0.056,14000,0.365,0.37622
0.054,15000,0.346,0.36162
0.047,16000,0.342,0.3609
0.048,17000,0.346,0.35918
0.054,18000,0.369,0.37522
0.057,19000,0.385,0.39673
0.049,20000,0.373,0.38259
0.056,21000,0.351,0.36504
0.052,22000,0.346,0.35916
0.052,23000,0.384,0.39511
0.052,24000,0.385,0.40036
0.052,25000,0.356,0.37296
0.051,26000,0.34,0.35687
0.05,27000,0.388,0.39915
0.055,28000,0.371,0.38288
0.049,29000,0.348,0.36103
0.052,30000,0.371,0.38047
