loss_train,avg_diff,avg_score,step_idx,avg_winning
0.04,0.02,0.34512,1000,0.325
0.05,0.014,0.35974,2000,0.345
0.048,0.023,0.38321,3000,0.366
0.041,0.015,0.37013,4000,0.349
0.037,0.024,0.36554,5000,0.34
0.035,0.013,0.34476,6000,0.318
0.027,0.02,0.35048,7000,0.322
0.027,0.01,0.34094,8000,0.31
0.03,0.013,0.36753,9000,0.338
0.029,0.011,0.36326,10000,0.331
0.03,0.017,0.36651,11000,0.335
0.031,0.013,0.36883,12000,0.336
0.026,0.018,0.35331,13000,0.32
0.033,0.029,0.38494,14000,0.351
0.028,0.009,0.40841,15000,0.373
0.026,0.021,0.41361,16000,0.378
0.03,0.011,0.41189,17000,0.379
0.033,0.02,0.41263,18000,0.377
0.025,0.023,0.44004,19000,0.402
0.029,0.016,0.42217,20000,0.385
0.031,0.015,0.46678,21000,0.429
0.033,0.013,0.4809,22000,0.44
0.029,0.014,0.45787,23000,0.418
0.029,0.01,0.48122,24000,0.441
0.033,0.009,0.46996,25000,0.43
0.03,0.005,0.44769,26000,0.406
0.028,0.012,0.48835,27000,0.448
0.03,0.015,0.50414,28000,0.462
0.033,0.006,0.49183,29000,0.45
0.029,0.021,0.49739,30000,0.456
0.03,0.006,0.50552,31000,0.465
0.032,0.006,0.47493,32000,0.432
0.023,0.011,0.50427,33000,0.465
0.035,0.021,0.50246,34000,0.459
0.031,0.007,0.52055,35000,0.476
0.032,0.016,0.51132,36000,0.471
0.035,0.003,0.52834,37000,0.483
0.026,0.01,0.53327,38000,0.49
