avg_winning,step_idx,loss_train,avg_score
0.362,1000,0.037,0.37518
0.372,2000,0.057,0.38691
0.359,3000,0.053,0.3731
0.368,4000,0.05,0.38244
0.347,5000,0.049,0.35801
0.387,6000,0.058,0.40049
0.36,7000,0.051,0.37005
0.374,8000,0.054,0.38234
0.371,9000,0.054,0.37911
0.387,10000,0.052,0.3947
0.331,11000,0.055,0.34339
0.357,12000,0.053,0.37183
0.362,13000,0.054,0.3749
0.357,14000,0.05,0.36754
0.354,15000,0.05,0.36735
0.343,16000,0.046,0.35497
0.403,17000,0.054,0.41043
0.367,18000,0.049,0.37447
0.351,19000,0.057,0.35796
0.368,20000,0.056,0.37709
0.369,21000,0.046,0.37984
0.359,22000,0.052,0.36892
0.372,23000,0.053,0.38506
0.344,24000,0.051,0.36052
0.329,25000,0.048,0.34348
0.362,26000,0.047,0.3766
0.328,27000,0.05,0.34378
0.365,28000,0.053,0.37888
0.355,29000,0.055,0.36946
0.357,30000,0.049,0.37134
0.379,31000,0.052,0.38586
0.36,32000,0.053,0.37508
0.364,33000,0.049,0.37975
0.346,34000,0.05,0.36123
0.382,35000,0.051,0.39113
0.357,36000,0.052,0.37309
0.334,37000,0.051,0.35079
0.345,38000,0.05,0.3623
0.347,39000,0.051,0.36122
0.377,40000,0.052,0.38955
0.357,41000,0.052,0.37088
0.363,42000,0.052,0.37701
0.354,43000,0.05,0.36639
