step_idx,loss_train,avg_winning,avg_score
1000,0.027,0.209,0.22839
2000,0.033,0.203,0.21988
3000,0.033,0.201,0.21651
4000,0.031,0.186,0.20392
5000,0.037,0.191,0.20782
6000,0.036,0.221,0.23482
7000,0.035,0.208,0.2232
8000,0.033,0.192,0.20881
9000,0.03,0.178,0.19625
10000,0.031,0.197,0.21357
11000,0.033,0.184,0.20054
12000,0.033,0.211,0.22718
13000,0.034,0.254,0.26815
14000,0.037,0.194,0.2083
15000,0.037,0.227,0.23866
16000,0.041,0.224,0.23332
17000,0.038,0.215,0.23061
18000,0.036,0.195,0.21034
19000,0.035,0.195,0.21247
20000,0.034,0.193,0.20941
21000,0.034,0.22,0.23481
22000,0.036,0.219,0.23212
23000,0.038,0.192,0.20759
24000,0.039,0.223,0.23601
25000,0.034,0.198,0.21269
26000,0.039,0.222,0.2367
27000,0.035,0.194,0.20984
28000,0.034,0.221,0.23263
29000,0.035,0.21,0.22504
30000,0.035,0.194,0.20909
31000,0.036,0.206,0.22059
32000,0.038,0.208,0.22043
33000,0.034,0.219,0.23481
34000,0.036,0.221,0.23688
35000,0.036,0.227,0.23999
36000,0.036,0.237,0.25193
37000,0.034,0.212,0.22374
38000,0.036,0.221,0.23389
39000,0.037,0.219,0.23278
40000,0.033,0.216,0.23082
41000,0.039,0.216,0.22986
42000,0.036,0.205,0.21732
43000,0.039,0.22,0.23183
44000,0.039,0.224,0.23522
45000,0.039,0.175,0.1922
46000,0.035,0.199,0.21343
47000,0.036,0.214,0.22903
48000,0.036,0.229,0.24362
49000,0.035,0.206,0.21993
50000,0.037,0.188,0.20305
51000,0.034,0.212,0.22539
52000,0.035,0.229,0.24213
53000,0.036,0.22,0.23534
54000,0.036,0.201,0.21587
55000,0.036,0.213,0.22975
56000,0.033,0.21,0.22513
57000,0.036,0.232,0.24639
58000,0.036,0.236,0.25013
59000,0.038,0.206,0.21966
60000,0.039,0.217,0.23257
61000,0.034,0.207,0.22262
62000,0.036,0.221,0.23505
63000,0.034,0.215,0.23054
64000,0.036,0.23,0.24365
65000,0.038,0.218,0.23232
66000,0.036,0.23,0.24405
67000,0.038,0.237,0.24988
68000,0.037,0.205,0.22061
69000,0.036,0.208,0.22143
70000,0.035,0.203,0.21681
71000,0.034,0.199,0.21504
72000,0.034,0.211,0.22528
73000,0.037,0.196,0.21129
74000,0.034,0.228,0.24148
75000,0.037,0.217,0.22957
76000,0.038,0.199,0.21548
77000,0.033,0.224,0.23899
78000,0.036,0.22,0.23309
79000,0.038,0.223,0.23729
80000,0.036,0.23,0.24446
81000,0.034,0.215,0.22962
82000,0.036,0.224,0.23812
83000,0.035,0.223,0.2349
84000,0.037,0.213,0.22539
85000,0.034,0.219,0.23436
86000,0.035,0.205,0.22075
87000,0.036,0.207,0.22087
88000,0.036,0.199,0.21488
89000,0.037,0.213,0.22414
90000,0.038,0.217,0.2305
91000,0.039,0.219,0.23056
92000,0.036,0.245,0.25746
93000,0.037,0.223,0.23648
94000,0.037,0.239,0.25251
95000,0.037,0.206,0.2174
96000,0.037,0.233,0.24564
97000,0.039,0.214,0.22584
98000,0.037,0.216,0.23091
99000,0.034,0.221,0.23617
100000,0.035,0.203,0.21751
101000,0.032,0.192,0.20532
102000,0.033,0.213,0.22898
103000,0.036,0.225,0.23995
104000,0.034,0.185,0.20088
105000,0.035,0.202,0.21616
106000,0.036,0.221,0.23703
107000,0.037,0.21,0.22266
108000,0.037,0.202,0.21709
109000,0.037,0.228,0.24248
110000,0.037,0.217,0.23119
111000,0.034,0.22,0.23384
112000,0.037,0.205,0.2178
113000,0.035,0.203,0.21675
114000,0.037,0.213,0.22564
115000,0.04,0.226,0.23853
116000,0.038,0.202,0.21457
117000,0.038,0.186,0.1993
118000,0.038,0.216,0.22958
119000,0.036,0.243,0.25529
120000,0.039,0.215,0.22755
121000,0.039,0.215,0.22716
122000,0.037,0.225,0.23848
123000,0.035,0.22,0.23383
124000,0.037,0.194,0.20807
125000,0.037,0.237,0.25025
126000,0.038,0.22,0.23269
127000,0.037,0.219,0.23138
128000,0.036,0.226,0.2393
129000,0.036,0.202,0.21657
130000,0.033,0.204,0.21844
131000,0.032,0.234,0.24837
132000,0.037,0.204,0.21863
133000,0.037,0.205,0.21922
134000,0.037,0.229,0.2436
135000,0.035,0.237,0.25099
136000,0.037,0.222,0.23636
137000,0.036,0.19,0.2062
