step_idx,avg_score,loss_train,avg_diff,avg_winning
1000,0.21826,0.033,0.033,0.201
2000,0.21322,0.042,0.012,0.204
3000,0.22666,0.039,0.029,0.209
4000,0.2169,0.037,0.017,0.202
5000,0.23472,0.036,0.023,0.218
6000,0.24585,0.033,0.026,0.227
7000,0.2508,0.034,0.022,0.232
8000,0.23188,0.027,0.024,0.206
9000,0.26705,0.025,0.019,0.244
10000,0.32101,0.03,0.025,0.297
11000,0.27428,0.036,0.027,0.249
12000,0.2793,0.035,0.033,0.254
13000,0.33522,0.029,0.019,0.31
14000,0.31408,0.033,0.019,0.29
15000,0.36274,0.03,0.018,0.336
16000,0.37296,0.031,0.035,0.351
17000,0.39025,0.033,0.014,0.36
18000,0.41091,0.031,0.019,0.379
19000,0.44763,0.027,0.018,0.416
20000,0.43571,0.032,0.024,0.409
21000,0.44031,0.028,0.026,0.407
22000,0.44934,0.031,0.011,0.417
23000,0.44179,0.034,0.024,0.414
24000,0.43807,0.033,0.026,0.403
25000,0.44964,0.029,0.023,0.418
26000,0.48693,0.033,0.013,0.453
27000,0.49614,0.031,0.021,0.46
28000,0.43436,0.032,0.02,0.413
29000,0.4978,0.033,0.011,0.467
30000,0.48917,0.039,0.013,0.453
31000,0.48189,0.03,0.024,0.444
32000,0.49166,0.025,0.022,0.461
33000,0.48841,0.03,0.014,0.458
34000,0.49786,0.032,0.019,0.461
35000,0.4913,0.031,0.019,0.46
36000,0.47838,0.025,0.024,0.445
37000,0.49413,0.036,0.02,0.463
38000,0.50681,0.032,0.017,0.475
39000,0.51006,0.032,0.026,0.471
40000,0.50489,0.031,0.021,0.467
41000,0.4265,0.018,0.02,0.417
42000,0.50019,0.028,0.019,0.463
43000,0.50106,0.032,0.021,0.467
44000,0.50927,0.028,0.021,0.47
45000,0.49134,0.018,0.025,0.46
46000,0.49661,0.028,0.027,0.461
47000,0.52152,0.019,0.024,0.485
48000,0.5029,0.02,0.023,0.465
49000,0.4957,0.014,0.023,0.464
50000,0.48302,0.019,0.018,0.453
51000,0.49834,0.021,0.03,0.462
52000,0.49466,0.017,0.037,0.458
53000,0.47966,0.005,0.027,0.453
54000,0.50725,0.013,0.019,0.47
55000,0.50381,0.028,0.037,0.464
56000,0.49959,0.019,0.027,0.461
57000,0.50563,0.021,0.028,0.468
58000,0.50361,0.005,0.024,0.47
59000,0.51902,0.029,0.026,0.484
60000,0.50282,0.019,0.024,0.465
61000,0.52695,0.022,0.017,0.488
62000,0.49912,0.02,0.023,0.463
63000,0.49437,0.021,0.026,0.456
64000,0.51381,0.03,0.02,0.475
65000,0.50616,0.015,0.02,0.469
66000,0.49089,0.022,0.025,0.451
67000,0.49375,0.022,0.03,0.454
68000,0.50374,0.012,0.023,0.468
69000,0.50039,0.024,0.018,0.462
70000,0.49598,0.02,0.025,0.456
71000,0.52316,0.023,0.02,0.483
72000,0.50389,0.029,0.022,0.462
73000,0.50387,0.022,0.018,0.466
74000,0.4949,0.024,0.018,0.455
75000,0.50508,0.032,0.019,0.465
76000,0.5181,0.019,0.022,0.478
77000,0.50437,0.013,0.022,0.465
78000,0.52393,0.027,0.019,0.486
79000,0.52368,0.025,0.016,0.483
80000,0.51724,0.014,0.016,0.477
81000,0.50818,0.012,0.014,0.47
82000,0.51035,0.007,0.022,0.469
83000,0.5031,0.026,0.026,0.461
84000,0.50536,0.027,0.021,0.463
85000,0.47131,0.028,0.024,0.429
86000,0.47974,0.021,0.028,0.438
87000,0.47961,0.009,0.02,0.454
88000,0.52559,0.033,0.02,0.489
89000,0.51323,0.024,0.024,0.473
90000,0.48942,0.022,0.026,0.457
91000,0.5226,0.028,0.013,0.484
92000,0.51002,0.029,0.006,0.469
93000,0.52796,0.018,0.018,0.486
94000,0.49183,0.028,0.024,0.45
95000,0.50228,0.029,0.026,0.459
96000,0.50754,0.015,0.027,0.466
97000,0.50122,0.026,0.022,0.459
98000,0.51653,0.023,0.02,0.477
99000,0.51172,0.019,0.015,0.469
100000,0.51466,0.013,0.022,0.474
