loss_train,step_idx,avg_winning,avg_score
0.027,1000,0.174,0.19289
0.033,2000,0.195,0.20852
0.037,3000,0.2,0.21746
0.031,4000,0.218,0.23421
0.039,5000,0.215,0.22949
0.034,6000,0.216,0.23125
0.033,7000,0.19,0.20793
0.032,8000,0.189,0.20758
0.033,9000,0.181,0.19869
0.029,10000,0.17,0.18988
0.029,11000,0.179,0.19547
0.034,12000,0.179,0.19613
0.036,13000,0.202,0.21523
0.04,14000,0.236,0.24419
0.039,15000,0.206,0.21924
0.035,16000,0.177,0.19222
0.033,17000,0.204,0.22103
0.033,18000,0.215,0.23079
0.034,19000,0.244,0.25924
0.037,20000,0.212,0.22719
0.033,21000,0.216,0.22989
0.035,22000,0.221,0.23721
0.032,23000,0.221,0.23301
0.037,24000,0.212,0.22281
0.037,25000,0.224,0.23675
0.036,26000,0.223,0.23662
0.04,27000,0.222,0.23262
0.038,28000,0.209,0.22316
0.034,29000,0.234,0.24741
0.036,30000,0.221,0.23242
0.038,31000,0.219,0.23289
0.036,32000,0.204,0.21891
0.036,33000,0.206,0.21813
0.036,34000,0.191,0.20557
0.037,35000,0.219,0.23056
0.034,36000,0.21,0.22517
0.036,37000,0.219,0.23023
0.036,38000,0.233,0.24398
0.039,39000,0.228,0.23935
0.037,40000,0.215,0.22855
