avg_winning,step_idx,avg_diff,avg_score,loss_train
0.147,1000,0.054,0.16547,0.02
0.169,2000,0.054,0.18557,0.018
0.206,3000,0.059,0.2177,0.02
0.229,4000,0.043,0.24104,0.02
0.185,5000,0.044,0.19766,0.017
0.223,6000,0.03,0.23419,0.018
0.216,7000,0.066,0.22696,0.019
0.225,8000,0.046,0.23552,0.018
0.25,9000,0.044,0.26481,0.019
0.224,10000,0.064,0.23498,0.018
0.235,11000,0.051,0.24695,0.016
0.25,12000,0.038,0.25968,0.019
0.248,13000,0.039,0.25902,0.018
0.262,14000,0.055,0.27675,0.018
0.243,15000,0.046,0.25674,0.016
0.278,16000,0.048,0.29281,0.017
0.253,17000,0.033,0.26381,0.013
0.276,18000,0.037,0.28833,0.017
0.262,19000,0.049,0.27962,0.017
0.283,20000,0.029,0.29184,0.018
0.276,21000,0.055,0.29361,0.018
0.287,22000,0.044,0.30285,0.016
0.28,23000,0.054,0.2945,0.017
0.285,24000,0.048,0.29795,0.015
0.281,25000,0.05,0.2962,0.014
0.303,26000,0.038,0.31999,0.015
0.3,27000,0.045,0.3198,0.015
0.288,28000,0.035,0.30765,0.014
0.339,29000,0.045,0.36012,0.018
0.3,30000,0.051,0.31142,0.015
0.338,31000,0.045,0.35746,0.015
0.363,32000,0.038,0.3827,0.012
0.384,33000,0.056,0.40216,0.014
0.323,34000,0.048,0.32636,0.009
0.387,35000,0.056,0.40111,0.014
0.451,36000,0.031,0.47169,0.015
0.492,37000,0.026,0.51284,0.009
0.475,38000,0.033,0.4908,0.013
0.476,39000,0.033,0.49383,0.013
0.271,40000,0.052,0.25888,-0.003
0.502,41000,0.029,0.51762,0.011
0.472,42000,0.043,0.48614,0.007
0.509,43000,0.038,0.53753,0.01
0.496,44000,0.027,0.52326,0.009
0.526,45000,0.033,0.55355,-0.004
0.519,46000,0.021,0.54911,0.003
0.495,47000,0.041,0.52447,0.005
0.501,48000,0.03,0.53269,0.009
0.498,49000,0.037,0.52781,0.0
0.461,50000,0.043,0.48707,-0.003
0.51,51000,0.039,0.54409,-0.001
0.51,52000,0.024,0.54368,0.015
0.491,53000,0.034,0.52425,0.006
0.483,54000,0.029,0.51567,0.002
0.487,55000,0.026,0.51786,0.001
0.479,56000,0.037,0.5097,0.002
0.491,57000,0.023,0.52555,0.004
0.477,58000,0.027,0.5089,0.002
0.483,59000,0.026,0.51645,-0.01
0.459,60000,0.037,0.48974,-0.02
0.531,61000,0.014,0.56796,-0.003
0.58,62000,0.018,0.61851,-0.009
0.572,63000,0.014,0.60983,-0.005
0.481,64000,0.017,0.5131,-0.008
0.576,65000,0.026,0.61408,-0.004
0.535,66000,0.015,0.56861,-0.01
0.592,67000,0.022,0.62929,-0.007
0.587,68000,0.021,0.62533,-0.013
0.606,69000,0.02,0.644,-0.002
0.604,70000,0.015,0.64304,0.003
0.596,71000,0.015,0.63512,-0.011
0.588,72000,0.015,0.62669,-0.004
0.601,73000,0.017,0.63941,0.001
0.579,74000,0.021,0.61806,-0.007
0.594,75000,0.018,0.63398,-0.003
0.589,76000,0.018,0.6286,-0.002
0.599,77000,0.018,0.6384,-0.009
0.597,78000,0.017,0.63641,-0.009
0.603,79000,0.019,0.6427,-0.008
0.596,80000,0.02,0.63459,-0.013
0.597,81000,0.02,0.63749,-0.007
0.596,82000,0.013,0.63293,-0.01
0.604,83000,0.022,0.64409,-0.008
0.602,84000,0.019,0.64078,-0.008
0.611,85000,0.02,0.65063,-0.009
0.6,86000,0.019,0.64008,-0.005
0.604,87000,0.019,0.64421,-0.003
0.575,88000,0.018,0.61451,-0.008
0.586,89000,0.016,0.62596,-0.008
0.593,90000,0.018,0.63192,-0.017
0.58,91000,0.015,0.61831,-0.007
0.598,92000,0.016,0.63724,0.003
0.595,93000,0.02,0.63302,0.003
0.589,94000,0.019,0.62777,-0.0
0.593,95000,0.017,0.63153,-0.016
0.583,96000,0.017,0.62274,-0.005
0.596,97000,0.016,0.63569,-0.018
0.589,98000,0.018,0.62767,-0.003
0.579,99000,0.021,0.61863,-0.005
0.594,100000,0.016,0.63325,-0.007
0.575,101000,0.018,0.61381,-0.006
0.585,102000,0.02,0.62377,-0.0
0.582,103000,0.01,0.62107,-0.008
0.574,104000,0.016,0.61343,-0.001
0.581,105000,0.014,0.62085,-0.005
0.58,106000,0.027,0.61966,-0.004
0.585,107000,0.022,0.62451,-0.004
0.584,108000,0.015,0.62286,-0.005
0.578,109000,0.018,0.61628,-0.008
0.572,110000,0.013,0.61032,-0.002
0.584,111000,0.008,0.62205,-0.006
0.575,112000,0.015,0.61256,-0.016
0.58,113000,0.01,0.61806,-0.009
0.589,114000,0.014,0.62718,-0.011
0.569,115000,0.015,0.60573,-0.01
