avg_diff,avg_winning,loss_train,step_idx,avg_score
0.075,0.175,0.016,1000,0.19094
0.052,0.2,0.017,2000,0.21484
0.058,0.254,0.018,3000,0.26338
0.07,0.248,0.015,4000,0.25601
0.055,0.267,0.014,5000,0.27356
0.062,0.288,0.015,6000,0.29428
0.057,0.288,0.012,7000,0.2951
0.068,0.259,0.012,8000,0.26841
0.06,0.289,0.013,9000,0.29761
0.045,0.238,0.013,10000,0.24668
0.079,0.289,0.012,11000,0.29429
0.071,0.291,0.012,12000,0.29746
0.064,0.268,0.012,13000,0.27498
0.062,0.293,0.013,14000,0.30118
0.053,0.296,0.013,15000,0.3035
0.059,0.315,0.011,16000,0.32157
0.067,0.281,0.011,17000,0.29006
0.042,0.294,0.012,18000,0.29793
0.041,0.31,0.012,19000,0.31784
0.049,0.288,0.012,20000,0.29754
0.053,0.299,0.011,21000,0.30665
0.05,0.308,0.009,22000,0.31729
0.046,0.306,0.012,23000,0.31472
0.056,0.306,0.012,24000,0.31192
0.05,0.3,0.012,25000,0.30439
0.055,0.3,0.011,26000,0.31149
0.057,0.304,0.011,27000,0.31409
0.049,0.318,0.011,28000,0.33
0.053,0.314,0.009,29000,0.31932
0.049,0.341,0.007,30000,0.35088
0.045,0.339,0.007,31000,0.34456
0.047,0.352,0.007,32000,0.36231
0.041,0.378,0.002,33000,0.39025
0.061,0.345,0.002,34000,0.35192
0.048,0.325,0.004,35000,0.32354
0.053,0.44,0.003,36000,0.45135
0.05,0.441,0.003,37000,0.44572
0.041,0.429,-0.001,38000,0.4355
0.048,0.521,0.002,39000,0.53065
0.023,0.545,0.003,40000,0.55551
0.038,0.544,-0.004,41000,0.55336
0.044,0.493,-0.003,42000,0.49962
0.051,0.525,0.009,43000,0.53576
0.024,0.439,0.005,44000,0.44647
0.052,0.388,-0.003,45000,0.39317
0.021,0.49,-0.017,46000,0.50169
0.032,0.489,-0.002,47000,0.49925
0.042,0.44,-0.011,48000,0.44852
0.031,0.546,-0.006,49000,0.55849
0.028,0.497,-0.001,50000,0.50778
0.024,0.56,-0.005,51000,0.57882
0.039,0.562,-0.012,52000,0.57473
0.03,0.516,0.007,53000,0.52755
0.032,0.531,-0.016,54000,0.54029
0.05,0.352,-0.01,55000,0.35191
0.031,0.564,-0.009,56000,0.57545
0.035,0.518,-0.016,57000,0.52313
0.032,0.598,-0.016,58000,0.60969
0.035,0.567,-0.004,59000,0.58435
0.036,0.56,-0.016,60000,0.57579
0.025,0.552,-0.006,61000,0.5715
0.028,0.538,-0.018,62000,0.55449
0.032,0.495,-0.028,63000,0.51126
0.034,0.468,-0.016,64000,0.48454
0.03,0.54,-0.006,65000,0.56146
0.03,0.542,-0.012,66000,0.56234
0.029,0.541,-0.013,67000,0.56318
0.028,0.52,-0.026,68000,0.54116
0.029,0.545,-0.015,69000,0.56861
0.015,0.565,-0.007,70000,0.59055
0.028,0.475,-0.024,71000,0.49632
0.021,0.588,-0.009,72000,0.61446
0.025,0.587,-0.007,73000,0.61435
0.02,0.536,-0.023,74000,0.56073
0.024,0.486,-0.019,75000,0.50749
0.023,0.521,-0.025,76000,0.54442
0.02,0.576,-0.017,77000,0.60327
0.019,0.553,-0.02,78000,0.57948
0.026,0.546,-0.021,79000,0.57242
0.023,0.596,-0.015,80000,0.62522
0.018,0.578,-0.019,81000,0.60672
0.018,0.576,-0.027,82000,0.6053
0.011,0.601,-0.016,83000,0.63127
0.011,0.619,-0.017,84000,0.64959
