avg_score,avg_winning,loss_train,step_idx,avg_diff
0.21346,0.193,0.029,1000,0.025
0.25783,0.242,0.04,2000,0.012
0.29541,0.278,0.042,3000,0.017
0.23546,0.216,0.035,4000,0.028
0.29118,0.271,0.028,5000,0.024
0.29431,0.272,0.033,6000,0.025
0.3351,0.313,0.033,7000,0.019
0.30227,0.277,0.039,8000,0.028
0.30943,0.284,0.027,9000,0.019
0.32415,0.3,0.03,10000,0.017
0.34627,0.317,0.031,11000,0.029
0.34568,0.316,0.027,12000,0.018
0.35713,0.326,0.03,13000,0.02
0.37481,0.346,0.029,14000,0.022
0.37725,0.355,0.031,15000,0.012
0.4308,0.401,0.032,16000,0.02
0.41421,0.383,0.033,17000,0.014
0.45822,0.424,0.029,18000,0.028
0.44944,0.418,0.026,19000,0.018
0.46078,0.428,0.034,20000,0.022
0.46475,0.43,0.025,21000,0.02
0.5072,0.475,0.03,22000,0.019
0.46825,0.432,0.032,23000,0.004
0.4648,0.442,0.023,24000,0.017
0.50546,0.469,0.021,25000,0.028
0.49431,0.465,0.027,26000,0.019
0.46811,0.449,0.028,27000,0.013
0.50002,0.464,0.025,28000,0.018
0.482,0.447,0.033,29000,0.02
0.49992,0.466,0.022,30000,0.022
0.48744,0.452,0.025,31000,0.012
0.49198,0.454,0.023,32000,0.029
0.47979,0.441,0.031,33000,0.02
0.50332,0.474,0.022,34000,0.014
0.49471,0.455,0.033,35000,0.03
0.50761,0.471,0.021,36000,0.018
0.35865,0.358,0.016,37000,0.015
0.49704,0.461,0.015,38000,0.016
0.48062,0.453,0.024,39000,0.008
0.50782,0.469,0.022,40000,0.017
0.50551,0.47,0.017,41000,0.024
0.50863,0.467,0.037,42000,0.015
0.50489,0.466,0.016,43000,0.02
0.49614,0.463,0.026,44000,0.024
0.51573,0.476,0.03,45000,0.024
0.50677,0.468,0.02,46000,0.021
0.51169,0.472,0.02,47000,0.012
0.4982,0.464,0.017,48000,0.016
0.49527,0.456,0.029,49000,0.029
0.48759,0.453,0.021,50000,0.024
0.49497,0.455,0.031,51000,0.03
0.50597,0.471,0.01,52000,0.016
0.5061,0.469,0.032,53000,0.013
