avg_diff,step_idx,avg_score,loss_train,avg_winning
0.017,1000,0.24937,0.034,0.233
0.012,2000,0.27214,0.041,0.26
0.02,3000,0.27524,0.046,0.263
0.025,4000,0.28061,0.042,0.269
0.015,5000,0.26114,0.036,0.244
0.019,6000,0.26873,0.034,0.249
0.023,7000,0.28796,0.031,0.268
0.008,8000,0.31401,0.03,0.292
0.023,9000,0.31703,0.031,0.295
0.034,10000,0.31449,0.031,0.287
0.025,11000,0.30945,0.028,0.287
0.021,12000,0.32692,0.028,0.299
0.036,13000,0.35553,0.029,0.324
0.028,14000,0.38035,0.025,0.348
0.031,15000,0.40622,0.024,0.38
0.025,16000,0.42249,0.029,0.392
0.027,17000,0.44001,0.03,0.406
0.015,18000,0.45645,0.03,0.425
0.007,19000,0.45548,0.025,0.431
0.021,20000,0.49102,0.027,0.457
0.019,21000,0.48949,0.028,0.454
0.016,22000,0.47681,0.029,0.45
0.022,23000,0.49639,0.031,0.463
0.02,24000,0.50488,0.028,0.467
0.014,25000,0.48862,0.022,0.459
0.023,26000,0.50463,0.027,0.474
0.009,27000,0.49335,0.029,0.465
0.014,28000,0.50661,0.027,0.476
0.015,29000,0.49342,0.03,0.471
0.018,30000,0.51561,0.026,0.483
0.022,31000,0.5091,0.029,0.472
0.012,32000,0.5079,0.026,0.479
0.017,33000,0.51824,0.028,0.48
0.016,34000,0.51521,0.019,0.478
0.019,35000,0.49292,0.019,0.462
0.022,36000,0.50473,0.02,0.469
0.017,37000,0.5202,0.027,0.481
0.009,38000,0.50494,0.016,0.467
0.021,39000,0.51237,0.022,0.48
0.012,40000,0.50601,0.023,0.466
0.025,41000,0.53576,0.014,0.495
0.012,42000,0.51065,0.029,0.474
0.02,43000,0.50702,0.024,0.469
0.015,44000,0.52694,0.016,0.486
0.017,45000,0.51284,0.021,0.479
0.022,46000,0.49916,0.019,0.473
0.013,47000,0.53334,0.028,0.498
0.019,48000,0.54832,0.019,0.507
0.021,49000,0.51736,0.019,0.481
0.018,50000,0.51325,0.028,0.473
0.017,51000,0.52188,0.022,0.48
0.015,52000,0.52581,0.021,0.484
0.018,53000,0.52954,0.011,0.489
0.021,54000,0.53263,0.016,0.49
0.019,55000,0.53249,0.017,0.491
0.029,56000,0.53051,0.011,0.489
0.016,57000,0.51371,0.013,0.472
0.022,58000,0.52317,0.023,0.483
0.016,59000,0.52447,0.021,0.481
0.016,60000,0.52532,0.013,0.483
0.021,61000,0.51608,0.028,0.474
0.023,62000,0.51918,0.018,0.477
0.02,63000,0.50623,0.007,0.465
0.026,64000,0.52477,0.028,0.482
0.019,65000,0.51627,0.022,0.475
0.02,66000,0.51557,0.018,0.48
0.021,67000,0.54304,0.021,0.5
0.029,68000,0.49644,0.028,0.454
0.031,69000,0.48846,0.015,0.446
0.017,70000,0.52842,0.009,0.485
0.024,71000,0.49721,0.011,0.456
0.026,72000,0.50305,0.024,0.463
0.021,73000,0.51674,0.014,0.474
0.026,74000,0.50874,0.018,0.469
0.018,75000,0.53122,0.023,0.49
0.023,76000,0.51197,0.017,0.47
0.026,77000,0.49722,0.012,0.457
0.028,78000,0.51399,0.013,0.475
0.027,79000,0.51067,0.015,0.47
