loss_train,avg_winning,avg_diff,avg_score,step_idx
0.036,0.226,0.029,0.24352,1000
0.043,0.231,0.023,0.2463,2000
0.038,0.265,0.021,0.27996,3000
0.038,0.275,0.031,0.28857,4000
0.037,0.27,0.022,0.28864,5000
0.035,0.236,0.027,0.25754,6000
0.028,0.228,0.029,0.2509,7000
0.035,0.246,0.031,0.26919,8000
0.037,0.254,0.023,0.2765,9000
0.035,0.289,0.019,0.31231,10000
0.03,0.271,0.026,0.29819,11000
0.027,0.262,0.025,0.29064,12000
0.029,0.283,0.016,0.31262,13000
0.032,0.304,0.022,0.33522,14000
0.032,0.297,0.025,0.32689,15000
0.029,0.296,0.026,0.32618,16000
0.034,0.332,0.017,0.36233,17000
0.03,0.353,0.036,0.38063,18000
0.034,0.339,0.023,0.37185,19000
0.028,0.375,0.016,0.40466,20000
0.031,0.389,0.021,0.42026,21000
0.036,0.364,0.025,0.39994,22000
0.028,0.377,0.015,0.41075,23000
0.032,0.434,0.013,0.47013,24000
0.034,0.399,0.019,0.4335,25000
0.03,0.415,0.014,0.43989,26000
0.034,0.441,0.02,0.47512,27000
0.032,0.42,0.022,0.45538,28000
0.031,0.437,0.013,0.4725,29000
0.032,0.432,0.023,0.46853,30000
0.032,0.469,0.017,0.50544,31000
0.032,0.479,0.012,0.5163,32000
0.032,0.457,0.023,0.48135,33000
0.029,0.464,0.02,0.50185,34000
0.036,0.458,0.023,0.49853,35000
0.036,0.465,0.026,0.49051,36000
0.034,0.446,0.015,0.48353,37000
0.031,0.451,0.018,0.48727,38000
0.031,0.485,0.017,0.5208,39000
0.028,0.459,0.024,0.49575,40000
0.031,0.454,0.022,0.4891,41000
0.03,0.451,0.027,0.48877,42000
0.029,0.44,0.018,0.47176,43000
0.031,0.449,0.021,0.48229,44000
0.029,0.475,0.025,0.51365,45000
0.033,0.429,0.028,0.46952,46000
0.025,0.452,0.021,0.49203,47000
0.026,0.448,0.032,0.48818,48000
0.028,0.437,0.006,0.47858,49000
0.029,0.455,0.019,0.49482,50000
0.028,0.446,0.019,0.4791,51000
0.025,0.448,0.022,0.48797,52000
0.028,0.444,0.027,0.48676,53000
0.029,0.462,0.029,0.50392,54000
0.028,0.45,0.019,0.49071,55000
0.029,0.454,0.02,0.49545,56000
0.027,0.464,0.016,0.50605,57000
0.03,0.454,0.021,0.49118,58000
0.023,0.45,0.022,0.49156,59000
0.029,0.434,0.017,0.46921,60000
0.029,0.422,0.014,0.45486,61000
0.022,0.453,0.025,0.49264,62000
0.022,0.452,0.023,0.4903,63000
0.023,0.444,0.022,0.47965,64000
0.024,0.473,0.023,0.50852,65000
0.02,0.465,0.031,0.50317,66000
0.015,0.46,0.024,0.50158,67000
0.02,0.406,0.021,0.43901,68000
0.017,0.444,0.025,0.48321,69000
0.026,0.463,0.03,0.50522,70000
0.023,0.458,0.019,0.50115,71000
0.021,0.472,0.013,0.50998,72000
0.03,0.472,0.016,0.51425,73000
0.025,0.46,0.026,0.50195,74000
0.019,0.449,0.018,0.4896,75000
0.032,0.45,0.012,0.49243,76000
0.019,0.467,0.022,0.50734,77000
0.033,0.474,0.03,0.51648,78000
0.026,0.47,0.022,0.51437,79000
0.014,0.452,0.024,0.49249,80000
0.021,0.457,0.022,0.49609,81000
0.01,0.456,0.023,0.49578,82000
0.026,0.454,0.022,0.49516,83000
0.028,0.453,0.017,0.49457,84000
0.019,0.445,0.017,0.48756,85000
0.024,0.452,0.017,0.4892,86000
0.033,0.464,0.02,0.50557,87000
0.035,0.45,0.02,0.49334,88000
0.022,0.439,0.019,0.48146,89000
0.014,0.458,0.011,0.4974,90000
0.013,0.478,0.017,0.52067,91000
0.027,0.463,0.016,0.50548,92000
0.025,0.444,0.014,0.48694,93000
0.025,0.447,0.028,0.49095,94000
0.026,0.43,0.026,0.46929,95000
0.019,0.441,0.019,0.47849,96000
0.022,0.456,0.01,0.49984,97000
0.027,0.466,0.016,0.50917,98000
0.023,0.43,0.021,0.47305,99000
0.026,0.458,0.02,0.50022,100000
0.022,0.454,0.016,0.49657,101000
0.028,0.44,0.009,0.47983,102000
0.018,0.459,0.017,0.49779,103000
