loss_train,avg_winning,avg_score,step_idx,avg_diff
0.037,0.257,0.27221,1000,0.032
0.047,0.282,0.297,2000,0.021
0.043,0.296,0.30679,3000,0.014
0.04,0.27,0.28862,4000,0.022
0.033,0.283,0.30275,5000,0.017
0.035,0.276,0.29549,6000,0.029
0.031,0.254,0.27792,7000,0.017
0.029,0.25,0.27514,8000,0.029
0.028,0.293,0.3183,9000,0.035
0.025,0.293,0.31883,10000,0.024
0.031,0.294,0.32222,11000,0.019
0.029,0.292,0.31882,12000,0.013
0.028,0.305,0.33488,13000,0.021
0.028,0.329,0.3556,14000,0.023
0.027,0.307,0.33758,15000,0.02
0.027,0.343,0.37275,16000,0.022
0.032,0.348,0.38045,17000,0.022
0.03,0.356,0.3903,18000,0.027
0.029,0.363,0.39812,19000,0.02
0.026,0.358,0.39497,20000,0.018
0.028,0.417,0.4509,21000,0.011
0.029,0.425,0.45157,22000,0.026
0.032,0.434,0.46791,23000,0.016
0.029,0.422,0.45689,24000,0.022
0.031,0.393,0.43265,25000,0.022
0.03,0.441,0.47157,26000,0.017
0.031,0.445,0.48119,27000,0.023
0.028,0.432,0.47318,28000,0.014
0.025,0.435,0.47542,29000,0.015
0.034,0.449,0.4877,30000,0.024
0.032,0.437,0.47633,31000,0.019
0.032,0.425,0.45296,32000,0.018
0.03,0.432,0.47096,33000,0.033
0.028,0.455,0.48939,34000,0.025
0.032,0.458,0.49924,35000,0.022
0.033,0.435,0.47187,36000,0.005
0.031,0.451,0.48759,37000,0.022
0.029,0.447,0.48482,38000,0.032
0.036,0.432,0.47286,39000,0.023
0.029,0.438,0.47721,40000,0.022
0.03,0.454,0.49218,41000,0.014
0.03,0.429,0.46945,42000,0.02
0.027,0.456,0.48941,43000,0.015
0.03,0.446,0.48185,44000,0.022
0.026,0.468,0.49494,45000,0.022
0.035,0.468,0.50658,46000,0.018
0.035,0.453,0.49575,47000,0.022
0.029,0.46,0.50316,48000,0.023
0.03,0.43,0.47474,49000,0.02
0.03,0.451,0.49503,50000,0.018
0.028,0.446,0.48501,51000,0.014
0.028,0.453,0.49605,52000,0.029
0.028,0.451,0.48965,53000,0.022
0.032,0.471,0.51058,54000,0.019
0.026,0.454,0.49284,55000,0.014
0.031,0.455,0.49696,56000,0.019
0.029,0.46,0.50001,57000,0.019
0.031,0.459,0.49549,58000,0.023
0.033,0.447,0.48935,59000,0.021
0.029,0.448,0.48252,60000,0.018
0.032,0.451,0.49497,61000,0.024
0.028,0.443,0.47325,62000,0.029
0.024,0.461,0.50312,63000,0.017
0.029,0.46,0.50388,64000,0.01
0.027,0.445,0.48852,65000,0.022
0.024,0.438,0.48058,66000,0.023
0.028,0.448,0.49131,67000,0.021
0.024,0.429,0.46679,68000,0.019
0.023,0.471,0.51003,69000,0.011
