avg_score,loss_train,step_idx,avg_winning,avg_diff
0.21457,0.029,1000,0.195,0.036
0.27168,0.034,2000,0.256,0.021
0.22752,0.037,3000,0.211,0.017
0.27244,0.036,4000,0.255,0.018
0.25262,0.03,5000,0.232,0.022
0.27862,0.035,6000,0.257,0.018
0.27339,0.03,7000,0.248,0.02
0.30064,0.029,8000,0.276,0.013
0.2995,0.029,9000,0.274,0.015
0.30723,0.034,10000,0.284,0.014
0.31973,0.029,11000,0.291,0.022
0.33148,0.027,12000,0.304,0.024
0.34203,0.03,13000,0.315,0.015
0.37496,0.032,14000,0.346,0.024
0.37364,0.032,15000,0.342,0.012
0.38472,0.03,16000,0.352,0.036
0.4017,0.032,17000,0.373,0.022
0.42773,0.031,18000,0.395,0.014
0.43473,0.031,19000,0.406,0.023
0.45373,0.027,20000,0.421,0.019
0.4673,0.03,21000,0.434,0.017
0.47034,0.034,22000,0.436,0.029
0.48754,0.029,23000,0.455,0.017
0.48799,0.031,24000,0.454,0.012
0.48842,0.029,25000,0.46,0.017
0.47844,0.034,26000,0.442,0.019
0.49207,0.028,27000,0.459,0.016
0.48679,0.033,28000,0.45,0.017
0.48225,0.031,29000,0.442,0.025
0.50513,0.029,30000,0.471,0.018
0.49199,0.03,31000,0.459,0.014
0.46804,0.028,32000,0.449,0.013
0.50415,0.037,33000,0.463,0.022
0.49361,0.028,34000,0.457,0.014
0.49875,0.029,35000,0.465,0.015
0.51247,0.029,36000,0.472,0.017
0.51753,0.028,37000,0.477,0.019
0.49487,0.029,38000,0.463,0.011
0.4958,0.029,39000,0.456,0.017
0.50025,0.023,40000,0.465,0.018
0.5003,0.023,41000,0.458,0.023
0.48842,0.026,42000,0.448,0.023
0.49099,0.024,43000,0.449,0.021
0.51013,0.014,44000,0.474,0.021
0.50676,0.02,45000,0.47,0.015
0.49938,0.015,46000,0.46,0.022
0.51204,0.021,47000,0.472,0.02
0.51156,0.023,48000,0.472,0.02
0.50482,0.019,49000,0.465,0.024
0.49989,0.021,50000,0.461,0.015
0.50287,0.024,51000,0.463,0.023
0.48252,0.009,52000,0.449,0.018
0.50743,0.013,53000,0.472,0.02
0.49491,0.011,54000,0.454,0.014
0.51619,0.021,55000,0.473,0.019
0.49525,0.015,56000,0.456,0.012
0.5086,0.023,57000,0.467,0.02
0.52062,0.03,58000,0.477,0.02
0.53407,0.018,59000,0.492,0.023
