avg_score,step_idx,avg_diff,avg_winning,loss_train
0.26828,1000,0.018,0.25,0.035
0.26436,2000,0.025,0.247,0.037
0.27535,3000,0.023,0.261,0.042
0.28285,4000,0.023,0.262,0.038
0.23485,5000,0.026,0.215,0.035
0.24938,6000,0.039,0.226,0.029
0.26235,7000,0.031,0.238,0.029
0.28845,8000,0.028,0.263,0.028
0.33545,9000,0.016,0.313,0.027
0.32852,10000,0.035,0.3,0.026
0.32414,11000,0.028,0.296,0.029
0.34618,12000,0.016,0.32,0.032
0.34942,13000,0.019,0.32,0.032
0.36789,14000,0.026,0.338,0.027
0.37794,15000,0.015,0.348,0.027
0.3652,16000,0.019,0.337,0.029
0.36401,17000,0.017,0.331,0.03
0.37905,18000,0.023,0.347,0.029
0.39764,19000,0.021,0.367,0.025
0.41249,20000,0.019,0.377,0.028
0.44692,21000,0.006,0.411,0.027
0.45863,22000,0.014,0.423,0.025
0.47554,23000,0.019,0.439,0.029
0.47561,24000,0.024,0.436,0.035
0.46476,25000,0.024,0.425,0.028
0.48577,26000,0.018,0.447,0.031
0.49226,27000,0.021,0.452,0.031
0.48752,28000,0.015,0.446,0.028
0.46847,29000,0.031,0.427,0.033
0.49846,30000,0.013,0.457,0.029
0.52768,31000,0.013,0.487,0.027
0.50572,32000,0.009,0.466,0.031
0.50246,33000,0.019,0.461,0.025
0.47079,34000,0.023,0.429,0.029
0.51392,35000,0.023,0.474,0.026
0.49855,36000,0.02,0.457,0.03
0.48523,37000,0.013,0.441,0.03
0.48712,38000,0.014,0.443,0.03
0.51352,39000,0.01,0.471,0.025
0.508,40000,0.021,0.463,0.023
0.51373,41000,0.012,0.473,0.021
0.48671,42000,0.022,0.443,0.028
0.48683,43000,0.017,0.444,0.023
0.47369,44000,0.013,0.436,0.023
0.47434,45000,0.009,0.432,0.03
0.48815,46000,0.016,0.444,0.028
0.49999,47000,0.016,0.458,0.022
0.48963,48000,0.019,0.447,0.027
0.47297,49000,0.011,0.431,0.026
0.48387,50000,0.022,0.441,0.022
0.4752,51000,0.021,0.437,0.021
0.46167,52000,0.015,0.429,0.02
0.47329,53000,0.022,0.433,0.029
0.50836,54000,0.01,0.465,0.021
0.48876,55000,0.014,0.445,0.024
0.49584,56000,0.018,0.452,0.028
0.49635,57000,0.016,0.455,0.018
0.49613,58000,0.023,0.453,0.021
0.48408,59000,0.014,0.441,0.026
0.50276,60000,0.011,0.46,0.023
0.49341,61000,0.017,0.449,0.024
0.49968,62000,0.015,0.455,0.025
0.48932,63000,0.023,0.445,0.019
0.48818,64000,0.016,0.445,0.02
0.49535,65000,0.021,0.453,0.016
0.51874,66000,0.01,0.479,0.02
0.49652,67000,0.017,0.454,0.019
0.50857,68000,0.021,0.464,0.019
0.52302,69000,0.016,0.479,0.013
0.51307,70000,0.016,0.467,0.015
0.4875,71000,0.017,0.444,0.009
0.50423,72000,0.013,0.459,0.022
0.50118,73000,0.022,0.457,0.023
0.52556,74000,0.018,0.479,0.021
0.496,75000,0.018,0.449,0.018
0.49691,76000,0.017,0.45,0.025
0.48841,77000,0.018,0.443,0.017
0.51121,78000,0.014,0.465,0.023
0.49313,79000,0.023,0.447,0.016
0.5096,80000,0.024,0.464,0.025
0.50101,81000,0.013,0.455,0.014
0.50457,82000,0.021,0.458,0.022
0.49944,83000,0.007,0.454,0.017
0.50091,84000,0.015,0.461,0.021
0.48798,85000,0.018,0.443,0.017
