loss_train,avg_winning,step_idx,avg_diff,avg_score
0.026,0.162,1000,0.038,0.18111
0.033,0.183,2000,0.038,0.19924
0.031,0.205,3000,0.039,0.22152
0.033,0.22,4000,0.04,0.23681
0.031,0.241,5000,0.032,0.25374
0.029,0.221,6000,0.032,0.23641
0.027,0.194,7000,0.039,0.21158
0.027,0.204,8000,0.044,0.22347
0.028,0.252,9000,0.03,0.27059
0.029,0.262,10000,0.017,0.27876
0.03,0.278,11000,0.026,0.29463
0.027,0.277,12000,0.01,0.29562
0.026,0.263,13000,0.021,0.28114
0.026,0.24,14000,0.033,0.26344
0.022,0.253,15000,0.033,0.27687
0.027,0.271,16000,0.03,0.29341
0.026,0.273,17000,0.023,0.29724
0.026,0.296,18000,0.026,0.31973
0.031,0.275,19000,0.023,0.29827
0.028,0.286,20000,0.032,0.30954
0.025,0.304,21000,0.023,0.33037
0.027,0.324,22000,0.02,0.34819
0.026,0.335,23000,0.026,0.35971
0.025,0.358,24000,0.028,0.38125
0.026,0.353,25000,0.031,0.38076
0.024,0.391,26000,0.018,0.41772
0.026,0.401,27000,0.025,0.43061
0.024,0.408,28000,0.033,0.4385
0.026,0.37,29000,0.023,0.39456
0.019,0.43,30000,0.028,0.45779
0.016,0.38,31000,0.019,0.39737
0.028,0.468,32000,0.024,0.50508
0.022,0.469,33000,0.01,0.50033
0.031,0.384,34000,0.024,0.40116
0.027,0.471,35000,0.015,0.50155
0.022,0.477,36000,0.023,0.51115
0.02,0.441,37000,0.028,0.47363
0.02,0.46,38000,0.022,0.49611
0.018,0.407,39000,0.022,0.43262
0.018,0.389,40000,0.025,0.40727
0.025,0.442,41000,0.028,0.47291
0.016,0.478,42000,0.008,0.51223
0.021,0.477,43000,0.026,0.51161
0.02,0.473,44000,0.014,0.50545
0.018,0.49,45000,0.013,0.52631
0.019,0.482,46000,0.018,0.52035
0.022,0.484,47000,0.016,0.5229
0.018,0.493,48000,0.015,0.53087
0.019,0.454,49000,0.028,0.48472
0.022,0.471,50000,0.02,0.50861
0.015,0.459,51000,0.021,0.49284
0.017,0.466,52000,0.009,0.49991
0.025,0.465,53000,0.019,0.50196
0.024,0.461,54000,0.023,0.50009
0.005,0.467,55000,0.029,0.50424
0.011,0.441,56000,0.018,0.46914
0.018,0.458,57000,0.022,0.4906
0.006,0.431,58000,0.03,0.45605
0.013,0.452,59000,0.017,0.48339
0.014,0.455,60000,0.025,0.49303
0.004,0.449,61000,0.02,0.48544
0.018,0.432,62000,0.02,0.46592
0.001,0.463,63000,0.02,0.49519
0.016,0.435,64000,0.02,0.47108
0.014,0.452,65000,0.017,0.48903
0.003,0.436,66000,0.016,0.47191
0.012,0.43,67000,0.023,0.46655
0.008,0.447,68000,0.019,0.48214
0.013,0.449,69000,0.019,0.48793
0.017,0.44,70000,0.019,0.48059
0.007,0.453,71000,0.025,0.4905
0.004,0.459,72000,0.022,0.49804
0.007,0.454,73000,0.03,0.49256
0.025,0.453,74000,0.023,0.49423
0.015,0.423,75000,0.017,0.46303
0.008,0.451,76000,0.022,0.4919
0.013,0.451,77000,0.015,0.49181
0.005,0.457,78000,0.027,0.49679
0.012,0.446,79000,0.017,0.48743
0.008,0.445,80000,0.023,0.48547
0.015,0.446,81000,0.025,0.48727
0.008,0.446,82000,0.025,0.48685
0.017,0.443,83000,0.016,0.48455
0.003,0.437,84000,0.026,0.47673
0.007,0.449,85000,0.025,0.49011
0.013,0.435,86000,0.021,0.47539
0.014,0.439,87000,0.024,0.48029
0.009,0.434,88000,0.022,0.47505
0.007,0.448,89000,0.02,0.48991
0.014,0.44,90000,0.021,0.48016
0.009,0.458,91000,0.025,0.49695
0.004,0.45,92000,0.018,0.48786
0.005,0.445,93000,0.023,0.48453
-0.002,0.441,94000,0.021,0.48221
0.009,0.447,95000,0.03,0.48752
0.017,0.444,96000,0.024,0.48467
0.007,0.432,97000,0.024,0.47218
0.006,0.451,98000,0.021,0.49021
0.001,0.465,99000,0.02,0.50388
