step_idx,avg_winning,avg_score,loss_train,avg_diff
1000,0.138,0.15404,0.02,0.071
2000,0.137,0.15289,0.019,0.058
3000,0.201,0.21505,0.019,0.05
4000,0.187,0.19988,0.021,0.051
5000,0.22,0.2292,0.023,0.042
6000,0.225,0.23727,0.02,0.044
7000,0.217,0.22983,0.021,0.045
8000,0.246,0.2565,0.018,0.054
9000,0.263,0.27155,0.019,0.041
10000,0.252,0.26344,0.016,0.039
11000,0.241,0.25,0.017,0.049
12000,0.248,0.26019,0.017,0.042
13000,0.271,0.27963,0.018,0.048
14000,0.248,0.25801,0.019,0.041
15000,0.247,0.25797,0.016,0.042
16000,0.265,0.27669,0.014,0.047
17000,0.26,0.26804,0.016,0.058
18000,0.272,0.28382,0.016,0.044
19000,0.281,0.29629,0.016,0.043
20000,0.245,0.25247,0.015,0.048
21000,0.282,0.29617,0.014,0.048
22000,0.286,0.2989,0.018,0.034
23000,0.262,0.27686,0.018,0.051
24000,0.26,0.27239,0.013,0.051
25000,0.288,0.3013,0.014,0.044
26000,0.289,0.29968,0.015,0.044
27000,0.303,0.31197,0.014,0.036
28000,0.298,0.31125,0.015,0.046
29000,0.334,0.35625,0.017,0.04
30000,0.3,0.30918,0.011,0.029
31000,0.314,0.32613,0.016,0.048
32000,0.337,0.35193,0.012,0.043
33000,0.38,0.39931,0.015,0.028
34000,0.353,0.37271,0.014,0.041
35000,0.432,0.45834,0.011,0.033
36000,0.431,0.45559,0.017,0.043
37000,0.447,0.47466,0.011,0.022
38000,0.428,0.44799,0.006,0.038
39000,0.453,0.47152,0.008,0.043
40000,0.482,0.50596,0.011,0.055
41000,0.418,0.42793,-0.003,0.033
42000,0.498,0.52801,0.019,0.022
43000,0.5,0.52577,0.003,0.041
44000,0.307,0.30112,-0.01,0.041
45000,0.517,0.54272,0.005,0.033
46000,0.492,0.51958,-0.0,0.034
47000,0.516,0.54588,0.004,0.033
48000,0.515,0.54164,0.005,0.028
49000,0.506,0.53256,0.01,0.029
50000,0.506,0.53424,0.005,0.031
51000,0.518,0.54634,0.001,0.036
52000,0.493,0.51457,-0.004,0.033
53000,0.503,0.53237,0.005,0.045
54000,0.498,0.52888,-0.003,0.032
55000,0.506,0.53731,-0.008,0.03
56000,0.409,0.42749,-0.003,0.037
57000,0.495,0.52117,0.005,0.03
58000,0.502,0.53003,-0.0,0.03
59000,0.501,0.53207,-0.003,0.031
60000,0.453,0.46987,-0.01,0.04
61000,0.491,0.5212,0.002,0.03
62000,0.496,0.52361,-0.004,0.033
63000,0.431,0.45185,-0.008,0.036
64000,0.469,0.49353,-0.001,0.027
65000,0.498,0.52659,-0.003,0.026
66000,0.495,0.52493,-0.004,0.033
67000,0.386,0.40188,-0.015,0.035
68000,0.511,0.5443,0.006,0.032
69000,0.516,0.54875,-0.005,0.028
70000,0.529,0.56349,-0.013,0.025
