avg_score,loss_train,step_idx,avg_diff,avg_winning
0.16727,0.014,1000,0.053,0.151
0.27087,0.015,2000,0.082,0.259
0.27067,0.016,3000,0.061,0.259
0.24083,0.015,4000,0.07,0.23
0.29924,0.017,5000,0.053,0.292
0.28483,0.015,6000,0.051,0.277
0.27602,0.016,7000,0.07,0.269
0.28912,0.014,8000,0.047,0.285
0.29951,0.014,9000,0.066,0.291
0.28532,0.012,10000,0.062,0.278
0.29864,0.014,11000,0.051,0.291
0.29909,0.011,12000,0.04,0.296
0.30709,0.012,13000,0.044,0.302
0.30111,0.015,14000,0.045,0.293
0.32542,0.012,15000,0.051,0.322
0.30257,0.014,16000,0.055,0.296
0.30687,0.013,17000,0.064,0.298
0.32337,0.013,18000,0.056,0.317
0.31264,0.012,19000,0.051,0.307
0.32644,0.012,20000,0.051,0.325
0.30656,0.011,21000,0.047,0.3
0.27996,0.011,22000,0.056,0.27
0.33608,0.009,23000,0.064,0.332
0.31128,0.01,24000,0.043,0.306
0.30441,0.009,25000,0.058,0.313
0.32142,0.012,26000,0.036,0.325
0.31339,0.007,27000,0.053,0.322
0.3064,0.009,28000,0.051,0.305
0.34224,0.01,29000,0.048,0.333
0.34495,0.01,30000,0.044,0.33
0.30457,-0.001,31000,0.052,0.318
0.31768,0.017,32000,0.05,0.324
0.30506,-0.014,33000,0.048,0.318
0.35099,0.016,34000,0.065,0.347
0.31562,-0.0,35000,0.065,0.309
0.33639,0.005,36000,0.046,0.323
0.32706,0.001,37000,0.07,0.33
0.33279,0.005,38000,0.05,0.323
0.31508,-0.003,39000,0.056,0.318
0.35405,0.01,40000,0.074,0.345
0.3321,0.002,41000,0.059,0.325
0.30436,-0.014,42000,0.061,0.316
0.32015,0.018,43000,0.057,0.32
0.40068,0.007,44000,0.041,0.392
0.37528,-0.001,45000,0.056,0.367
0.30478,-0.006,46000,0.056,0.311
0.34131,-0.01,47000,0.054,0.338
0.3029,0.002,48000,0.062,0.306
0.48163,0.009,49000,0.038,0.47
0.46739,0.003,50000,0.04,0.453
0.50021,0.011,51000,0.045,0.486
0.52931,0.009,52000,0.029,0.513
0.31737,-0.007,53000,0.057,0.323
0.45122,0.012,54000,0.041,0.44
0.35264,-0.006,55000,0.047,0.347
0.41434,-0.003,56000,0.042,0.404
0.5132,0.004,57000,0.032,0.499
0.34342,-0.01,58000,0.042,0.341
0.36011,0.002,59000,0.041,0.354
0.34927,-0.002,60000,0.066,0.344
0.4937,0.002,61000,0.038,0.481
0.53955,0.006,62000,0.031,0.521
0.5051,0.003,63000,0.036,0.491
0.5252,0.0,64000,0.048,0.508
0.51971,0.006,65000,0.037,0.503
0.38043,-0.005,66000,0.058,0.369
0.50671,-0.002,67000,0.031,0.491
0.5316,0.003,68000,0.029,0.51
0.5276,-0.017,69000,0.036,0.505
0.47939,-0.012,70000,0.042,0.46
0.44112,-0.002,71000,0.034,0.424
0.48308,0.001,72000,0.027,0.462
0.42509,-0.012,73000,0.019,0.41
0.52233,-0.007,74000,0.024,0.499
0.49132,-0.004,75000,0.035,0.468
0.52369,-0.015,76000,0.017,0.502
0.53866,-0.011,77000,0.016,0.513
0.5464,-0.012,78000,0.026,0.52
0.54548,-0.01,79000,0.029,0.519
0.55287,-0.021,80000,0.032,0.526
0.55786,-0.013,81000,0.028,0.531
0.53109,-0.026,82000,0.031,0.505
0.57297,-0.017,83000,0.027,0.544
0.48403,-0.015,84000,0.038,0.459
0.5366,-0.015,85000,0.022,0.509
0.59174,-0.023,86000,0.014,0.562
0.61225,-0.021,87000,0.01,0.582
0.59175,-0.017,88000,0.016,0.562
0.58789,-0.022,89000,0.019,0.559
0.64955,-0.015,90000,0.004,0.618
0.60701,-0.025,91000,0.008,0.578
0.62456,-0.01,92000,0.009,0.595
0.62085,-0.017,93000,0.011,0.59
0.63623,-0.017,94000,0.004,0.604
0.64211,-0.026,95000,-0.002,0.61
0.64371,-0.02,96000,0.004,0.612
0.64929,-0.018,97000,0.003,0.616
0.64477,-0.011,98000,0.001,0.611
0.64449,-0.023,99000,0.002,0.611
0.6504,-0.024,100000,0.003,0.617
0.64672,-0.025,101000,0.0,0.613
0.64221,-0.016,102000,0.001,0.61
0.63744,-0.019,103000,0.0,0.605
0.6432,-0.015,104000,-0.002,0.61
0.64101,-0.019,105000,-0.003,0.608
0.65415,-0.032,106000,-0.003,0.621
0.65001,-0.021,107000,-0.002,0.616
0.64887,-0.018,108000,0.001,0.615
0.64843,-0.033,109000,-0.001,0.615
0.64893,-0.025,110000,-0.002,0.615
0.65064,-0.019,111000,-0.002,0.617
0.65041,-0.017,112000,0.0,0.617
0.65477,-0.03,113000,0.003,0.622
0.64892,-0.021,114000,0.004,0.617
0.64921,-0.027,115000,-0.007,0.615
0.64764,-0.027,116000,-0.006,0.614
0.64668,-0.02,117000,0.002,0.613
0.64646,-0.021,118000,-0.004,0.612
0.64595,-0.02,119000,-0.008,0.611
0.64964,-0.025,120000,0.001,0.616
0.64239,-0.027,121000,0.0,0.61
0.65271,-0.03,122000,-0.006,0.618
0.65031,-0.021,123000,-0.001,0.616
0.65765,-0.017,124000,0.002,0.623
0.65617,-0.024,125000,-0.004,0.621
0.65796,-0.021,126000,-0.002,0.624
0.6537,-0.023,127000,-0.004,0.619
0.66191,-0.02,128000,-0.002,0.627
0.65254,-0.027,129000,0.001,0.618
0.65374,-0.03,130000,0.003,0.62
0.64533,-0.017,131000,-0.007,0.611
0.65433,-0.028,132000,-0.001,0.62
0.66045,-0.03,133000,-0.001,0.626
0.6539,-0.017,134000,-0.002,0.622
0.65753,-0.012,135000,-0.004,0.624
0.64859,-0.03,136000,0.004,0.617
0.65779,-0.015,137000,-0.001,0.624
0.65096,-0.027,138000,-0.003,0.618
0.6677,-0.024,139000,0.004,0.633
0.66234,-0.024,140000,0.003,0.628
0.66902,-0.026,141000,-0.004,0.634
0.66613,-0.019,142000,0.001,0.631
0.6584,-0.02,143000,-0.003,0.624
0.66064,-0.019,144000,0.0,0.626
0.66178,-0.02,145000,0.002,0.627
0.66486,-0.024,146000,-0.006,0.63
0.66798,-0.02,147000,-0.003,0.633
0.66616,-0.019,148000,-0.001,0.631
0.66406,-0.019,149000,0.001,0.629
0.65624,-0.025,150000,0.0,0.622
0.63416,-0.02,151000,0.001,0.6
0.64856,-0.016,152000,0.004,0.614
0.65144,-0.017,153000,0.0,0.617
0.65834,-0.017,154000,0.001,0.624
0.66701,-0.023,155000,0.0,0.632
0.6706,-0.025,156000,-0.001,0.635
0.66676,-0.011,157000,-0.001,0.632
0.65901,-0.024,158000,0.001,0.625
0.66426,-0.019,159000,-0.004,0.629
0.66373,-0.021,160000,-0.004,0.629
0.66832,-0.015,161000,-0.002,0.633
0.65891,-0.018,162000,-0.001,0.624
0.6622,-0.014,163000,-0.005,0.627
0.64712,-0.015,164000,-0.005,0.612
0.66136,-0.023,165000,-0.004,0.626
0.65541,-0.026,166000,0.005,0.621
0.65731,-0.011,167000,-0.007,0.622
0.65183,-0.017,168000,-0.009,0.617
0.65498,-0.025,169000,-0.001,0.62
0.65312,-0.018,170000,-0.003,0.618
0.49188,-0.019,171000,0.021,0.461
0.65879,-0.016,172000,-0.009,0.624
0.65424,-0.026,173000,0.001,0.62
0.58431,-0.021,174000,0.019,0.553
0.66051,-0.021,175000,-0.008,0.625
0.66169,-0.022,176000,-0.005,0.627
0.66441,-0.018,177000,-0.011,0.629
0.63311,-0.015,178000,-0.001,0.6
0.66473,-0.009,179000,-0.01,0.63
0.66824,-0.021,180000,-0.007,0.633
0.65989,-0.027,181000,0.0,0.625
0.66498,-0.021,182000,0.0,0.63
0.65368,-0.026,183000,-0.002,0.619
0.66831,-0.019,184000,-0.005,0.633
0.5572,-0.016,185000,0.016,0.527
0.67065,-0.018,186000,0.002,0.635
0.6749,-0.017,187000,0.001,0.639
0.66057,-0.015,188000,0.005,0.626
0.66487,-0.011,189000,0.001,0.629
0.67088,-0.016,190000,-0.001,0.635
0.657,-0.025,191000,0.006,0.622
0.66099,-0.021,192000,-0.002,0.626
0.66212,-0.016,193000,-0.001,0.627
0.66077,-0.019,194000,0.0,0.625
0.66469,-0.019,195000,0.0,0.629
0.64416,-0.03,196000,0.012,0.61
0.62899,-0.021,197000,0.016,0.596
0.65832,-0.015,198000,-0.003,0.623
0.66275,-0.016,199000,0.001,0.627
0.66341,-0.018,200000,0.0,0.628
0.66751,-0.021,201000,-0.001,0.632
0.66037,-0.021,202000,0.001,0.626
0.64795,-0.016,203000,-0.001,0.614
0.66666,-0.016,204000,-0.002,0.631
0.66786,-0.027,205000,-0.003,0.632
0.66931,-0.013,206000,0.0,0.634
0.66099,-0.013,207000,0.003,0.626
0.6638,-0.013,208000,0.001,0.63
0.66419,-0.012,209000,0.0,0.629
0.64732,-0.014,210000,0.001,0.614
0.65357,-0.02,211000,0.001,0.619
0.37547,-0.025,212000,-0.002,0.352
0.63298,-0.017,213000,-0.002,0.6
0.66339,-0.016,214000,0.0,0.628
0.65839,-0.013,215000,-0.003,0.624
0.66108,-0.02,216000,-0.002,0.628
0.65642,-0.017,217000,0.001,0.622
0.65425,-0.019,218000,0.004,0.621
0.65994,-0.013,219000,0.0,0.625
0.6519,-0.015,220000,0.002,0.618
0.64613,-0.011,221000,-0.008,0.612
0.62943,-0.009,222000,0.016,0.596
0.6167,-0.022,223000,0.019,0.584
0.65601,-0.015,224000,0.011,0.622
0.61677,-0.013,225000,0.013,0.585
0.47538,-0.015,226000,0.023,0.45
0.64883,-0.003,227000,0.005,0.615
0.64417,-0.019,228000,0.015,0.61
0.63206,-0.012,229000,0.01,0.599
0.62082,-0.015,230000,0.003,0.588
0.60598,-0.019,231000,0.006,0.575
0.64414,-0.018,232000,0.001,0.611
0.63281,-0.017,233000,0.004,0.6
0.62521,-0.023,234000,0.01,0.592
0.63089,-0.013,235000,0.008,0.598
0.62849,-0.012,236000,0.001,0.596
0.5596,-0.008,237000,0.023,0.531
0.6273,-0.01,238000,0.007,0.595
0.58985,-0.026,239000,0.016,0.559
0.64296,-0.006,240000,0.022,0.611
0.63764,-0.019,241000,0.011,0.606
0.62929,-0.019,242000,0.012,0.598
0.65035,-0.011,243000,0.01,0.618
0.64899,-0.013,244000,0.015,0.618
0.45364,-0.019,245000,0.009,0.43
0.64744,-0.008,246000,0.005,0.614
0.63718,-0.013,247000,0.009,0.605
0.65759,-0.01,248000,0.005,0.624
0.63483,-0.023,249000,0.014,0.602
0.63673,-0.014,250000,0.013,0.604
0.64213,-0.016,251000,0.009,0.608
0.63587,-0.018,252000,0.006,0.603
0.63785,-0.015,253000,0.006,0.605
0.61679,-0.015,254000,0.011,0.585
0.54658,-0.012,255000,0.01,0.517
0.62337,-0.006,256000,0.004,0.593
0.62997,-0.012,257000,-0.004,0.596
0.61033,-0.023,258000,-0.008,0.578
0.54128,-0.014,259000,0.01,0.514
0.62507,-0.015,260000,0.0,0.594
0.63576,-0.01,261000,-0.007,0.601
0.62228,-0.017,262000,0.014,0.589
0.62456,-0.027,263000,0.003,0.592
0.55656,0.001,264000,0.015,0.528
0.50521,-0.008,265000,0.017,0.477
0.6264,0.005,266000,0.003,0.594
0.5118,-0.013,267000,0.019,0.485
0.61344,-0.016,268000,0.012,0.582
0.61999,-0.009,269000,0.006,0.587
0.5897,-0.006,270000,0.008,0.559
0.63294,-0.012,271000,-0.006,0.599
0.63205,-0.008,272000,0.008,0.599
0.6236,-0.003,273000,0.01,0.59
0.58884,-0.018,274000,0.019,0.557
0.62668,-0.004,275000,-0.006,0.594
0.59039,-0.015,276000,0.016,0.559
0.63011,-0.019,277000,0.006,0.596
0.62572,-0.017,278000,0.007,0.593
0.63024,-0.014,279000,-0.001,0.597
0.65106,-0.017,280000,-0.001,0.618
0.62549,-0.016,281000,0.019,0.593
0.65432,-0.007,282000,-0.003,0.619
0.64052,-0.015,283000,0.007,0.606
0.63924,-0.009,284000,-0.001,0.606
0.47193,-0.024,285000,0.016,0.446
0.54376,-0.02,286000,0.03,0.514
0.62782,-0.007,287000,0.009,0.595
0.6182,-0.008,288000,0.007,0.585
0.61953,-0.01,289000,0.002,0.587
0.61047,-0.018,290000,0.006,0.578
0.61577,-0.007,291000,0.012,0.584
0.65557,-0.004,292000,0.005,0.622
0.6551,-0.016,293000,-0.003,0.621
0.62961,-0.023,294000,-0.001,0.596
0.61837,-0.016,295000,0.004,0.585
0.62041,-0.015,296000,0.0,0.586
0.60144,-0.019,297000,0.008,0.568
0.61255,-0.017,298000,0.013,0.579
0.63445,-0.008,299000,0.0,0.6
0.6282,-0.014,300000,0.003,0.594
0.62585,-0.016,301000,0.007,0.592
0.53408,-0.008,302000,0.013,0.504
0.63896,-0.007,303000,0.001,0.605
0.59698,-0.017,304000,0.011,0.565
0.62843,-0.022,305000,0.005,0.596
0.61506,-0.006,306000,0.006,0.583
