dropout = 0.1
avg_score,avg_diff,avg_winning,loss_train,step_idx
0.3657,0.021,0.344,0.044,1000
0.38677,0.013,0.368,0.053,2000
0.41853,0.01,0.406,0.049,3000
0.37205,0.015,0.349,0.043,4000
0.36613,0.018,0.341,0.036,5000
0.36957,0.025,0.0.4021,0.021,0.374,0.028,7000
0.41191,0.019,0.382,0.033,8000
0.4048,0.024,0.373,0.031,9000
0.43983,0.017,0.408,0.029,10000
0.41858,0.018,0.387,0.033,11000
0.42588,0.011,0.391,0.029,12000
0.42952,0.02,0.394,0.03,13000
0.41247,0.015,0.383,0.03,14000
0.42975,0.018,0.391,0.035,15000
0.44656,0.017,0.409,0.03,16000
0.44141,0.025,0.403,0.03,17000
0.43611,0.024,0.395,0.028,18000
0.44102,0.014,0.4,0.029,19000
0.46926,0.009,0.43,0.032,20000
0.48782,0.008,0.447,0.034,21000
0.46549,0.025,0.426,0.032,22000
0.46386,0.017,0.422,0.035,23000
0.45026,0.012,0.417,0.032,24000
0.48495,0.016,0.444,0.037,25000
0.45822,0.007,0.416,0.037,26000
0.46368,0.017,0.42,0.031,27000
0.46646,0.016,0.423,0.029,28000
0.49362,0.013,0.45,0.033,29000
0.49319,0.016,0.448,0.031,30000
0.5085,0.01,0.462,0.03,31000
0.50998,0.008,0.466,0.035,32000
0.50844,0.018,0.463,0.033,33000
0.48604,0.015,0.44,0.027,34000
0.4698,0.016,0.425,0.024,35000
0.48866,0.011,0.442,0.027,36000
0.50692,0.011,0.461,0.029,37000
0.5144,0.008,0.468,0.028,38000
0.51603,0.014,0.475,0.035,39000
0.55109,0.012,0.504,0.029,40000
0.49669,0.016,0.45,0.032,41000
0.52061,0.013,0.474,0.026,42000
0.52195,0.014,0.477,0.027,43000
0.54164,0.018,0.496,0.033,44000
0.50464,0.023,0.469,0.021,45000
0.50835,0.015,0.463,0.031,46000
0.51499,0.014,0.482,0.03,47000
0.51481,0.015,0.472,0.025,48000
0.52895,0.014,0.483,0.029,49000
0.51771,0.018,0.473,0.025,50000
0.53504,0.011,0.49,0.021,51000
0.52628,0.011,0.484,0.012,52000
0.50806,0.013,0.461,0.033,53000
0.52139,0.011,0.474,0.022,54000
0.50564,0.019,0.458,0.026,55000
0.50861,0.022,0.461,0.026,56000
0.50941,0.019,0.462,0.027,57000
0.50958,0.01,0.463,0.022,58000
0.50721,0.02,0.461,0.026,59000
0.51392,0.012,0.468,0.023,60000
0.52034,0.012,0.475,0.015,61000
0.48959,0.013,0.443,0.029,62000
0.50982,0.015,0.465,0.016,63000
0.50289,0.017,0.457,0.025,64000
0.5128,0.012,0.467,0.023,65000
0.51405,0.016,0.47,0.022,66000
0.51299,0.012,0.472,0.012,67000
0.53252,0.009,0.487,0.023,68000
0.535,0.019,0.487,0.019,69000
0.52923,0.009,0.483,0.027,70000
0.50839,0.018,0.461,0.028,71000
0.5246,0.007,0.477,0.027,72000
0.4984,0.017,0.452,0.024,73000
0.50777,0.023,0.464,0.02,74000
0.49872,0.014,0.452,0.012,75000
0.50854,0.018,0.461,0.023,76000
0.47941,0.009,0.433,0.022,77000
0.48099,0.032,0.435,0.024,78000
0.51542,0.012,0.47,0.021,79000
0.48231,0.016,0.437,0.024,80000
0.50217,0.009,0.457,0.022,81000
0.49156,0.017,0.446,0.026,82000
0.51362,0.008,0.47,0.012,83000
0.5125,0.016,0.47,0.022,84000
0.50811,0.02,0.461,0.022,85000
0.49793,0.016,0.451,0.018,86000
0.50542,0.01,0.464,0.006,87000
0.5196,0.012,0.477,0.026,88000
0.50037,0.007,0.457,0.019,89000
0.49347,0.017,0.449,0.026,90000
0.51127,0.011,0.469,0.029,91000
0.47716,0.012,0.432,0.025,92000
0.49098,0.02,0.446,0.018,93000
0.50962,0.021,0.463,0.011,94000
0.49519,0.012,0.448,0.024,95000
0.48567,0.01,0.439,0.02,96000
0.49968,0.018,0.453,0.026,97000
0.50624,0.012,0.46,0.015,98000
0.5038,0.01,0.46,0.013,99000
0.50148,0.01,0.458,0.01,100000
0.51016,0.014,0.463,0.021,101000
0.48704,0.012,0.44,0.026,102000
0.4934,0.029,0.447,0.017,103000
0.50927,0.015,0.463,0.018,104000
0.49105,0.014,0.444,0.015,105000
0.50587,0.015,0.46,0.011,106000
0.51984,0.012,0.472,0.026,107000
0.51445,0.019,0.467,0.011,108000
0.52868,0.016,0.482,0.024,109000
0.49973,0.02,0.452,0.028,110000
0.50021,0.013,0.454,0.014,111000
0.50984,0.011,0.465,0.016,112000
0.51052,0.011,0.467,0.014,113000
0.4872,0.018,0.44,0.04,114000
0.51954,0.003,0.473,0.023,115000
0.51629,0.015,0.471,0.022,116000
0.53079,0.012,0.484,0.02,117000
0.48905,0.012,0.442,0.016,118000
0.48577,0.011,0.439,0.015,119000
0.52973,0.018,0.485,0.012,120000
0.51704,0.013,0.472,0.024,121000
0.51244,0.016,0.473,0.015,122000
0.51067,0.019,0.464,0.001,123000
0.51901,0.025,0.47,0.018,124000
0.50045,0.023,0.452,0.029,125000
0.50682,0.016,0.458,0.021,126000
0.50949,0.021,0.462,0.014,127000
0.48193,0.012,0.433,0.025,128000
0.48857,0.015,0.44,0.011,129000
0.49802,0.015,0.449,0.021,130000
0.50813,0.018,0.46,0.008,131000
0.49909,0.018,0.451,0.039,132000
0.51539,0.015,0.47,0.016,133000
0.51757,0.013,0.473,0.017,134000
0.50758,0.013,0.461,0.025,135000
0.50754,0.015,0.464,0.027,136000
0.51132,0.015,0.466,0.019,137000
0.52562,0.014,0.478,0.026,138000
0.51021,0.017,0.461,0.02,139000
0.49932,0.019,0.45,0.022,140000
0.51184,0.013,0.463,0.028,141000
0.49467,0.011,0.447,0.014,142000
0.50623,0.016,0.457,0.007,143000
0.49781,0.018,0.449,0.02,144000
0.5042,0.016,0.459,0.033,145000
0.52431,0.014,0.483,0.02,146000
0.49565,0.006,0.447,0.023,147000
0.51497,0.012,0.466,0.021,148000
0.49827,0.008,0.449,0.023,149000
0.5,0.018,0.451,0.029,150000
0.4954,0.02,0.449,0.024,151000
0.50933,0.014,0.462,0.036,152000
0.51376,0.019,0.466,0.033,153000
0.50852,0.017,0.459,0.031,154000
0.50426,0.011,0.455,0.012,155000
0.50477,0.016,0.46,0.028,156000
0.50912,0.009,0.463,0.024,157000
0.51849,0.019,0.47,0.027,158000
0.51254,0.015,0.465,0.024,159000
0.49608,0.013,0.448,0.03,160000
0.52383,0.013,0.476,0.014,161000
0.50475,0.017,0.46,0.009,162000
0.51178,0.012,0.468,0.031,163000
0.49166,0.014,0.446,0.031,164000
0.49862,0.007,0.451,0.027,165000
0.509,0.012,0.461,0.015,166000
0.49487,0.014,0.447,0.028,167000
0.47822,0.017,0.433,0.026,168000
0.49054,0.019,0.443,0.024,169000
0.51923,0.012,0.475,0.013,170000
0.49629,0.016,0.449,0.026,171000
