avg_diff,avg_winning,loss_train,avg_score,step_idx
0.019,0.222,0.0,0.23943,1000
0.023,0.233,0.0,0.24905,2000
0.013,0.269,0.0,0.28211,3000
0.015,0.28,0.0,0.29559,4000
0.021,0.23,0.0,0.2474,5000
0.017,0.252,0.0,0.27133,6000
0.026,0.279,0.0,0.29954,7000
0.018,0.29,0.0,0.31185,8000
0.021,0.308,0.0,0.33413,9000
0.023,0.29,0.0,0.31738,10000
0.025,0.318,0.0,0.34707,11000
0.015,0.35,0.0,0.37525,12000
0.011,0.357,0.0,0.38108,13000
0.019,0.36,0.0,0.39228,14000
0.015,0.384,0.0,0.41096,15000
0.005,0.432,0.0,0.46401,16000
0.014,0.429,0.0,0.45627,17000
0.011,0.433,0.0,0.45717,18000
0.022,0.409,0.0,0.41821,19000
0.021,0.456,0.0,0.48665,20000
0.015,0.455,0.0,0.48681,21000
0.016,0.46,0.0,0.48562,22000
0.025,0.471,0.0,0.50416,23000
0.017,0.462,0.0,0.49063,24000
0.018,0.469,0.0,0.50042,25000
0.009,0.467,0.0,0.49221,26000
0.015,0.465,0.0,0.4995,27000
0.021,0.478,0.0,0.51745,28000
0.015,0.465,0.0,0.49742,29000
0.011,0.467,0.0,0.50645,30000
0.02,0.477,0.0,0.5119,31000
0.003,0.47,0.0,0.50889,32000
0.015,0.47,0.0,0.50687,33000
0.02,0.475,0.0,0.51106,34000
0.01,0.463,0.0,0.4848,35000
0.016,0.479,0.0,0.51779,36000
0.01,0.491,0.0,0.52966,37000
0.017,0.458,0.0,0.48592,38000
0.005,0.464,0.0,0.49971,39000
0.018,0.494,0.0,0.53316,40000
0.016,0.48,0.0,0.51456,41000
0.017,0.478,0.0,0.51159,42000
0.014,0.467,0.0,0.49409,43000
0.012,0.477,0.0,0.51537,44000
0.013,0.487,0.0,0.52376,45000
0.011,0.48,0.0,0.51429,46000
0.014,0.481,0.0,0.5172,47000
0.01,0.457,0.0,0.4966,48000
0.011,0.46,0.0,0.49571,49000
0.016,0.485,0.0,0.52545,50000
0.016,0.48,0.0,0.51912,51000
0.023,0.491,0.0,0.53143,52000
0.022,0.482,0.0,0.52122,53000
0.015,0.487,0.0,0.52476,54000
0.014,0.482,0.0,0.52106,55000
0.018,0.478,0.0,0.51771,56000
0.005,0.481,0.0,0.51736,57000
0.015,0.483,0.0,0.52124,58000
0.006,0.479,0.0,0.51899,59000
0.025,0.498,0.0,0.53423,60000
0.015,0.476,0.0,0.5141,61000
0.015,0.492,0.0,0.53004,62000
0.008,0.487,0.0,0.52663,63000
0.011,0.467,0.0,0.50769,64000
0.02,0.457,0.0,0.49758,65000
0.019,0.462,0.0,0.50149,66000
0.026,0.452,0.0,0.49289,67000
0.013,0.464,0.0,0.50406,68000
0.01,0.464,0.0,0.50393,69000
0.02,0.464,0.0,0.50505,70000
0.012,0.476,0.0,0.5155,71000
0.011,0.476,0.0,0.51603,72000
0.03,0.466,0.0,0.50641,73000
0.026,0.473,0.0,0.51391,74000
0.031,0.472,0.0,0.51266,75000
0.025,0.462,0.0,0.50063,76000
0.022,0.465,0.0,0.50369,77000
0.027,0.453,0.0,0.49068,78000
0.011,0.495,0.0,0.53557,79000
0.014,0.455,0.0,0.49313,80000
0.017,0.466,0.0,0.5061,81000
0.025,0.452,0.0,0.49026,82000
0.018,0.45,0.0,0.48922,83000
0.024,0.474,0.0,0.51406,84000
0.021,0.46,0.0,0.49914,85000
0.02,0.464,0.0,0.5026,86000
0.014,0.46,0.0,0.49856,87000
0.016,0.44,0.0,0.4793,88000
0.021,0.467,0.0,0.50632,89000
0.019,0.441,0.0,0.4805,90000
0.019,0.459,0.0,0.49711,91000
0.011,0.428,0.0,0.46472,92000
0.02,0.462,0.0,0.49987,93000
0.021,0.429,0.0,0.46902,94000
0.024,0.456,0.0,0.49634,95000
0.02,0.461,0.0,0.50057,96000
0.01,0.461,0.0,0.50062,97000
0.018,0.438,0.0,0.47756,98000
0.008,0.455,0.0,0.49519,99000
0.017,0.461,0.0,0.50047,100000
0.012,0.461,0.0,0.49485,101000
0.032,0.461,0.0,0.50033,102000
0.032,0.448,0.0,0.48831,103000
0.014,0.459,0.0,0.49858,104000
0.017,0.452,0.0,0.48103,105000
0.016,0.478,0.0,0.515,106000
0.024,0.463,0.0,0.5025,107000
0.02,0.446,0.0,0.4852,108000
0.019,0.442,0.0,0.48074,109000
0.018,0.443,0.0,0.48183,110000
0.023,0.449,0.0,0.48821,111000
0.024,0.446,0.0,0.48585,112000
0.022,0.45,0.0,0.48725,113000
0.018,0.446,0.0,0.48685,114000
0.022,0.471,0.0,0.50965,115000
0.029,0.445,0.0,0.48527,116000
0.026,0.44,0.0,0.47985,117000
0.026,0.438,0.0,0.47783,118000
0.016,0.444,0.0,0.48419,119000
0.016,0.43,0.0,0.46911,120000
0.018,0.445,0.0,0.48168,121000
0.021,0.445,0.0,0.48493,122000
0.026,0.442,0.0,0.48217,123000
0.024,0.451,0.0,0.49026,124000
0.034,0.44,0.0,0.48141,125000
0.023,0.455,0.0,0.49065,126000
0.019,0.445,0.0,0.48722,127000
0.022,0.457,0.0,0.4971,128000
0.023,0.445,0.0,0.48612,129000
0.019,0.439,0.0,0.48097,130000
0.026,0.447,0.0,0.48419,131000
0.031,0.47,0.0,0.51089,132000
0.026,0.454,0.0,0.49491,133000
0.025,0.445,0.0,0.4857,134000
0.026,0.459,0.0,0.49969,135000
0.011,0.441,0.0,0.48153,136000
0.024,0.45,0.0,0.48973,137000
0.027,0.425,0.0,0.46505,138000
0.018,0.419,0.0,0.45886,139000
0.031,0.433,0.0,0.47308,140000
0.027,0.436,0.0,0.47601,141000
0.023,0.437,0.0,0.4778,142000
0.024,0.448,0.0,0.48864,143000
0.026,0.438,0.0,0.47888,144000
0.02,0.422,0.0,0.46342,145000
0.025,0.422,0.0,0.46096,146000
0.025,0.428,0.0,0.46907,147000
0.031,0.431,0.0,0.47289,148000
0.028,0.417,0.0,0.4574,149000
0.021,0.413,0.0,0.45406,150000
0.034,0.417,0.0,0.45814,151000
0.013,0.43,0.0,0.47151,152000
0.014,0.425,0.0,0.46539,153000
0.019,0.412,0.0,0.45364,154000
0.017,0.428,0.0,0.46926,155000
0.021,0.419,0.0,0.4602,156000
0.03,0.437,0.0,0.47958,157000
0.02,0.405,0.0,0.44419,158000
0.026,0.42,0.0,0.46089,159000
0.026,0.43,0.0,0.47073,160000
0.022,0.424,0.0,0.46559,161000
0.026,0.444,0.0,0.48565,162000
0.021,0.412,0.0,0.45285,163000
0.021,0.422,0.0,0.46357,164000
0.028,0.417,0.0,0.45273,165000
0.018,0.412,0.0,0.44978,166000
0.016,0.431,0.0,0.4707,167000
0.021,0.426,0.0,0.46472,168000
0.023,0.433,0.0,0.46707,169000
0.018,0.418,0.0,0.45849,170000
0.024,0.435,0.0,0.47555,171000
0.023,0.426,0.0,0.46776,172000
0.02,0.415,0.0,0.45453,173000
0.021,0.409,0.0,0.44769,174000
0.036,0.406,0.0,0.4465,175000
0.027,0.415,0.0,0.45437,176000
0.027,0.398,0.0,0.43906,177000
0.036,0.393,0.0,0.4342,178000
0.037,0.39,0.0,0.43059,179000
0.028,0.392,0.0,0.43376,180000
0.021,0.411,0.0,0.45073,181000
0.031,0.406,0.0,0.44615,182000
0.022,0.42,0.0,0.45838,183000
0.037,0.395,0.0,0.4361,184000
0.026,0.396,0.0,0.43739,185000
0.041,0.381,0.0,0.42224,186000
0.032,0.392,0.0,0.43319,187000
0.036,0.403,0.0,0.44424,188000
0.011,0.428,0.0,0.46532,189000
0.035,0.402,0.0,0.44236,190000
0.03,0.411,0.0,0.45044,191000
0.025,0.397,0.0,0.43628,192000
0.026,0.409,0.0,0.44261,193000
0.03,0.399,0.0,0.43686,194000
0.024,0.422,0.0,0.46152,195000
0.031,0.409,0.0,0.45031,196000
0.019,0.406,0.0,0.44627,197000
0.029,0.404,0.0,0.44363,198000
0.025,0.41,0.0,0.45124,199000
0.029,0.418,0.0,0.45893,200000
0.029,0.391,0.0,0.4334,201000
0.039,0.402,0.0,0.44362,202000
0.028,0.417,0.0,0.45928,203000
0.026,0.407,0.0,0.44779,204000
0.03,0.405,0.0,0.44788,205000
0.029,0.411,0.0,0.45322,206000
0.016,0.427,0.0,0.46296,207000
0.028,0.405,0.0,0.44669,208000
0.022,0.43,0.0,0.47028,209000
0.029,0.423,0.0,0.46218,210000
0.024,0.412,0.0,0.45401,211000
0.015,0.425,0.0,0.46271,212000
0.027,0.42,0.0,0.45849,213000
0.018,0.419,0.0,0.45773,214000
0.029,0.423,0.0,0.46331,215000
0.024,0.431,0.0,0.47042,216000
0.016,0.417,0.0,0.45442,217000
0.024,0.411,0.0,0.45106,218000
0.035,0.427,0.0,0.46767,219000
0.036,0.374,0.0,0.41486,220000
0.037,0.366,0.0,0.4075,221000
0.026,0.384,0.0,0.42508,222000
0.014,0.417,0.0,0.45689,223000
0.014,0.429,0.0,0.46875,224000
0.022,0.431,0.0,0.47003,225000
0.04,0.406,0.0,0.44854,226000
0.031,0.412,0.0,0.45338,227000
0.026,0.424,0.0,0.46395,228000
0.019,0.437,0.0,0.47891,229000
0.028,0.425,0.0,0.4647,230000
0.017,0.429,0.0,0.47102,231000
0.023,0.426,0.0,0.46841,232000
0.025,0.424,0.0,0.46676,233000
0.031,0.422,0.0,0.46318,234000
0.026,0.431,0.0,0.47395,235000
0.032,0.421,0.0,0.46294,236000
0.047,0.399,0.0,0.44173,237000
