avg_score,avg_winning,step_idx,avg_diff,loss_train
0.28361,0.27,1000,0.029,0.034
0.28793,0.277,2000,0.019,0.048
0.27893,0.267,3000,0.018,0.042
0.26575,0.25,4000,0.016,0.038
0.28278,0.264,5000,0.017,0.033
0.26524,0.245,6000,0.031,0.034
0.30112,0.282,7000,0.014,0.036
0.30599,0.281,8000,0.014,0.029
0.31509,0.291,9000,0.013,0.027
0.32538,0.299,10000,0.032,0.031
0.36263,0.334,11000,0.02,0.028
0.35156,0.321,12000,0.025,0.03
0.39835,0.369,13000,0.028,0.025
0.41593,0.387,14000,0.014,0.028
0.4347,0.402,15000,0.025,0.031
0.44811,0.421,16000,0.01,0.031
0.44644,0.416,17000,0.018,0.026
0.47641,0.444,18000,0.024,0.026
0.49005,0.455,19000,0.012,0.027
0.4769,0.442,20000,0.016,0.03
0.49804,0.462,21000,0.017,0.027
0.51963,0.481,22000,0.014,0.028
0.49987,0.466,23000,0.013,0.033
0.49151,0.46,24000,0.023,0.034
0.50396,0.469,25000,0.018,0.027
0.51775,0.478,26000,0.013,0.028
0.52277,0.485,27000,0.02,0.025
0.52487,0.483,28000,0.017,0.03
0.50396,0.466,29000,0.022,0.024
0.52356,0.482,30000,0.023,0.028
0.51784,0.477,31000,0.012,0.034
0.53672,0.498,32000,0.019,0.029
0.54139,0.503,33000,0.018,0.024
0.51781,0.479,34000,0.021,0.033
0.52661,0.488,35000,0.002,0.024
0.50803,0.47,36000,0.023,0.025
0.53005,0.487,37000,0.014,0.028
0.50805,0.475,38000,0.019,0.02
0.53398,0.494,39000,0.011,0.026
0.5004,0.468,40000,0.015,0.025
0.52746,0.49,41000,0.012,0.022
0.54025,0.499,42000,0.009,0.031
0.55593,0.513,43000,-0.001,0.032
0.52907,0.489,44000,0.009,0.018
0.5329,0.493,45000,0.013,0.017
0.51425,0.477,46000,0.017,0.016
0.52463,0.485,47000,0.011,0.029
0.54161,0.5,48000,0.012,0.028
0.54525,0.505,49000,0.014,0.015
0.52348,0.482,50000,0.012,0.024
0.53218,0.491,51000,0.001,0.026
0.51976,0.478,52000,0.02,0.024
0.50485,0.464,53000,0.014,0.02
0.52838,0.489,54000,0.017,0.02
0.51189,0.471,55000,0.015,0.024
0.5224,0.482,56000,0.011,0.027
0.50845,0.47,57000,0.02,0.025
0.51427,0.474,58000,0.024,0.021
0.54311,0.506,59000,0.014,0.021
0.48125,0.443,60000,0.02,0.017
0.51272,0.473,61000,0.02,0.026
0.5042,0.466,62000,0.015,0.012
0.51791,0.482,63000,0.023,0.018
0.51127,0.471,64000,0.012,0.029
0.50528,0.467,65000,0.019,0.022
0.49908,0.459,66000,0.015,0.025
0.52544,0.486,67000,0.012,0.018
0.50815,0.47,68000,0.012,0.02
0.49236,0.454,69000,0.009,0.021
0.5094,0.468,70000,0.014,0.02
0.50771,0.467,71000,0.018,0.017
0.51737,0.478,72000,0.022,0.021
0.51795,0.479,73000,0.016,0.015
0.50428,0.463,74000,0.02,0.021
0.50379,0.464,75000,0.019,0.019
0.50568,0.465,76000,0.026,0.023
0.51187,0.472,77000,0.023,0.021
0.50614,0.466,78000,0.025,0.011
0.50022,0.458,79000,0.014,0.025
0.48675,0.447,80000,0.009,0.015
0.50335,0.463,81000,0.017,0.024
0.49145,0.456,82000,0.027,0.016
0.5136,0.472,83000,0.014,0.016
0.49963,0.46,84000,0.021,0.016
0.49473,0.452,85000,0.012,0.026
0.51646,0.473,86000,0.011,0.012
0.52545,0.483,87000,0.017,0.015
0.50267,0.474,88000,0.018,0.005
0.49684,0.454,89000,0.017,0.038
0.52444,0.482,90000,0.014,0.023
0.51731,0.473,91000,0.017,0.022
0.50373,0.461,92000,0.016,0.025
0.50589,0.466,93000,0.016,0.012
0.50013,0.459,94000,0.017,0.019
0.50096,0.46,95000,0.019,0.016
0.51543,0.474,96000,0.012,0.025
0.50804,0.465,97000,0.013,0.02
0.49843,0.457,98000,0.011,0.018
0.50083,0.458,99000,0.014,0.028
0.51406,0.472,100000,0.021,0.02
0.51332,0.473,101000,0.016,0.011
0.51778,0.478,102000,0.017,0.022
0.4902,0.447,103000,0.023,0.025
0.48809,0.446,104000,0.008,0.02
0.51084,0.47,105000,0.013,0.017
0.50204,0.459,106000,0.022,0.018
0.50945,0.476,107000,0.016,0.012
0.51209,0.471,108000,0.026,0.016
0.50724,0.47,109000,0.018,0.013
0.49279,0.461,110000,0.015,0.024
0.51049,0.47,111000,0.018,0.024
0.51709,0.478,112000,0.016,0.013
0.53101,0.492,113000,0.015,0.015
0.5102,0.472,114000,0.021,0.031
0.52714,0.487,115000,0.017,0.017
0.50211,0.46,116000,0.019,0.021
0.50387,0.462,117000,0.014,0.024
0.50263,0.463,118000,0.014,0.022
0.51125,0.472,119000,0.009,0.018
0.5069,0.465,120000,0.023,0.028
0.50691,0.464,121000,0.017,0.025
0.50534,0.467,122000,0.003,0.014
0.50904,0.468,123000,0.02,0.018
0.49041,0.45,124000,0.013,0.019
0.51726,0.479,125000,0.005,0.016
0.50692,0.466,126000,0.007,0.024
0.51055,0.469,127000,0.012,0.023
0.49334,0.45,128000,0.018,0.021
0.49424,0.45,129000,0.016,0.016
0.50055,0.458,130000,0.019,0.013
0.51228,0.471,131000,0.02,0.017
0.53643,0.495,132000,0.012,0.023
0.50862,0.465,133000,0.01,0.025
0.49644,0.452,134000,0.021,0.017
0.50387,0.46,135000,0.028,0.022
0.50789,0.463,136000,0.016,0.017
0.51381,0.469,137000,0.02,0.012
0.5064,0.462,138000,0.021,0.013
0.5237,0.479,139000,0.015,0.021
0.50679,0.465,140000,0.019,0.01
0.52084,0.479,141000,0.013,0.016
0.52922,0.488,142000,0.021,0.018
0.52038,0.479,143000,0.013,0.021
0.51245,0.468,144000,0.022,0.027
0.51477,0.472,145000,0.009,0.014
0.5145,0.476,146000,0.013,0.024
0.52924,0.487,147000,0.016,0.031
0.53661,0.495,148000,0.025,0.025
0.5204,0.477,149000,0.026,0.02
0.52307,0.48,150000,0.015,0.019
0.53161,0.492,151000,0.017,0.019
0.52308,0.487,152000,0.023,0.017
0.51802,0.477,153000,0.015,0.017
0.52695,0.487,154000,0.022,0.011
0.50234,0.464,155000,0.015,0.022
0.50893,0.467,156000,0.02,0.023
0.50904,0.472,157000,0.02,0.009
0.5214,0.482,158000,0.018,0.008
0.52156,0.482,159000,0.019,0.022
0.5132,0.472,160000,0.012,0.029
0.49935,0.458,161000,0.016,0.013
0.51959,0.483,162000,0.02,0.017
0.5062,0.466,163000,0.009,0.017
0.51287,0.473,164000,0.021,0.012
0.51657,0.479,165000,0.02,0.016
0.52869,0.491,166000,0.015,0.023
0.50976,0.474,167000,0.02,0.018
0.51675,0.476,168000,0.015,0.017
0.50998,0.473,169000,0.016,0.018
0.51736,0.48,170000,0.023,0.011
0.50509,0.465,171000,0.013,0.021
0.51481,0.478,172000,0.021,0.024
0.53563,0.499,173000,0.026,0.012
0.50839,0.472,174000,0.021,0.005
0.51799,0.48,175000,0.013,0.022
0.5153,0.477,176000,0.01,0.013
0.49517,0.455,177000,0.021,0.02
0.52075,0.481,178000,0.017,0.021
0.5243,0.485,179000,0.018,0.014
