avg_score,loss_train,step_idx,avg_winning,avg_diff
0.29428,0.037,1000,0.281,0.022
0.32671,0.044,2000,0.313,0.022
0.32358,0.039,3000,0.31,0.012
0.31577,0.037,4000,0.298,0.009
0.28726,0.033,5000,0.265,0.016
0.25995,0.03,6000,0.235,0.027
0.29254,0.027,7000,0.265,0.011
0.29293,0.029,8000,0.265,0.022
0.35956,0.025,9000,0.335,0.016
0.32168,0.03,10000,0.293,0.015
0.35966,0.028,11000,0.332,0.036
0.35798,0.033,12000,0.325,0.029
0.36526,0.027,13000,0.336,0.018
0.37701,0.032,14000,0.349,0.024
0.39702,0.029,15000,0.369,0.025
0.43383,0.03,16000,0.401,0.018
0.4494,0.028,17000,0.415,0.01
0.4457,0.03,18000,0.42,0.022
0.46974,0.037,19000,0.437,0.019
0.46263,0.034,20000,0.43,0.025
0.47903,0.024,21000,0.446,0.019
0.50173,0.032,22000,0.469,0.012
0.48082,0.032,23000,0.455,0.01
0.4982,0.037,24000,0.459,0.035
0.4875,0.026,25000,0.453,0.013
0.47793,0.031,26000,0.448,0.015
0.49819,0.027,27000,0.462,0.024
0.45641,0.024,28000,0.439,0.019
0.51281,0.034,29000,0.479,0.013
0.50644,0.03,30000,0.465,0.025
0.52094,0.023,31000,0.485,0.021
0.50954,0.026,32000,0.479,0.017
0.50038,0.028,33000,0.474,0.013
0.51234,0.026,34000,0.475,0.012
0.48971,0.022,35000,0.457,0.01
0.51543,0.024,36000,0.482,0.024
0.51528,0.018,37000,0.475,0.017
0.50706,0.021,38000,0.469,0.013
0.51022,0.027,39000,0.471,0.021
0.52568,0.033,40000,0.485,0.017
0.49801,0.018,41000,0.458,0.019
0.52005,0.024,42000,0.48,0.014
0.51112,0.02,43000,0.472,0.007
0.53479,0.016,44000,0.495,0.019
0.50492,0.019,45000,0.469,0.018
0.51917,0.029,46000,0.481,0.022
0.52716,0.022,47000,0.489,0.014
0.52351,0.025,48000,0.485,0.021
0.51093,0.012,49000,0.48,0.015
0.51998,0.024,50000,0.483,0.01
0.51977,0.027,51000,0.48,0.019
0.50902,0.029,52000,0.47,0.022
0.52546,0.027,53000,0.484,0.014
0.51417,0.032,54000,0.473,0.034
0.54407,0.023,55000,0.504,0.023
0.50746,0.025,56000,0.467,0.017
0.50117,0.021,57000,0.474,0.013
0.52329,0.015,58000,0.485,0.011
0.50725,0.02,59000,0.47,0.019
0.5123,0.015,60000,0.473,0.02
0.50677,0.019,61000,0.467,0.02
0.52988,0.013,62000,0.49,0.023
0.52063,0.021,63000,0.481,0.028
0.50124,0.022,64000,0.462,0.017
0.49927,0.014,65000,0.46,0.03
0.4927,0.017,66000,0.454,0.026
0.54022,0.023,67000,0.5,0.024
0.51473,0.023,68000,0.474,0.036
0.52058,0.006,69000,0.482,0.021
0.48867,0.031,70000,0.448,0.019
0.5139,0.014,71000,0.473,0.019
0.50568,0.026,72000,0.465,0.028
0.51905,0.013,73000,0.478,0.023
0.51868,0.016,74000,0.478,0.018
0.52055,0.013,75000,0.479,0.02
0.47914,0.02,76000,0.439,0.03
0.48219,0.024,77000,0.442,0.021
0.49012,0.019,78000,0.449,0.038
0.52065,0.01,79000,0.48,0.015
0.50007,0.011,80000,0.459,0.023
0.48709,0.029,81000,0.446,0.011
0.47366,0.014,82000,0.432,0.019
0.48613,0.011,83000,0.446,0.026
0.46584,0.018,84000,0.426,0.038
0.49884,0.019,85000,0.458,0.019
0.49111,0.014,86000,0.45,0.016
0.50228,0.02,87000,0.46,0.032
0.4992,0.009,88000,0.457,0.024
0.49583,0.017,89000,0.454,0.018
0.49113,0.027,90000,0.451,0.022
0.50164,0.005,91000,0.461,0.031
0.49652,0.006,92000,0.456,0.015
0.49858,0.018,93000,0.458,0.013
0.50135,0.011,94000,0.463,0.019
0.48279,0.016,95000,0.443,0.031
0.50041,0.01,96000,0.459,0.022
0.50866,0.017,97000,0.467,0.013
0.5103,0.028,98000,0.47,0.031
0.51014,0.011,99000,0.469,0.016
0.51588,0.019,100000,0.474,0.017
0.50326,0.016,101000,0.462,0.022
0.50276,0.019,102000,0.461,0.016
0.51288,0.014,103000,0.471,0.016
0.50291,0.016,104000,0.461,0.02
0.48698,0.014,105000,0.448,0.028
0.48061,0.02,106000,0.439,0.026
0.46633,0.019,107000,0.426,0.024
0.48308,0.01,108000,0.442,0.027
0.47987,0.021,109000,0.438,0.022
0.50367,0.008,110000,0.462,0.022
0.50732,0.013,111000,0.465,0.018
0.49127,0.011,112000,0.449,0.031
0.48987,0.011,113000,0.447,0.019
0.50034,0.019,114000,0.457,0.029
0.48779,0.023,115000,0.444,0.022
0.49799,0.016,116000,0.454,0.025
0.48721,0.008,117000,0.443,0.03
0.51251,0.022,118000,0.468,0.016
0.50654,0.022,119000,0.462,0.02
0.47634,0.019,120000,0.433,0.028
0.50588,0.009,121000,0.462,0.023
0.51421,0.019,122000,0.469,0.018
0.5214,0.013,123000,0.476,0.02
0.50827,0.014,124000,0.464,0.026
0.5,0.021,125000,0.455,0.018
0.48685,0.026,126000,0.444,0.013
0.49312,0.02,127000,0.45,0.019
0.50255,0.014,128000,0.458,0.019
0.49427,0.017,129000,0.45,0.016
0.5153,0.01,130000,0.47,0.017
0.4858,0.023,131000,0.44,0.024
0.48958,0.01,132000,0.445,0.023
0.49415,0.01,133000,0.449,0.018
0.49543,0.008,134000,0.45,0.018
0.50351,0.014,135000,0.457,0.023
0.48562,0.018,136000,0.44,0.015
0.49963,0.021,137000,0.453,0.026
0.50649,0.026,138000,0.459,0.026
0.49506,0.028,139000,0.448,0.026
0.50728,0.014,140000,0.461,0.031
0.49796,0.013,141000,0.451,0.016
0.51169,0.009,142000,0.464,0.023
0.48515,0.029,143000,0.441,0.031
0.49073,0.016,144000,0.445,0.022
0.48412,0.008,145000,0.438,0.024
0.48673,0.018,146000,0.44,0.026
0.4882,0.02,147000,0.442,0.035
0.4779,0.019,148000,0.434,0.022
0.47218,0.018,149000,0.426,0.026
0.50646,-0.001,150000,0.459,0.027
0.48275,0.019,151000,0.435,0.02
0.4847,0.029,152000,0.438,0.024
0.50839,0.02,153000,0.461,0.028
0.50783,0.013,154000,0.46,0.024
0.50132,0.019,155000,0.454,0.018
0.47537,0.021,156000,0.43,0.013
0.45615,0.024,157000,0.412,0.023
0.48745,0.023,158000,0.441,0.012
0.47914,0.016,159000,0.432,0.027
0.51482,0.012,160000,0.467,0.02
0.49902,0.024,161000,0.451,0.026
0.50828,0.013,162000,0.461,0.018
0.51292,0.028,163000,0.465,0.026
0.50159,0.016,164000,0.454,0.017
0.45883,0.014,165000,0.414,0.025
0.44025,0.018,166000,0.397,0.022
0.48997,0.011,167000,0.442,0.022
0.49557,0.016,168000,0.448,0.029
0.47575,0.009,169000,0.429,0.016
0.4767,0.028,170000,0.431,0.019
0.46745,0.019,171000,0.425,0.015
0.44981,0.012,172000,0.407,0.037
0.48734,0.015,173000,0.441,0.024
0.47269,0.02,174000,0.426,0.017
0.49896,0.02,175000,0.451,0.018
0.49315,0.025,176000,0.446,0.016
0.4877,0.021,177000,0.441,0.011
0.5044,0.013,178000,0.458,0.026
0.51276,0.024,179000,0.466,0.024
0.51445,0.015,180000,0.468,0.019
0.5016,0.015,181000,0.456,0.019
0.49428,0.019,182000,0.449,0.017
0.48608,0.032,183000,0.44,0.017
0.46279,0.005,184000,0.417,0.022
0.4828,0.021,185000,0.437,0.014
