avg_diff,step_idx,avg_winning,loss_train,avg_score dropout=0.1
0.022,1000,0.297,0.039,0.31257
0.017,2000,0.277,0.046,0.29254
0.012,3000,0.281,0.044,0.29604
0.029,4000,0.289,0.042,0.30722
0.024,5000,0.29,0.033,0.30734
0.024,6000,0.266,0.0.032,7000,0.256,0.033,0.28074
0.012,8000,0.303,0.03,0.32651
0.021,9000,0.309,0.031,0.33116
0.028,10000,0.309,0.032,0.33426
0.017,11000,0.309,0.031,0.33654
0.024,12000,0.297,0.025,0.32571
0.012,13000,0.311,0.028,0.33641
0.016,14000,0.339,0.03,0.36851
0.016,15000,0.335,0.03,0.36766
0.017,16000,0.37,0.029,0.40305
0.023,17000,0.34,0.03,0.37244
0.017,18000,0.378,0.03,0.41053
0.032,19000,0.368,0.031,0.40438
0.024,20000,0.392,0.034,0.42753
0.017,21000,0.39,0.034,0.41068
0.017,22000,0.417,0.038,0.44846
0.019,23000,0.424,0.027,0.46045
0.027,24000,0.412,0.035,0.44687
0.006,25000,0.432,0.033,0.46764
0.031,26000,0.438,0.034,0.47938
0.023,27000,0.437,0.033,0.47262
0.019,28000,0.442,0.034,0.48536
0.028,29000,0.433,0.027,0.47444
0.019,30000,0.458,0.033,0.49885
0.019,31000,0.455,0.028,0.49438
0.018,32000,0.451,0.033,0.49047
0.023,33000,0.447,0.032,0.48659
0.027,34000,0.457,0.03,0.49055
0.017,35000,0.437,0.028,0.46561
0.021,36000,0.455,0.038,0.49535
0.013,37000,0.435,0.024,0.45127
0.022,38000,0.453,0.032,0.4906
0.029,39000,0.428,0.037,0.46891
0.017,40000,0.444,0.026,0.48181
0.032,41000,0.447,0.039,0.48873
0.027,42000,0.437,0.012,0.4736
0.015,43000,0.445,0.023,0.48127
0.027,44000,0.443,0.029,0.47317
0.024,45000,0.461,0.031,0.49808
0.023,46000,0.452,0.028,0.49178
0.024,47000,0.458,0.024,0.49104
0.02,48000,0.447,0.03,0.48756
0.035,49000,0.46,0.026,0.50178
0.018,50000,0.467,0.01,0.5058
0.021,51000,0.439,0.024,0.47851
0.019,52000,0.438,0.019,0.4764
0.025,53000,0.451,0.029,0.49358
0.022,54000,0.444,0.018,0.48585
0.016,55000,0.459,0.019,0.50181
0.013,56000,0.459,0.019,0.49925
0.024,57000,0.448,0.017,0.49058
0.017,58000,0.444,0.028,0.48611
