step_idx,loss_train,avg_score,avg_winning,avg_diff
1000,0.035,0.23895,0.221,0.013
2000,0.039,0.28233,0.267,0.025
3000,0.041,0.2839,0.273,0.01
4000,0.041,0.26151,0.244,0.024
5000,0.036,0.27711,0.263,0.014
6000,0.032,0.2427,0.224,0.013
7000,0.034,0.29147,0.273,0.025
8000,0.031,0.29843,0.278,0.019
9000,0.029,0.29227,0.268,0.026
10000,0.026,0.30392,0.276,0.021
11000,0.027,0.34971,0.324,0.025
12000,0.03,0.33321,0.305,0.024
13000,0.028,0.3503,0.32,0.029
14000,0.03,0.39388,0.369,0.021
15000,0.027,0.40844,0.375,0.014
16000,0.026,0.43883,0.406,0.019
17000,0.025,0.42127,0.392,0.027
18000,0.028,0.44441,0.41,0.032
19000,0.029,0.39206,0.359,0.026
20000,0.029,0.43043,0.396,0.008
21000,0.025,0.47099,0.437,0.029
22000,0.032,0.48763,0.45,0.019
23000,0.027,0.46973,0.432,0.031
24000,0.026,0.47325,0.444,0.014
25000,0.031,0.4698,0.436,0.022
26000,0.028,0.49283,0.456,0.007
27000,0.025,0.49071,0.458,0.023
28000,0.027,0.48796,0.454,0.018
29000,0.025,0.47384,0.442,0.019
30000,0.023,0.47048,0.438,0.02
31000,0.027,0.49802,0.469,0.018
32000,0.026,0.49745,0.465,0.018
33000,0.024,0.48731,0.456,0.018
34000,0.028,0.49982,0.46,0.015
35000,0.025,0.51429,0.475,0.022
36000,0.026,0.51604,0.478,0.017
37000,0.02,0.49947,0.463,0.018
38000,0.026,0.50333,0.463,0.026
39000,0.027,0.5305,0.491,0.024
40000,0.024,0.51151,0.473,0.021
41000,0.027,0.51893,0.479,0.014
42000,0.023,0.51968,0.481,0.023
43000,0.027,0.50438,0.472,0.025
44000,0.017,0.50265,0.465,0.015
45000,0.022,0.5025,0.466,0.02
46000,0.031,0.52528,0.485,0.016
47000,0.025,0.51782,0.476,0.021
48000,0.012,0.50665,0.467,0.02
49000,0.021,0.52539,0.483,0.024
50000,0.019,0.51369,0.473,0.024
51000,0.025,0.51851,0.476,0.02
52000,0.018,0.50816,0.466,0.021
53000,0.019,0.48862,0.456,0.022
54000,0.018,0.53294,0.495,0.021
55000,0.023,0.50644,0.467,0.025
56000,0.023,0.49945,0.459,0.02
57000,0.025,0.51246,0.472,0.016
