loss_train,avg_diff,step_idx,avg_score,avg_winning
0.03,0.021,1000,0.23439,0.215
0.041,0.018,2000,0.26232,0.246
0.043,0.021,3000,0.26429,0.249
0.038,0.025,4000,0.2383,0.221
0.038,0.029,5000,0.25935,0.239
0.031,0.022,6000,0.25054,0.227
0.031,0.017,7000,0.26856,0.249
0.033,0.022,8000,0.26845,0.245
0.03,0.029,9000,0.28771,0.265
0.028,0.024,10000,0.29961,0.274
0.028,0.028,11000,0.31907,0.292
0.027,0.028,12000,0.3223,0.295
0.026,0.018,13000,0.30731,0.277
0.029,0.025,14000,0.36362,0.336
0.033,0.039,15000,0.35521,0.322
0.035,0.026,16000,0.35439,0.323
0.029,0.02,17000,0.40338,0.367
0.023,0.032,18000,0.37601,0.343
0.029,0.01,19000,0.4158,0.383
0.031,0.019,20000,0.42923,0.4
0.039,0.024,21000,0.42114,0.399
0.033,0.024,22000,0.4561,0.425
0.031,0.008,23000,0.43795,0.403
0.032,0.023,24000,0.42738,0.39
0.029,0.013,25000,0.45054,0.424
0.033,0.017,26000,0.4841,0.448
0.03,0.016,27000,0.46975,0.43
0.034,0.03,28000,0.45332,0.423
0.028,0.031,29000,0.46532,0.44
0.036,0.016,30000,0.44782,0.409
0.04,0.024,31000,0.46712,0.429
0.03,0.022,32000,0.47076,0.433
0.035,0.024,33000,0.45097,0.413
0.033,0.027,34000,0.45644,0.416
0.026,0.02,35000,0.47269,0.432
0.027,0.026,36000,0.45216,0.412
0.03,0.015,37000,0.48563,0.448
0.028,0.018,38000,0.46347,0.427
0.031,0.016,39000,0.47057,0.433
0.035,0.018,40000,0.44342,0.405
0.025,0.01,41000,0.46521,0.426
0.029,0.026,42000,0.47429,0.434
0.029,0.016,43000,0.47686,0.439
0.036,0.017,44000,0.47027,0.43
0.025,0.021,45000,0.46739,0.431
0.033,0.018,46000,0.46294,0.423
0.025,0.016,47000,0.46941,0.434
0.028,0.023,48000,0.47107,0.431
0.024,0.024,49000,0.42642,0.416
0.033,0.03,50000,0.47603,0.44
0.025,0.014,51000,0.48611,0.448
0.023,0.024,52000,0.46195,0.429
0.03,0.019,53000,0.48016,0.443
0.024,0.02,54000,0.48014,0.444
0.03,0.029,55000,0.4629,0.422
0.026,0.022,56000,0.48551,0.443
0.024,0.022,57000,0.4545,0.415
0.026,0.014,58000,0.47082,0.435
0.029,0.01,59000,0.50239,0.463
0.034,0.025,60000,0.48173,0.439
0.027,0.018,61000,0.48488,0.443
0.033,0.01,62000,0.4892,0.445
0.019,0.02,63000,0.50257,0.463
0.033,0.018,64000,0.46349,0.419
0.023,0.027,65000,0.49381,0.452
0.025,0.023,66000,0.48216,0.439
0.02,0.02,67000,0.48935,0.445
0.025,0.022,68000,0.48958,0.445
