avg_score,step_idx,avg_winning,loss_train,avg_diff
0.26341,1000,0.244,0.031,0.032
0.31218,2000,0.297,0.037,0.03
0.27526,3000,0.258,0.038,0.028
0.29763,4000,0.283,0.036,0.016
0.28222,5000,0.26,0.039,0.023
0.27035,6000,0.248,0.034,0.012
0.31121,7000,0.288,0.032,0.016
0.31703,8000,0.292,0.031,0.019
0.284,9000,0.258,0.03,0.024
0.31832,10000,0.292,0.027,0.025
0.32155,11000,0.292,0.026,0.023
0.34531,12000,0.317,0.031,0.025
0.37128,13000,0.342,0.03,0.025
0.36004,14000,0.331,0.028,0.015
0.33289,15000,0.303,0.029,0.021
0.3856,16000,0.353,0.028,0.021
0.37798,17000,0.347,0.028,0.019
0.40914,18000,0.375,0.026,0.01
0.41687,19000,0.383,0.028,0.017
0.4304,20000,0.395,0.025,0.02
0.43352,21000,0.399,0.03,0.018
0.42523,22000,0.393,0.031,0.023
0.42495,23000,0.39,0.028,0.017
0.4629,24000,0.427,0.028,0.02
0.4505,25000,0.417,0.027,0.014
0.45132,26000,0.415,0.03,0.016
0.48412,27000,0.448,0.032,0.011
0.48028,28000,0.443,0.028,0.017
0.46643,29000,0.428,0.031,0.016
0.47852,30000,0.445,0.027,0.023
0.47816,31000,0.44,0.032,0.026
0.45658,32000,0.432,0.026,0.031
0.49768,33000,0.461,0.03,0.022
0.50068,34000,0.462,0.029,0.009
0.49764,35000,0.458,0.03,0.016
0.46832,36000,0.442,0.027,0.02
0.48189,37000,0.444,0.037,0.026
0.48106,38000,0.443,0.028,0.007
0.48487,39000,0.443,0.034,0.025
0.4735,40000,0.444,0.03,0.013
0.47818,41000,0.445,0.024,0.018
0.49463,42000,0.454,0.032,0.014
0.48474,43000,0.452,0.023,0.021
0.49191,44000,0.455,0.03,0.022
0.47334,45000,0.441,0.028,0.022
0.49243,46000,0.46,0.028,0.014
0.48513,47000,0.446,0.028,0.022
0.49058,48000,0.454,0.018,0.022
0.48266,49000,0.452,0.027,0.018
0.47726,50000,0.441,0.03,0.02
0.49195,51000,0.45,0.031,0.003
0.48747,52000,0.443,0.029,0.026
0.50239,53000,0.459,0.024,0.015
0.45816,54000,0.418,0.026,0.022
0.46636,55000,0.443,0.021,0.015
0.48669,56000,0.45,0.029,0.014
0.48366,57000,0.44,0.038,0.022
0.51319,58000,0.469,0.03,0.016
0.49708,59000,0.456,0.022,0.013
0.46542,60000,0.432,0.027,0.023
0.49541,61000,0.456,0.034,0.018
0.51643,62000,0.473,0.028,0.018
0.51861,63000,0.474,0.023,0.02
0.51471,64000,0.471,0.02,0.016
0.46354,65000,0.43,0.03,0.021
0.4927,66000,0.452,0.032,0.028
0.51263,67000,0.468,0.024,0.02
0.50347,68000,0.464,0.03,0.019
0.48443,69000,0.442,0.021,0.015
0.4887,70000,0.447,0.027,0.019
0.52405,71000,0.48,0.025,0.016
0.51404,72000,0.47,0.032,0.019
0.51556,73000,0.474,0.032,0.024
0.49932,74000,0.454,0.034,0.017
0.4972,75000,0.453,0.022,0.024
0.49457,76000,0.449,0.021,0.009
0.51002,77000,0.465,0.028,0.011
0.50418,78000,0.461,0.024,0.027
0.48633,79000,0.441,0.031,0.023
0.50014,80000,0.455,0.03,0.009
0.53684,81000,0.494,0.029,0.015
0.51521,82000,0.474,0.022,0.016
0.51644,83000,0.475,0.021,0.015
0.49483,84000,0.458,0.031,0.025
0.50864,85000,0.462,0.025,0.02
0.51269,86000,0.467,0.026,0.011
0.51579,87000,0.474,0.023,0.021
0.51264,88000,0.468,0.026,0.019
0.50687,89000,0.469,0.026,0.02
0.51773,90000,0.476,0.028,0.016
0.50659,91000,0.469,0.023,0.018
0.50949,92000,0.464,0.029,0.019
0.49949,93000,0.454,0.026,0.025
0.48357,94000,0.44,0.027,0.016
0.5102,95000,0.47,0.028,0.017
0.5022,96000,0.457,0.022,0.024
0.51683,97000,0.471,0.022,0.011
0.50362,98000,0.462,0.013,0.023
0.52258,99000,0.479,0.025,0.015
0.51256,100000,0.468,0.027,0.013
0.51663,101000,0.478,0.027,0.014
0.50199,102000,0.458,0.029,0.016
0.51389,103000,0.469,0.022,0.012
0.53021,104000,0.486,0.019,0.023
0.51583,105000,0.471,0.027,0.013
0.53053,106000,0.488,0.016,0.014
0.53117,107000,0.489,0.022,0.014
0.51666,108000,0.47,0.021,0.013
0.52109,109000,0.474,0.03,0.016
0.49689,110000,0.452,0.03,0.021
0.53073,111000,0.485,0.022,0.012
0.53588,112000,0.49,0.031,0.015
0.53508,113000,0.489,0.03,0.013
0.53565,114000,0.491,0.025,0.012
0.51896,115000,0.473,0.031,0.007
0.48778,116000,0.443,0.027,0.008
0.50954,117000,0.463,0.02,0.01
0.51936,118000,0.474,0.02,0.008
0.51905,119000,0.488,0.027,0.02
0.51811,120000,0.473,0.032,0.014
0.50989,121000,0.468,0.027,0.021
0.52296,122000,0.479,0.027,0.025
0.52315,123000,0.479,0.023,0.017
0.52281,124000,0.48,0.024,0.014
nan,125000,0.463,0.032,0.024
0.50959,126000,0.464,0.018,0.02
0.52012,127000,0.475,0.021,0.02
0.49372,128000,0.449,0.033,0.022
0.51557,129000,0.473,0.017,0.019
0.51782,130000,0.476,0.026,0.014
0.48951,131000,0.446,0.03,0.016
0.52549,132000,0.48,0.016,0.011
0.50879,133000,0.468,0.017,0.013
0.52463,134000,0.482,0.024,0.024
0.51333,135000,0.467,0.027,0.016
0.50722,136000,0.462,0.027,0.012
0.5043,137000,0.46,0.021,0.019
0.51205,138000,0.468,0.025,0.024
0.52176,139000,0.484,0.01,0.022
0.49563,140000,0.451,0.025,0.016
0.5066,141000,0.462,0.035,0.026
0.49835,142000,0.453,0.018,0.015
0.51795,143000,0.473,0.016,0.014
0.50537,144000,0.46,0.029,0.022
0.49415,145000,0.448,0.023,0.027
0.49642,146000,0.46,0.01,0.024
0.5156,147000,0.471,0.029,0.022
0.49271,148000,0.455,0.017,0.023
0.4931,149000,0.449,0.031,0.022
0.48479,150000,0.441,0.014,0.021
0.51538,151000,0.475,0.015,0.012
0.49901,152000,0.454,0.028,0.022
0.49055,153000,0.446,0.018,0.028
0.50821,154000,0.467,0.017,0.014
0.50011,155000,0.457,0.021,0.018
0.47255,156000,0.428,0.036,0.02
0.49252,157000,0.448,0.016,0.012
0.49478,158000,0.45,0.021,0.013
0.51255,159000,0.471,0.023,0.021
0.51304,160000,0.469,0.026,0.02
0.49435,161000,0.451,0.028,0.024
0.50581,162000,0.465,0.011,0.017
0.53159,163000,0.488,0.038,0.014
0.49379,164000,0.45,0.021,0.018
0.5,165000,0.458,0.015,0.019
0.51,166000,0.467,0.029,0.028
0.51323,167000,0.475,0.021,0.027
0.49849,168000,0.453,0.031,0.018
0.51951,169000,0.473,0.018,0.024
0.52132,170000,0.475,0.022,0.016
0.53448,171000,0.488,0.024,0.021
0.52295,172000,0.477,0.035,0.024
0.5099,173000,0.465,0.038,0.031
0.52343,174000,0.479,0.022,0.018
0.5233,175000,0.478,0.027,0.012
0.5233,176000,0.48,0.027,0.014
0.49411,177000,0.45,0.03,0.018
0.50804,178000,0.465,0.016,0.018
0.52963,179000,0.487,0.015,0.018
0.52277,180000,0.479,0.024,0.009
0.52819,181000,0.486,0.023,0.008
0.5042,182000,0.462,0.017,0.012
0.50869,183000,0.467,0.016,0.009
0.50312,184000,0.467,0.026,0.02
0.51489,185000,0.472,0.023,0.011
0.50806,186000,0.466,0.028,0.016
0.52461,187000,0.481,0.032,0.01
0.51168,188000,0.471,0.023,0.017
0.49765,189000,0.456,0.014,0.015
0.51075,190000,0.471,0.023,0.012
0.48569,191000,0.458,0.023,0.021
0.51752,192000,0.474,0.006,0.007
0.53624,193000,0.494,0.026,0.02
0.50737,194000,0.466,0.017,0.013
0.49701,195000,0.454,0.028,0.01
0.49561,196000,0.456,0.028,0.015
0.48778,197000,0.445,0.033,0.016
0.49629,198000,0.453,0.009,0.015
0.51733,199000,0.474,0.016,0.011
0.48777,200000,0.443,0.019,0.017
0.51438,201000,0.469,0.019,0.014
0.52541,202000,0.48,0.02,0.016
0.51114,203000,0.465,0.029,0.012
0.48777,204000,0.447,0.004,0.008
0.50799,205000,0.464,0.021,0.021
0.51561,206000,0.472,0.032,0.029
0.4791,207000,0.435,0.02,0.018
0.49139,208000,0.448,0.015,0.02
0.49176,209000,0.448,0.024,0.02
0.4947,210000,0.455,0.024,0.021
0.51959,211000,0.475,0.02,0.018
0.50334,212000,0.46,0.025,0.019
0.49978,213000,0.456,0.015,0.023
0.51648,214000,0.473,0.021,0.017
0.51513,215000,0.471,0.013,0.029
0.51283,216000,0.471,0.028,0.028
0.51008,217000,0.467,0.021,0.016
0.5113,218000,0.467,0.021,0.012
0.49619,219000,0.452,0.008,0.017
0.51581,220000,0.471,0.032,0.023
0.523,221000,0.479,0.01,0.016
0.50528,222000,0.461,0.028,0.02
0.51302,223000,0.467,0.024,0.011
0.50094,224000,0.456,0.017,0.02
0.52901,225000,0.484,0.013,0.016
0.51057,226000,0.465,0.024,0.019
0.50692,227000,0.461,0.022,0.02
0.50797,228000,0.465,0.014,0.015
0.48826,229000,0.443,0.027,0.017
0.48375,230000,0.438,0.017,0.016
0.52232,231000,0.478,0.016,0.021
0.51094,232000,0.466,0.033,0.011
0.49398,233000,0.449,0.023,0.019
0.49924,234000,0.454,0.016,0.012
0.50054,235000,0.455,0.025,0.009
0.50863,236000,0.463,0.011,0.014
0.5071,237000,0.463,0.026,0.014
0.51571,238000,0.469,0.028,0.015
0.51667,239000,0.473,0.029,0.011
