loss_train,avg_diff,step_idx,avg_winning,avg_score
0.0,0.028,1000,0.227,0.24111
0.0,0.024,2000,0.198,0.21719
0.0,0.023,3000,0.223,0.23744
0.0,0.025,4000,0.215,0.23221
0.0,0.024,5000,0.226,0.24557
0.0,0.027,6000,0.241,0.26082
0.0,0.02,7000,0.266,0.2814
0.0,0.025,8000,0.253,0.27282
0.0,0.036,9000,0.23,0.24979
0.0,0.034,10000,0.252,0.2788
0.0,0.027,11000,0.304,0.32774
0.0,0.02,12000,0.318,0.33871
0.0,0.03,13000,0.3,0.31863
0.0,0.02,14000,0.35,0.37261
0.0,0.017,15000,0.423,0.4497
0.0,0.023,16000,0.41,0.43922
0.0,0.02,17000,0.41,0.44191
0.0,0.028,18000,0.405,0.43807
0.0,0.018,19000,0.422,0.44748
0.0,0.016,20000,0.419,0.44677
0.0,0.027,21000,0.437,0.46966
0.0,0.025,22000,0.416,0.45221
0.0,0.023,23000,0.441,0.47037
0.0,0.025,24000,0.435,0.46853
0.0,0.02,25000,0.436,0.472
0.0,0.028,26000,0.441,0.4534
0.0,0.021,27000,0.446,0.48135
0.0,0.036,28000,0.422,0.45871
0.0,0.017,29000,0.44,0.47788
0.0,0.022,30000,0.444,0.47855
0.0,0.026,31000,0.458,0.49395
0.0,0.019,32000,0.443,0.4767
0.0,0.016,33000,0.455,0.48182
0.0,0.017,34000,0.448,0.47457
0.0,0.022,35000,0.453,0.48726
0.0,0.026,36000,0.457,0.49425
0.0,0.041,37000,0.435,0.47318
0.0,0.023,38000,0.446,0.47748
0.0,0.024,39000,0.445,0.48282
0.0,0.024,40000,0.441,0.4757
0.0,0.017,41000,0.436,0.47252
0.0,0.005,42000,0.445,0.48092
0.0,0.028,43000,0.447,0.48313
0.0,0.012,44000,0.447,0.48187
0.0,0.033,45000,0.458,0.49715
0.0,0.028,46000,0.418,0.45409
0.0,0.026,47000,0.454,0.49066
0.0,0.021,48000,0.446,0.47919
0.0,0.022,49000,0.464,0.4983
0.0,0.019,50000,0.45,0.48673
0.0,0.032,51000,0.442,0.47736
0.0,0.031,52000,0.442,0.47676
0.0,0.019,53000,0.456,0.49304
0.0,0.02,54000,0.441,0.47554
0.0,0.017,55000,0.455,0.49515
0.0,0.011,56000,0.432,0.4632
0.0,0.026,57000,0.46,0.5014
0.0,0.031,58000,0.436,0.47554
0.0,0.03,59000,0.449,0.48814
0.0,0.03,60000,0.446,0.48523
0.0,0.017,61000,0.427,0.4608
0.0,0.031,62000,0.44,0.48027
0.0,0.032,63000,0.445,0.48454
0.0,0.022,64000,0.438,0.47896
0.0,0.024,65000,0.434,0.47519
0.0,0.02,66000,0.439,0.48055
0.0,0.029,67000,0.456,0.49738
0.0,0.023,68000,0.427,0.46897
0.0,0.013,69000,0.437,0.47858
0.0,0.023,70000,0.447,0.48542
0.0,0.022,71000,0.445,0.48565
0.0,0.018,72000,0.441,0.48063
0.0,0.019,73000,0.468,0.50447
0.0,0.02,74000,0.455,0.4964
0.0,0.028,75000,0.461,0.50432
0.0,0.024,76000,0.452,0.49372
0.0,0.024,77000,0.457,0.4996
0.0,0.023,78000,0.462,0.50407
0.0,0.015,79000,0.442,0.48457
0.0,0.026,80000,0.452,0.49541
0.0,0.03,81000,0.433,0.47645
0.0,0.027,82000,0.461,0.49836
0.0,0.024,83000,0.444,0.48227
0.0,0.021,84000,0.464,0.50615
0.0,0.02,85000,0.473,0.51661
0.0,0.02,86000,0.449,0.49298
0.0,0.033,87000,0.45,0.49305
0.0,0.024,88000,0.456,0.49919
0.0,0.018,89000,0.465,0.50788
0.0,0.025,90000,0.465,0.50359
0.0,0.027,91000,0.459,0.50246
0.0,0.028,92000,0.455,0.49687
0.0,0.03,93000,0.475,0.51864
0.0,0.023,94000,0.461,0.50248
0.0,0.021,95000,0.452,0.49165
0.0,0.021,96000,0.472,0.51475
0.0,0.024,97000,0.472,0.51603
0.0,0.021,98000,0.463,0.50677
0.0,0.019,99000,0.466,0.51
0.0,0.02,100000,0.471,0.51532
0.0,0.023,101000,0.464,0.50755
0.0,0.022,102000,0.466,0.51033
0.0,0.027,103000,0.481,0.52526
0.0,0.017,104000,0.457,0.50099
0.0,0.022,105000,0.466,0.509
0.0,0.022,106000,0.476,0.51884
0.0,0.023,107000,0.479,0.52075
0.0,0.025,108000,0.471,0.51601
0.0,0.03,109000,0.472,0.51675
0.0,0.03,110000,0.479,0.52364
0.0,0.027,111000,0.46,0.50485
0.0,0.027,112000,0.464,0.50876
0.0,0.019,113000,0.471,0.5142
0.0,0.035,114000,0.468,0.50811
0.0,0.027,115000,0.455,0.49618
0.0,0.025,116000,0.452,0.4941
0.0,0.018,117000,0.443,0.48479
0.0,0.022,118000,0.47,0.5119
0.0,0.02,119000,0.475,0.51727
0.0,0.026,120000,0.468,0.50648
0.0,0.022,121000,0.477,0.52166
0.0,0.014,122000,0.463,0.50891
0.0,0.026,123000,0.474,0.51232
0.0,0.033,124000,0.465,0.50721
0.0,0.025,125000,0.477,0.51858
0.0,0.021,126000,0.459,0.50178
0.0,0.024,127000,0.468,0.51261
0.0,0.016,128000,0.485,0.52819
0.0,0.025,129000,0.468,0.50907
0.0,0.017,130000,0.467,0.5118
0.0,0.022,131000,0.477,0.51984
0.0,0.015,132000,0.469,0.51367
0.0,0.021,133000,0.469,0.51242
0.0,0.015,134000,0.478,0.52243
0.0,0.017,135000,0.473,0.51485
0.0,0.022,136000,0.467,0.51104
0.0,0.013,137000,0.452,0.49213
0.0,0.015,138000,0.473,0.51091
0.0,0.019,139000,0.48,0.52254
0.0,0.014,140000,0.477,0.52217
0.0,0.022,141000,0.48,0.52455
0.0,0.016,142000,0.485,0.52868
0.0,0.02,143000,0.483,0.526
0.0,0.026,144000,0.477,0.52136
0.0,0.016,145000,0.48,0.52454
0.0,0.025,146000,0.468,0.5142
0.0,0.021,147000,0.479,0.52549
0.0,0.027,148000,0.473,0.51692
0.0,0.018,149000,0.484,0.53037
0.0,0.023,150000,0.44,0.48627
0.0,0.023,151000,0.477,0.52406
0.0,0.011,152000,0.481,0.52826
