avg_diff,avg_winning,avg_score,step_idx,loss_train
0.017,0.226,0.244,1000,0.034
0.016,0.227,0.24278,2000,0.04
0.015,0.245,0.26119,3000,0.04
0.018,0.229,0.24845,4000,0.036
0.023,0.223,0.2464,5000,0.034
0.014,0.259,0.28085,6000,0.028
0.01,0.269,0.29261,7000,0.032
0.022,0.275,0.29764,8000,0.027
0.02,0.266,0.29031,9000,0.03
0.018,0.259,0.28573,10000,0.026
0.017,0.292,0.31799,11000,0.028
0.025,0.284,0.31361,12000,0.028
0.029,0.322,0.35224,13000,0.029
0.015,0.344,0.37557,14000,0.025
0.025,0.353,0.38448,15000,0.032
0.019,0.364,0.39139,16000,0.027
0.013,0.362,0.3901,17000,0.029
0.018,0.398,0.42246,18000,0.031
0.023,0.414,0.4465,19000,0.032
0.021,0.445,0.4778,20000,0.035
0.012,0.446,0.48098,21000,0.03
0.025,0.447,0.48442,22000,0.026
0.021,0.462,0.50232,23000,0.028
0.018,0.447,0.48168,24000,0.029
0.017,0.452,0.49215,25000,0.031
0.017,0.485,0.52516,26000,0.031
0.019,0.464,0.49946,27000,0.029
0.015,0.451,0.47904,28000,0.035
0.018,0.445,0.48377,29000,0.027
0.005,0.46,0.49622,30000,0.032
0.013,0.451,0.47624,31000,0.028
0.018,0.469,0.50976,32000,0.032
0.015,0.469,0.50721,33000,0.032
0.019,0.467,0.50818,34000,0.026
0.015,0.462,0.50084,35000,0.032
0.01,0.44,0.46863,36000,0.03
0.031,0.456,0.49895,37000,0.032
0.021,0.449,0.49181,38000,0.035
0.017,0.462,0.4979,39000,0.03
0.017,0.479,0.52018,40000,0.028
0.027,0.466,0.50321,41000,0.027
0.024,0.456,0.49867,42000,0.032
0.024,0.454,0.49489,43000,0.025
0.021,0.462,0.50048,44000,0.026
0.032,0.458,0.49995,45000,0.031
0.011,0.444,0.47934,46000,0.031
0.018,0.438,0.47415,47000,0.024
0.017,0.454,0.49336,48000,0.034
0.015,0.436,0.47399,49000,0.028
0.009,0.459,0.49954,50000,0.025
0.014,0.459,0.50047,51000,0.027
0.018,0.445,0.47693,52000,0.02
0.019,0.467,0.50869,53000,0.024
0.015,0.444,0.48467,54000,0.028
0.01,0.434,0.46991,55000,0.03
0.016,0.452,0.49445,56000,0.022
0.023,0.454,0.49453,57000,0.014
