step_idx,avg_winning,avg_diff,avg_score,loss_train
1000,0.201,0.031,0.22136,0.027
2000,0.255,0.022,0.27343,0.04
3000,0.292,0.014,0.30419,0.043
4000,0.272,0.022,0.29105,0.04
5000,0.247,0.025,0.26611,0.035
6000,0.262,0.022,0.28008,0.03
7000,0.305,0.011,0.32773,0.033
8000,0.273,0.022,0.29858,0.031
9000,0.296,0.021,0.3216,0.029
10000,0.278,0.023,0.30552,0.028
11000,0.325,0.013,0.35034,0.03
12000,0.328,0.027,0.35357,0.028
13000,0.315,0.021,0.3446,0.032
14000,0.321,0.013,0.35002,0.029
15000,0.315,0.022,0.34448,0.027
16000,0.34,0.025,0.37325,0.029
17000,0.332,0.029,0.36281,0.03
18000,0.335,0.036,0.3705,0.028
19000,0.382,0.016,0.41402,0.025
20000,0.363,0.021,0.39599,0.029
21000,0.409,0.018,0.43868,0.028
22000,0.416,0.01,0.45131,0.027
23000,0.433,0.016,0.46872,0.03
24000,0.412,0.02,0.43806,0.027
25000,0.442,0.016,0.47526,0.023
26000,0.414,0.017,0.45266,0.035
27000,0.457,0.019,0.48991,0.023
28000,0.447,0.011,0.48256,0.032
29000,0.429,0.015,0.46723,0.027
30000,0.418,0.025,0.45725,0.032
31000,0.426,0.016,0.4632,0.028
32000,0.407,0.02,0.44774,0.028
33000,0.444,0.021,0.48224,0.023
34000,0.431,0.016,0.46993,0.021
35000,0.493,0.011,0.51999,0.018
36000,0.428,0.024,0.46856,0.029
37000,0.403,0.025,0.44363,0.023
38000,0.434,0.024,0.47156,0.016
39000,0.457,0.019,0.49099,0.025
40000,0.43,0.028,0.47097,0.027
41000,0.42,0.023,0.46026,0.023
42000,0.423,0.031,0.4645,0.027
43000,0.448,0.014,0.48509,0.023
44000,0.431,0.024,0.46594,0.024
45000,0.44,0.02,0.4805,0.033
46000,0.445,0.026,0.48603,0.022
47000,0.437,0.015,0.47866,0.024
48000,0.441,0.03,0.47899,0.026
49000,0.445,0.022,0.48648,0.019
50000,0.45,0.008,0.49053,0.029
51000,0.419,0.016,0.4608,0.023
52000,0.431,0.022,0.47317,0.031
53000,0.44,0.02,0.4797,0.012
54000,0.444,0.018,0.48396,0.016
55000,0.443,0.019,0.48596,0.022
56000,0.449,0.024,0.49016,0.023
57000,0.441,0.029,0.48426,0.026
58000,0.408,0.024,0.45082,0.025
59000,0.451,0.011,0.49285,0.022
60000,0.44,0.035,0.48131,0.024
61000,0.444,0.011,0.48662,0.025
62000,0.449,0.023,0.49084,0.015
63000,0.435,0.016,0.47811,0.016
64000,0.454,0.025,0.4955,0.014
65000,0.461,0.025,0.5048,0.019
66000,0.441,0.022,0.48509,0.024
67000,0.425,0.021,0.46849,0.026
68000,0.418,0.029,0.46145,0.014
69000,0.432,0.034,0.47495,0.016
70000,0.454,0.025,0.49761,0.015
71000,0.434,0.028,0.47891,0.022
72000,0.441,0.023,0.48528,0.02
73000,0.43,0.018,0.46817,0.013
74000,0.444,0.012,0.48828,0.033
75000,0.432,0.028,0.47581,0.021
76000,0.43,0.027,0.47063,0.014
77000,0.449,0.016,0.49148,0.015
78000,0.445,0.02,0.48775,0.016
79000,0.425,0.02,0.46852,0.015
80000,0.442,0.03,0.48463,0.01
81000,0.413,0.021,0.45709,0.024
82000,0.448,0.022,0.49049,0.01
83000,0.425,0.021,0.46728,0.02
84000,0.448,0.024,0.48943,0.027
85000,0.404,0.021,0.44749,0.025
86000,0.394,0.018,0.43659,0.017
87000,0.432,0.019,0.47458,0.014
88000,0.428,0.028,0.47087,0.01
89000,0.424,0.011,0.46745,0.022
90000,0.404,0.013,0.44827,0.014
91000,0.405,0.019,0.44884,0.013
92000,0.391,0.016,0.43517,0.018
93000,0.423,0.026,0.46425,0.013
94000,0.384,0.021,0.42792,0.018
95000,0.433,0.027,0.47621,0.01
96000,0.405,0.026,0.44884,0.01
97000,0.408,0.023,0.45112,0.008
98000,0.417,0.017,0.46166,0.017
99000,0.406,0.014,0.45022,0.013
100000,0.432,0.026,0.475,0.015
101000,0.414,0.018,0.459,0.019
102000,0.439,0.031,0.48231,0.013
103000,0.421,0.021,0.46414,0.01
104000,0.43,0.019,0.47455,0.024
105000,0.433,0.025,0.47724,0.012
106000,0.422,0.018,0.46636,0.015
107000,0.442,0.032,0.48581,0.012
108000,0.422,0.029,0.46593,0.017
109000,0.428,0.021,0.47316,0.02
110000,0.426,0.022,0.47205,0.015
111000,0.424,0.035,0.46404,0.003
112000,0.43,0.025,0.46723,0.016
113000,0.449,0.025,0.49254,0.017
114000,0.446,0.012,0.49099,0.02
115000,0.457,0.027,0.49465,0.013
116000,0.441,0.03,0.47909,0.012
117000,0.441,0.03,0.48647,0.018
118000,0.433,0.028,0.4751,0.016
119000,0.43,0.014,0.47567,0.031
120000,0.422,0.023,0.46781,0.017
121000,0.396,0.012,0.43965,0.016
122000,0.442,0.025,0.48643,0.011
123000,0.444,0.028,0.48778,0.012
124000,0.455,0.036,0.49874,0.015
125000,0.469,0.028,0.51472,0.027
126000,0.427,0.019,0.47196,0.034
127000,0.452,0.021,0.498,0.017
128000,0.456,0.015,0.50214,0.02
129000,0.441,0.02,0.48184,0.018
130000,0.455,0.025,0.50109,0.013
131000,0.45,0.032,0.49098,0.011
132000,0.433,0.021,0.46994,0.032
133000,0.438,0.031,0.48036,0.019
134000,0.462,0.023,0.50937,0.027
135000,0.46,0.027,0.50603,0.03
136000,0.438,0.018,0.48519,0.023
137000,0.439,0.029,0.4799,0.017
138000,0.468,0.017,0.51628,0.018
139000,0.464,0.025,0.51115,0.025
140000,0.478,0.019,0.5261,0.029
141000,0.434,0.021,0.46549,0.019
142000,0.484,0.019,0.53107,0.021
143000,0.457,0.027,0.5044,0.033
144000,0.474,0.021,0.52228,0.029
145000,0.457,0.013,0.50487,0.014
146000,0.467,0.013,0.51395,0.029
147000,0.444,0.017,0.49098,0.019
148000,0.481,0.02,0.52907,0.015
149000,0.475,0.019,0.52321,0.033
150000,0.488,0.02,0.53646,0.022
151000,0.483,0.011,0.5309,0.03
152000,0.485,0.015,0.53251,0.02
153000,0.448,0.015,0.49522,0.017
154000,0.473,0.017,0.52042,0.023
155000,0.476,0.025,0.52292,0.028
156000,0.482,0.015,0.52738,0.019
157000,0.478,0.025,0.52525,0.021
158000,0.472,0.022,0.51839,0.028
159000,0.478,0.013,0.51101,0.017
160000,0.468,0.02,0.51547,0.032
161000,0.45,0.017,0.48906,0.02
162000,0.476,0.008,0.51498,0.019
163000,0.473,0.018,0.52034,0.024
164000,0.478,0.032,0.52552,0.027
165000,0.458,0.014,0.50205,0.024
166000,0.465,0.013,0.51212,0.034
167000,0.457,0.022,0.50373,0.033
168000,0.446,0.025,0.49099,0.021
169000,0.448,0.006,0.49447,0.023
170000,0.446,0.023,0.48588,0.006
171000,0.478,0.015,0.52299,0.027
172000,0.452,0.014,0.49384,0.018
173000,0.476,0.011,0.52083,0.02
174000,0.475,0.024,0.52224,0.031
175000,0.47,0.018,0.5177,0.024
176000,0.454,0.005,0.50071,0.021
177000,0.467,0.018,0.51447,0.031
178000,0.473,0.011,0.52026,0.018
179000,0.427,0.015,0.47129,0.018
180000,0.452,0.021,0.49834,0.017
181000,0.481,0.009,0.52909,0.018
182000,0.471,0.019,0.51924,0.028
183000,0.459,0.021,0.50637,0.022
184000,0.458,0.026,0.50626,0.027
185000,0.473,0.01,0.52139,0.02
186000,0.457,0.017,0.50417,0.03
187000,0.483,0.023,0.52565,0.018
188000,0.468,0.028,0.51484,0.02
189000,0.468,0.022,0.51157,0.016
190000,0.47,0.015,0.5078,0.016
191000,0.47,0.018,0.51507,0.019
192000,0.475,0.019,0.51576,0.025
193000,0.447,0.028,0.49289,0.036
194000,0.471,0.023,0.5138,0.014
195000,0.472,0.009,0.51105,0.025
196000,0.46,0.024,0.50502,0.017
197000,0.46,0.015,0.50529,0.019
198000,0.457,0.011,0.50213,0.015
199000,0.463,0.016,0.50325,0.029
200000,0.471,0.025,0.51521,0.015
201000,0.458,0.016,0.50394,0.026
202000,0.456,0.017,0.50311,0.02
203000,0.432,0.033,0.47838,0.018
204000,0.454,0.025,0.50034,0.021
205000,0.457,0.02,0.50328,0.018
206000,0.441,0.024,0.48674,0.018
207000,0.448,0.02,0.47294,0.018
208000,0.46,0.016,0.5018,0.026
209000,0.455,0.021,0.48129,0.019
210000,0.459,0.019,0.50456,0.022
211000,0.439,0.016,0.48409,0.014
212000,0.434,0.016,0.47928,0.018
213000,0.465,0.006,0.50887,0.023
214000,0.449,0.022,0.49428,0.014
215000,0.441,0.015,0.48568,0.015
216000,0.453,0.026,0.49697,0.017
217000,0.448,0.017,0.49363,0.016
218000,0.429,0.015,0.47353,0.018
219000,0.436,0.014,0.48029,0.021
220000,0.454,0.019,0.49129,0.015
221000,0.47,0.016,0.51153,0.017
222000,0.46,0.011,0.50143,0.022
223000,0.462,0.011,0.5051,0.019
224000,0.445,0.013,0.49021,0.017
225000,0.467,0.023,0.50541,0.026
226000,0.454,0.014,0.49665,0.011
227000,0.433,0.021,0.47698,0.023
228000,0.451,0.018,0.49414,0.012
