loss_train,step_idx,avg_diff,avg_winning,avg_score
0.023,1000,0.049,0.14,0.15963
0.031,2000,0.029,0.202,0.21738
0.036,3000,0.018,0.22,0.2364
0.033,4000,0.035,0.218,0.23393
0.034,5000,0.024,0.218,0.23325
0.029,6000,0.039,0.211,0.22856
0.031,7000,0.024,0.18,0.19917
0.028,8000,0.019,0.198,0.21571
0.028,9000,0.032,0.235,0.25504
0.028,10000,0.02,0.275,0.29085
0.025,11000,0.03,0.27,0.28971
0.028,12000,0.018,0.286,0.30364
0.027,13000,0.022,0.271,0.28975
0.025,14000,0.03,0.282,0.30433
0.026,15000,0.025,0.284,0.30362
0.028,16000,0.025,0.304,0.32669
0.028,17000,0.03,0.291,0.31222
0.027,18000,0.029,0.312,0.32722
0.028,19000,0.037,0.326,0.3501
0.027,20000,0.025,0.347,0.3726
0.027,21000,0.026,0.34,0.36445
0.027,22000,0.021,0.376,0.40098
0.026,23000,0.021,0.386,0.4105
0.026,24000,0.037,0.386,0.41605
0.025,25000,0.029,0.397,0.42766
0.024,26000,0.017,0.413,0.4369
0.02,27000,0.03,0.457,0.48585
0.025,28000,0.024,0.458,0.48905
0.021,29000,0.026,0.433,0.45792
0.026,30000,0.015,0.454,0.48422
0.025,31000,0.022,0.448,0.48042
0.019,32000,0.028,0.449,0.47933
0.018,33000,0.027,0.476,0.50864
0.018,34000,0.026,0.453,0.48611
0.021,35000,0.015,0.419,0.44283
0.022,36000,0.031,0.462,0.49601
0.019,37000,0.015,0.451,0.48231
0.019,38000,0.026,0.464,0.50046
0.016,39000,0.022,0.47,0.5055
0.022,40000,0.016,0.474,0.50666
0.02,41000,0.023,0.48,0.50822
0.013,42000,0.018,0.478,0.51003
0.026,43000,0.018,0.482,0.51781
0.021,44000,0.013,0.472,0.50707
0.012,45000,0.011,0.454,0.48136
0.022,46000,0.017,0.456,0.48997
0.029,47000,0.03,0.462,0.4978
0.023,48000,0.015,0.46,0.49493
0.012,49000,0.016,0.444,0.4819
0.005,50000,0.021,0.445,0.47396
0.017,51000,0.024,0.459,0.49008
0.015,52000,0.019,0.441,0.47377
0.014,53000,0.024,0.429,0.46233
0.016,54000,0.019,0.477,0.51442
0.016,55000,0.021,0.445,0.47716
0.012,56000,0.02,0.427,0.46311
0.018,57000,0.021,0.441,0.47348
0.02,58000,0.023,0.451,0.48658
0.019,59000,0.02,0.447,0.48015
0.022,60000,0.016,0.452,0.48553
0.013,61000,0.021,0.446,0.47954
0.012,62000,0.018,0.443,0.47845
0.025,63000,0.028,0.439,0.47813
0.019,64000,0.022,0.443,0.48222
0.01,65000,0.022,0.438,0.47248
0.006,66000,0.023,0.45,0.48818
0.013,67000,0.023,0.454,0.49166
0.017,68000,0.018,0.455,0.49519
0.016,69000,0.021,0.443,0.48031
0.019,70000,0.022,0.446,0.48502
0.006,71000,0.012,0.432,0.4704
0.011,72000,0.021,0.437,0.47736
0.014,73000,0.023,0.44,0.47874
0.011,74000,0.019,0.442,0.48192
0.011,75000,0.014,0.443,0.48174
0.015,76000,0.021,0.424,0.46359
0.009,77000,0.019,0.442,0.48061
0.006,78000,0.023,0.452,0.49091
0.013,79000,0.025,0.409,0.43954
0.01,80000,0.025,0.441,0.47761
0.018,81000,0.014,0.45,0.49104
0.01,82000,0.017,0.434,0.4731
0.006,83000,0.02,0.45,0.48999
0.009,84000,0.012,0.443,0.47864
0.003,85000,0.016,0.457,0.49128
0.017,86000,0.014,0.449,0.48863
0.006,87000,0.022,0.448,0.48905
0.004,88000,0.017,0.436,0.47289
0.012,89000,0.018,0.441,0.47974
0.003,90000,0.014,0.439,0.47926
-0.005,91000,0.022,0.441,0.47637
0.014,92000,0.017,0.462,0.502
0.009,93000,0.011,0.449,0.48945
0.013,94000,0.015,0.445,0.48448
0.013,95000,0.021,0.42,0.45894
0.018,96000,0.018,0.422,0.46245
