avg_diff,avg_score,loss_train,avg_winning,step_idx
0.03,0.29325,0.0,0.268,1000
0.018,0.30473,0.0,0.284,2000
0.036,0.26726,0.0,0.248,3000
0.026,0.28696,0.0,0.27,4000
0.032,0.25792,0.0,0.242,5000
0.032,0.24479,0.0,0.228,6000
0.03,0.28007,0.0,0.262,7000
0.024,0.27535,0.0,0.258,8000
0.028,0.27137,0.0,0.254,9000
0.022,0.25403,0.0,0.238,10000
0.03,0.26371,0.0,0.246,11000
0.03,0.26943,0.0,0.252,12000
0.028,0.26996,0.0,0.252,13000
0.03,0.27463,0.0,0.256,14000
0.028,0.28066,0.0,0.262,15000
0.034,0.28592,0.0,0.266,16000
0.022,0.27284,0.0,0.252,17000
0.024,0.27984,0.0,0.256,18000
0.01,0.28773,0.0,0.262,19000
0.006,0.3102,0.0,0.284,20000
0.01,0.30395,0.0,0.278,21000
0.006,0.30073,0.0,0.276,22000
0.02,0.30223,0.0,0.278,23000
0.03,0.28153,0.0,0.26,24000
0.034,0.28525,0.0,0.266,25000
0.022,0.27593,0.0,0.258,26000
0.034,0.26679,0.0,0.25,27000
0.022,0.26664,0.0,0.25,28000
0.026,0.27561,0.0,0.258,29000
0.036,0.27867,0.0,0.26,30000
0.03,0.26667,0.0,0.248,31000
0.024,0.27866,0.0,0.26,32000
0.024,0.27853,0.0,0.26,33000
0.02,0.27352,0.0,0.256,34000
0.036,0.27486,0.0,0.256,35000
0.028,0.25144,0.0,0.234,36000
0.024,0.26744,0.0,0.25,37000
0.026,0.25079,0.0,0.232,38000
0.022,0.2521,0.0,0.234,39000
0.028,0.25454,0.0,0.236,40000
0.018,0.26085,0.0,0.242,41000
0.018,0.27009,0.0,0.252,42000
0.012,0.27684,0.0,0.258,43000
0.036,0.24626,0.0,0.226,44000
0.036,0.26339,0.0,0.244,45000
0.024,0.26819,0.0,0.248,46000
0.02,0.29087,0.0,0.27,47000
0.016,0.25916,0.0,0.238,48000
0.022,0.25501,0.0,0.234,49000
0.022,0.27231,0.0,0.25,50000
0.012,0.28467,0.0,0.262,51000
0.016,0.25766,0.0,0.236,52000
0.0,0.28276,0.0,0.26,53000
0.03,0.26316,0.0,0.24,54000
0.006,0.28063,0.0,0.258,55000
0.02,0.28998,0.0,0.268,56000
0.034,0.30094,0.0,0.28,57000
0.026,0.26242,0.0,0.242,58000
0.022,0.27827,0.0,0.258,59000
0.02,0.27305,0.0,0.254,60000
0.03,0.24298,0.0,0.226,61000
0.028,0.23614,0.0,0.22,62000
0.032,0.23001,0.0,0.214,63000
0.026,0.22356,0.0,0.208,64000
0.038,0.23274,0.0,0.216,65000
0.024,0.24611,0.0,0.228,66000
0.028,0.23361,0.0,0.216,67000
0.03,0.23639,0.0,0.218,68000
0.03,0.23553,0.0,0.218,69000
0.028,0.25787,0.0,0.24,70000
0.022,0.22921,0.0,0.212,71000
0.028,0.22569,0.0,0.21,72000
0.028,0.23717,0.0,0.22,73000
0.02,0.21873,0.0,0.202,74000
0.026,0.23326,0.0,0.216,75000
0.026,0.24854,0.0,0.23,76000
0.022,0.24667,0.0,0.228,77000
0.022,0.23743,0.0,0.216,78000
0.022,0.23902,0.0,0.218,79000
0.032,0.24325,0.0,0.222,80000
0.036,0.23934,0.0,0.218,81000
0.024,0.26625,0.0,0.244,82000
0.022,0.26155,0.0,0.24,83000
0.026,0.2594,0.0,0.24,84000
0.032,0.26042,0.0,0.24,85000
0.024,0.26665,0.0,0.246,86000
0.014,0.27016,0.0,0.25,87000
0.028,0.24115,0.0,0.224,88000
0.026,0.23138,0.0,0.214,89000
