loss tensor(3.3409, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(6.8493, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(10.3578, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(13.8663, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(17.3748, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(20.8833, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(24.3917, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(27.9002, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(31.4087, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(34.9172, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(38.4257, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(41.9341, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(45.4426, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(48.9511, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(52.4596, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(55.9681, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(59.4765, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(62.9850, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(66.4935, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(70.0020, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(73.5105, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(77.0189, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(80.5274, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(84.0359, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(87.5444, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(91.0528, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(94.5613, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(98.0698, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(101.5783, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(105.0867, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(108.5952, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(112.1037, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(115.6122, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(119.1207, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(122.6291, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(126.1376, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(129.6461, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(133.1546, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(136.6631, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(140.1715, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(143.6800, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(147.1885, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(150.6970, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(154.2055, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(157.7140, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(161.2224, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(164.7309, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(168.2394, device='cuda:0', grad_fn=<AddBackward0>)
