avg_winning,avg_diff,loss_train,step_idx,avg_score
0.3,0.055,0.0,1000,0.28571
0.28,0.06,0.0,2000,0.26341
0.27,0.045,0.0,3000,0.24912
0.3,0.08,0.0,4000,0.27894
0.27,0.07,0.0,5000,0.24794
0.255,0.06,0.0,6000,0.23411
0.27,0.07,0.0,7000,0.24981
0.255,0.065,0.0,8000,0.2331
0.26,0.06,0.0,9000,0.2378
0.25,0.045,0.0,10000,0.22814
0.235,0.075,0.0,11000,0.21311
0.255,0.06,0.0,12000,0.23342
0.275,0.045,0.0,13000,0.25588
0.305,0.05,0.0,14000,0.28931
0.255,0.065,0.0,15000,0.23625
0.275,0.07,0.0,16000,0.25942
0.275,0.035,0.0,17000,0.25953
0.285,0.045,0.0,18000,0.27023
0.27,0.055,0.0,19000,0.25683
0.275,0.05,0.0,20000,0.26326
0.31,0.04,0.0,21000,0.30364
0.35,0.03,0.0,22000,0.34819
0.365,0.035,0.0,23000,0.36285
0.305,0.025,0.0,24000,0.30039
0.38,0.035,0.0,25000,0.37847
0.34,0.005,0.0,26000,0.33681
0.37,0.02,0.0,27000,0.37041
0.355,0.025,0.0,28000,0.35547
0.305,0.05,0.0,29000,0.30264
0.355,0.04,0.0,30000,0.35379
0.35,0.055,0.0,31000,0.34799
0.34,0.01,0.0,32000,0.33716
0.35,0.025,0.0,33000,0.34887
0.315,0.01,0.0,34000,0.31315
0.325,-0.005,0.0,35000,0.32137
0.35,0.025,0.0,36000,0.34625
0.31,0.02,0.0,37000,0.30484
0.37,0.015,0.0,38000,0.36861
0.38,0.025,0.0,39000,0.38068
0.38,0.005,0.0,40000,0.37824
0.4,0.005,0.0,41000,0.39849
0.3,0.025,0.0,42000,0.29532
0.315,0.045,0.0,43000,0.31101
0.35,0.015,0.0,44000,0.34375
0.3,0.03,0.0,45000,0.29653
0.38,0.005,0.0,46000,0.37848
0.34,0.025,0.0,47000,0.33863
0.32,0.025,0.0,48000,0.31622
0.335,0.04,0.0,49000,0.33061
0.34,0.015,0.0,50000,0.33711
0.36,0.025,0.0,51000,0.35547
0.335,0.025,0.0,52000,0.33137
0.375,0.015,0.0,53000,0.37062
0.365,0.015,0.0,54000,0.36211
0.38,0.015,0.0,55000,0.3764
0.38,0.025,0.0,56000,0.37859
0.395,0.015,0.0,57000,0.39494
0.42,0.005,0.0,58000,0.4204
0.42,0.03,0.0,59000,0.42452
0.44,0.01,0.0,60000,0.44203
0.4,0.02,0.0,61000,0.40343
0.46,0.01,0.0,62000,0.46831
0.445,-0.005,0.0,63000,0.45149
0.465,0.015,0.0,64000,0.46989
0.48,0.02,0.0,65000,0.48569
0.475,-0.005,0.0,66000,0.47949
0.49,0.01,0.0,67000,0.49914
0.5,0.025,0.0,68000,0.50828
0.455,0.005,0.0,69000,0.46268
0.455,0.015,0.0,70000,0.46156
0.475,-0.005,0.0,71000,0.48309
0.51,0.0,0.0,72000,0.51917
0.495,0.015,0.0,73000,0.50209
0.485,0.0,0.0,74000,0.49313
0.495,0.0,0.0,75000,0.50076
0.52,0.025,0.0,76000,0.5289
0.46,0.005,0.0,77000,0.46652
0.475,0.01,0.0,78000,0.48093
0.48,0.02,0.0,79000,0.4877
0.505,0.02,0.0,80000,0.51358
0.535,-0.005,0.0,81000,0.54381
0.475,0.01,0.0,82000,0.48213
0.51,0.015,0.0,83000,0.51699
0.5,0.015,0.0,84000,0.50739
0.465,0.02,0.0,85000,0.47295
0.505,0.005,0.0,86000,0.51421
0.53,0.005,0.0,87000,0.53827
0.505,0.01,0.0,88000,0.51281
0.52,0.01,0.0,89000,0.52739
0.485,0.015,0.0,90000,0.49184
0.49,0.025,0.0,91000,0.49814
0.475,0.03,0.0,92000,0.48181
0.56,0.02,0.0,93000,0.56961
0.515,0.0,0.0,94000,0.52267
0.525,0.02,0.0,95000,0.53215
0.55,0.035,0.0,96000,0.56014
0.53,0.0,0.0,97000,0.54063
0.555,0.01,0.0,98000,0.56599
0.505,0.02,0.0,99000,0.51066
0.56,0.02,0.0,100000,0.56903
0.51,0.01,0.0,101000,0.51728
0.525,0.005,0.0,102000,0.5342
0.57,0.0,0.0,103000,0.57753
0.49,0.02,0.0,104000,0.4994
0.525,0.015,0.0,105000,0.53392
0.505,0.01,0.0,106000,0.51272
0.525,0.025,0.0,107000,0.53255
0.525,0.025,0.0,108000,0.53355
