avg_score,loss_train,step_idx,avg_winning,avg_diff
0.25555,0.0,1000,0.27,0.06
0.52976,0.0,2000,0.5,0.025
0.5414,0.0,3000,0.515,0.03
0.24784,0.0,4000,0.27,0.045
0.22758,0.0,5000,0.25,0.065
0.22769,0.0,6000,0.25,0.06
0.23261,0.0,7000,0.255,0.045
0.23288,0.0,8000,0.255,0.06
0.25289,0.0,9000,0.275,0.045
0.2178,0.0,10000,0.24,0.065
0.24266,0.0,11000,0.265,0.06
0.23809,0.0,12000,0.26,0.06
0.22357,0.0,13000,0.245,0.04
0.27597,0.0,14000,0.295,0.065
0.23325,0.0,15000,0.25,0.035
0.23455,0.0,16000,0.25,0.02
0.26353,0.0,17000,0.28,0.06
0.27471,0.0,18000,0.29,0.04
0.22653,0.0,19000,0.24,0.04
0.27163,0.0,20000,0.28,0.005
0.35541,0.0,21000,0.36,0.04
0.32323,0.0,22000,0.325,0.025
0.32181,0.0,23000,0.325,0.02
0.32237,0.0,24000,0.325,0.035
0.33985,0.0,25000,0.34,0.04
0.33289,0.0,26000,0.335,0.02
0.3693,0.0,27000,0.37,0.04
0.39071,0.0,28000,0.39,0.005
0.38777,0.0,29000,0.385,0.02
0.34241,0.0,30000,0.34,0.02
0.30822,0.0,31000,0.31,0.02
0.31556,0.0,32000,0.315,0.005
0.38397,0.0,33000,0.385,-0.015
0.31781,0.0,34000,0.32,0.01
0.37286,0.0,35000,0.375,0.025
0.34635,0.0,36000,0.35,0.03
0.33031,0.0,37000,0.335,0.025
0.31726,0.0,38000,0.32,0.03
0.36355,0.0,39000,0.365,0.04
0.32764,0.0,40000,0.33,0.01
0.38862,0.0,41000,0.39,0.025
0.38851,0.0,42000,0.39,0.02
0.3433,0.0,43000,0.345,0.055
0.34166,0.0,44000,0.345,0.02
0.34955,0.0,45000,0.35,0.005
0.37731,0.0,46000,0.38,0.005
0.37397,0.0,47000,0.375,0.005
0.41424,0.0,48000,0.415,0.015
0.39293,0.0,49000,0.395,0.045
0.34266,0.0,50000,0.345,0.0
0.35229,0.0,51000,0.355,0.0
0.41511,0.0,52000,0.415,0.0
0.38619,0.0,53000,0.39,0.02
0.35687,0.0,54000,0.36,0.02
0.37539,0.0,55000,0.375,0.015
0.34939,0.0,56000,0.35,0.035
0.34135,0.0,57000,0.345,0.01
0.37652,0.0,58000,0.38,-0.005
0.37059,0.0,59000,0.375,0.0
0.36737,0.0,60000,0.37,0.05
0.37935,0.0,61000,0.38,0.0
0.35716,0.0,62000,0.36,0.025
0.35271,0.0,63000,0.355,0.015
0.39135,0.0,64000,0.39,0.015
0.46586,0.0,65000,0.46,0.025
0.43917,0.0,66000,0.435,0.02
0.44885,0.0,67000,0.445,0.03
0.47536,0.0,68000,0.47,0.01
0.45744,0.0,69000,0.45,0.025
0.43094,0.0,70000,0.425,0.015
0.5083,0.0,71000,0.5,0.025
0.45688,0.0,72000,0.45,0.025
0.45939,0.0,73000,0.455,0.01
0.52542,0.0,74000,0.515,-0.005
0.49849,0.0,75000,0.49,0.035
0.51344,0.0,76000,0.505,0.03
0.47811,0.0,77000,0.47,0.02
0.5001,0.0,78000,0.49,0.015
0.4795,0.0,79000,0.47,0.01
0.47353,0.0,80000,0.465,0.035
0.48445,0.0,81000,0.475,0.035
0.48629,0.0,82000,0.48,0.005
0.52158,0.0,83000,0.515,0.02
0.46056,0.0,84000,0.455,0.01
0.49759,0.0,85000,0.49,0.01
0.46562,0.0,86000,0.46,0.015
0.48381,0.0,87000,0.475,0.015
0.4886,0.0,88000,0.48,0.04
0.48047,0.0,89000,0.475,0.02
0.43579,0.0,90000,0.43,-0.01
0.52443,0.0,91000,0.515,0.025
0.49358,0.0,92000,0.485,0.02
0.50939,0.0,93000,0.5,0.005
0.48665,0.0,94000,0.48,0.015
0.47889,0.0,95000,0.47,0.015
0.52952,0.0,96000,0.52,0.02
0.55007,0.0,97000,0.54,0.025
0.55043,0.0,98000,0.54,0.02
0.52341,0.0,99000,0.515,0.03
0.49571,0.0,100000,0.49,0.03
0.53781,0.0,101000,0.53,0.01
0.55691,0.0,102000,0.55,0.0
0.51491,0.0,103000,0.505,0.02
0.47805,0.0,104000,0.47,0.02
0.53382,0.0,105000,0.525,0.02
0.55702,0.0,106000,0.545,0.03
0.56115,0.0,107000,0.55,0.025
0.54593,0.0,108000,0.535,0.005
0.53901,0.0,109000,0.53,0.02
0.52154,0.0,110000,0.515,0.025
0.51347,0.0,111000,0.505,0.02
0.50284,0.0,112000,0.495,0.015
0.50424,0.0,113000,0.495,0.015
0.51887,0.0,114000,0.51,0.03
0.58094,0.0,115000,0.57,0.015
0.52478,0.0,116000,0.515,0.025
0.60277,0.0,117000,0.59,0.005
0.50024,0.0,118000,0.49,0.025
0.53,0.0,119000,0.52,0.015
0.54092,0.0,120000,0.53,0.015
0.56638,0.0,121000,0.555,0.01
0.52388,0.0,122000,0.515,0.01
0.58167,0.0,123000,0.57,0.01
0.54092,0.0,124000,0.53,0.015
0.52795,0.0,125000,0.52,0.01
0.57255,0.0,126000,0.565,0.01
0.51409,0.0,127000,0.505,0.02
0.56937,0.0,128000,0.56,0.03
0.52415,0.0,129000,0.515,0.02
0.57551,0.0,130000,0.565,0.025
0.50654,0.0,131000,0.5,0.03
0.51266,0.0,132000,0.505,0.015
0.59622,0.0,133000,0.585,0.015
0.56289,0.0,134000,0.555,0.015
0.59076,0.0,135000,0.58,0.02
0.58029,0.0,136000,0.57,0.015
0.56103,0.0,137000,0.55,0.005
0.55994,0.0,138000,0.55,0.025
0.61091,0.0,139000,0.6,0.01
0.59506,0.0,140000,0.585,0.02
0.56513,0.0,141000,0.555,0.01
0.58669,0.0,142000,0.575,0.015
0.58597,0.0,143000,0.575,0.005
0.55491,0.0,144000,0.545,0.01
0.58006,0.0,145000,0.57,0.015
0.52907,0.0,146000,0.52,0.03
0.58011,0.0,147000,0.57,0.005
0.55447,0.0,148000,0.545,0.01
0.5707,0.0,149000,0.56,0.025
0.62073,0.0,150000,0.61,0.015
0.56533,0.0,151000,0.555,0.02
