avg_winning,loss_train,step_idx,avg_diff,avg_score
0.215,0.0,1000,0.04,0.20649
0.27,0.0,2000,0.07,0.26342
0.245,0.0,3000,0.05,0.2324
0.275,0.0,4000,0.055,0.25979
0.225,0.0,5000,0.08,0.20618
0.25,0.0,6000,0.08,0.22918
0.245,0.0,7000,0.06,0.22234
0.26,0.0,8000,0.045,0.23821
0.25,0.0,9000,0.045,0.22757
0.25,0.0,10000,0.06,0.22748
0.25,0.0,11000,0.05,0.22743
0.26,0.0,12000,0.06,0.2378
0.255,0.0,13000,0.06,0.23269
0.25,0.0,14000,0.05,0.2275
0.255,0.0,15000,0.06,0.23252
0.25,0.0,16000,0.05,0.22747
0.25,0.0,17000,0.06,0.22757
0.255,0.0,18000,0.06,0.23272
0.26,0.0,19000,0.05,0.23759
0.26,0.0,20000,0.06,0.23776
0.255,0.0,21000,0.065,0.23303
0.26,0.0,22000,0.075,0.23841
0.245,0.0,23000,0.06,0.22776
0.245,0.0,24000,0.08,0.22901
0.245,0.0,25000,0.07,0.22882
0.25,0.0,26000,0.05,0.23802
0.21,0.0,27000,0.06,0.19797
0.23,0.0,28000,0.06,0.21881
0.27,0.0,29000,0.025,0.26096
0.27,0.0,30000,0.045,0.26177
0.28,0.0,31000,0.045,0.27395
0.33,0.0,32000,0.025,0.32724
0.33,0.0,33000,0.03,0.32525
0.335,0.0,34000,0.05,0.33337
0.455,0.0,35000,0.035,0.45779
0.46,0.0,36000,0.02,0.46686
0.43,0.0,37000,0.035,0.43141
0.5,0.0,38000,0.035,0.50665
0.515,0.0,39000,0.015,0.52162
0.48,0.0,40000,0.03,0.4861
0.47,0.0,41000,0.025,0.47694
0.475,0.0,42000,0.035,0.4803
0.505,0.0,43000,0.02,0.51472
0.545,0.0,44000,0.03,0.5553
0.49,0.0,45000,0.02,0.49861
0.515,0.0,46000,0.025,0.52336
0.51,0.0,47000,0.05,0.5187
0.5,0.0,48000,0.04,0.51094
0.53,0.0,49000,0.04,0.54077
0.555,0.0,50000,0.03,0.5676
0.515,0.0,51000,0.04,0.5281
0.575,0.0,52000,0.035,0.58948
0.51,0.0,53000,0.05,0.52025
0.52,0.0,54000,0.01,0.53038
0.47,0.0,55000,0.05,0.47825
0.52,0.0,56000,0.04,0.52935
0.525,0.0,57000,0.04,0.53523
0.495,0.0,58000,0.035,0.50167
0.475,0.0,59000,0.035,0.48261
0.495,0.0,60000,0.04,0.50366
0.515,0.0,61000,0.035,0.52491
0.505,0.0,62000,0.015,0.51599
0.51,0.0,63000,0.055,0.52093
0.59,0.0,64000,0.02,0.60316
0.55,0.0,65000,0.03,0.56114
0.53,0.0,66000,0.025,0.54106
0.555,0.0,67000,0.015,0.56581
0.525,0.0,68000,0.015,0.53749
0.51,0.0,69000,0.015,0.5209
0.565,0.0,70000,0.035,0.57615
0.54,0.0,71000,0.02,0.55095
0.55,0.0,72000,0.02,0.56291
0.505,0.0,73000,0.04,0.51641
0.52,0.0,74000,0.025,0.53183
0.54,0.0,75000,0.035,0.5524
0.505,0.0,76000,0.015,0.51659
0.555,0.0,77000,0.05,0.56763
0.545,0.0,78000,0.045,0.55725
0.565,0.0,79000,0.03,0.57735
0.565,0.0,80000,0.025,0.57754
0.545,0.0,81000,0.03,0.55746
0.58,0.0,82000,0.015,0.59357
0.515,0.0,83000,0.0,0.52468
0.495,0.0,84000,0.035,0.50634
0.545,0.0,85000,0.02,0.55687
0.535,0.0,86000,0.025,0.547
0.555,0.0,87000,0.025,0.56827
0.53,0.0,88000,0.06,0.5411
0.575,0.0,89000,0.015,0.58761
0.55,0.0,90000,0.02,0.56267
0.55,0.0,91000,0.045,0.56344
0.57,0.0,92000,0.05,0.58368
0.53,0.0,93000,0.01,0.54125
0.56,0.0,94000,0.015,0.5726
0.535,0.0,95000,0.01,0.54681
0.57,0.0,96000,0.06,0.58364
0.53,0.0,97000,0.035,0.54177
0.52,0.0,98000,0.02,0.53054
0.535,0.0,99000,0.02,0.54503
0.515,0.0,100000,0.045,0.52638
0.535,0.0,101000,0.015,0.54486
0.58,0.0,102000,0.03,0.59218
0.58,0.0,103000,0.03,0.59283
0.51,0.0,104000,0.03,0.52257
0.54,0.0,105000,0.01,0.55105
0.49,0.0,106000,0.03,0.50055
0.545,0.0,107000,0.025,0.55523
0.52,0.0,108000,0.045,0.53109
0.53,0.0,109000,0.035,0.54236
0.545,0.0,110000,0.085,0.5566
0.525,0.0,111000,0.03,0.53771
0.55,0.0,112000,0.03,0.56153
0.5,0.0,113000,0.01,0.51273
0.525,0.0,114000,0.025,0.53581
0.555,0.0,115000,0.03,0.56455
0.495,0.0,116000,0.025,0.50671
0.54,0.0,117000,0.035,0.55229
0.53,0.0,118000,0.025,0.54278
0.57,0.0,119000,0.035,0.58424
0.53,0.0,120000,0.02,0.54292
0.54,0.0,121000,0.05,0.55448
0.515,0.0,122000,0.04,0.52968
0.56,0.0,123000,0.025,0.57444
0.485,0.0,124000,0.025,0.49581
0.55,0.0,125000,0.02,0.56341
0.52,0.0,126000,0.03,0.53372
0.565,0.0,127000,0.025,0.58091
0.54,0.0,128000,0.01,0.55562
0.6,0.0,129000,0.025,0.61635
0.61,0.0,130000,0.035,0.62746
0.615,0.0,131000,0.015,0.63189
0.58,0.0,132000,0.03,0.59676
0.61,0.0,133000,0.02,0.62662
0.59,0.0,134000,0.015,0.60646
0.58,0.0,135000,0.015,0.59547
0.61,0.0,136000,0.025,0.62845
0.6,0.0,137000,0.02,0.61824
0.6,0.0,138000,0.025,0.61794
0.625,0.0,139000,0.015,0.64435
0.605,0.0,140000,0.01,0.62463
0.605,0.0,141000,0.02,0.62149
0.65,0.0,142000,0.02,0.66848
0.63,0.0,143000,0.02,0.64738
0.645,0.0,144000,0.005,0.66262
0.635,0.0,145000,0.015,0.65521
0.61,0.0,146000,0.01,0.62742
0.615,0.0,147000,0.035,0.63253
0.62,0.0,148000,0.025,0.63845
0.665,0.0,149000,0.025,0.68278
0.635,0.0,150000,0.03,0.65278
0.645,0.0,151000,0.015,0.66371
0.675,0.0,152000,0.02,0.69389
0.61,0.0,153000,0.025,0.62671
0.66,0.0,154000,0.03,0.67881
0.65,0.0,155000,0.035,0.66853
0.62,0.0,156000,0.025,0.63837
0.66,0.0,157000,0.01,0.68013
0.655,0.0,158000,0.02,0.67401
0.63,0.0,159000,0.01,0.64764
0.645,0.0,160000,0.005,0.66269
0.645,0.0,161000,0.03,0.66287
0.615,0.0,162000,0.005,0.6322
0.645,0.0,163000,0.02,0.66448
0.635,0.0,164000,0.015,0.65226
0.645,0.0,165000,0.02,0.6624
0.65,0.0,166000,0.01,0.66896
0.67,0.0,167000,0.015,0.68766
0.67,0.0,168000,0.025,0.68797
0.64,0.0,169000,0.01,0.65778
0.635,0.0,170000,0.015,0.65219
0.625,0.0,171000,0.025,0.64303
0.685,0.0,172000,0.025,0.7039
0.665,0.0,173000,0.01,0.68266
0.63,0.0,174000,0.01,0.64611
0.64,0.0,175000,0.005,0.65774
0.66,0.0,176000,0.02,0.67947
0.665,0.0,177000,0.01,0.68484
0.67,0.0,178000,0.015,0.68888
0.645,0.0,179000,0.015,0.66376
0.625,0.0,180000,0.01,0.64312
0.63,0.0,181000,0.02,0.64859
0.63,0.0,182000,0.015,0.64786
0.67,0.0,183000,0.035,0.68864
0.665,0.0,184000,0.01,0.68362
0.63,0.0,185000,0.02,0.64863
0.625,0.0,186000,0.025,0.64323
0.64,0.0,187000,0.015,0.65909
0.635,0.0,188000,0.01,0.65385
0.615,0.0,189000,0.01,0.63203
0.655,0.0,190000,0.015,0.67175
0.665,0.0,191000,0.015,0.68274
0.645,0.0,192000,0.01,0.66157
0.625,0.0,193000,0.025,0.64175
0.665,0.0,194000,0.025,0.68242
0.675,0.0,195000,0.02,0.69303
0.625,0.0,196000,0.02,0.64206
0.645,0.0,197000,0.025,0.66217
0.635,0.0,198000,0.015,0.65261
0.615,0.0,199000,0.035,0.63215
0.625,0.0,200000,0.005,0.64303
0.645,0.0,201000,0.005,0.66384
0.66,0.0,202000,0.025,0.6795
0.675,0.0,203000,0.025,0.69582
0.62,0.0,204000,0.015,0.6393
0.65,0.0,205000,0.025,0.66954
0.655,0.0,206000,0.01,0.6735
0.645,0.0,207000,0.02,0.66335
0.655,0.0,208000,0.025,0.6726
0.66,0.0,209000,0.01,0.6797
0.665,0.0,210000,0.01,0.68503
0.655,0.0,211000,0.025,0.67516
0.66,0.0,212000,0.03,0.68002
0.67,0.0,213000,0.02,0.68931
0.63,0.0,214000,0.02,0.64763
0.66,0.0,215000,0.02,0.67844
0.655,0.0,216000,0.025,0.67396
0.645,0.0,217000,0.03,0.66312
0.67,0.0,218000,0.015,0.68859
0.67,0.0,219000,0.03,0.68948
0.665,0.0,220000,0.015,0.68357
0.67,0.0,221000,0.03,0.68927
0.65,0.0,222000,0.015,0.66826
0.65,0.0,223000,0.01,0.66748
0.65,0.0,224000,0.02,0.66826
0.64,0.0,225000,0.015,0.65833
0.67,0.0,226000,0.01,0.68934
0.63,0.0,227000,0.025,0.64828
0.64,0.0,228000,0.025,0.65803
0.67,0.0,229000,0.01,0.68811
0.645,0.0,230000,0.015,0.66306
0.68,0.0,231000,0.025,0.69753
0.655,0.0,232000,0.02,0.67357
0.61,0.0,233000,0.015,0.62761
0.655,0.0,234000,0.02,0.67259
0.645,0.0,235000,0.025,0.66252
0.65,0.0,236000,0.015,0.66676
0.59,0.0,237000,0.015,0.60602
0.64,0.0,238000,0.02,0.65673
0.63,0.0,239000,0.01,0.6475
0.64,0.0,240000,0.025,0.65735
0.625,0.0,241000,0.015,0.642
0.645,0.0,242000,0.02,0.66172
0.625,0.0,243000,0.03,0.64235
