loss_train,avg_score,avg_diff,step_idx,avg_winning
0.0,0.49158,0.02,12000,0.455
0.0,0.48015,0.015,13000,0.445
0.0,0.4535,-0.005,14000,0.42
0.0,0.51098,0.015,15000,0.475
0.0,0.4031,0.005,16000,0.37
0.0,0.51995,0.01,17000,0.485
0.0,0.49096,0.025,18000,0.455
0.0,0.49994,0.015,19000,0.465
0.0,0.51653,0.005,20000,0.48
0.0,0.43226,0.02,21000,0.395
0.0,0.49242,0.015,22000,0.455
0.0,0.45565,0.01,23000,0.42
0.0,0.48264,0.015,24000,0.445
0.0,0.47469,0.01,25000,0.44
0.0,0.52568,0.0,26000,0.49
0.0,0.446,0.01,27000,0.41
0.0,0.53317,0.03,28000,0.495
0.0,0.49339,0.015,29000,0.455
0.0,0.54384,0.01,30000,0.505
0.0,0.48751,0.025,31000,0.45
0.0,0.51808,-0.015,32000,0.48
0.0,0.48806,0.02,33000,0.45
0.0,0.50223,0.025,34000,0.465
0.0,0.50177,0.02,35000,0.465
0.0,0.52822,0.03,36000,0.49
0.0,0.53311,0.015,37000,0.495
0.0,0.52289,0.0,38000,0.485
0.0,0.47222,0.015,39000,0.435
0.0,0.55747,0.01,40000,0.52
0.0,0.46354,0.025,41000,0.425
0.0,0.50968,0.01,42000,0.47
0.0,0.58454,0.025,43000,0.545
0.0,0.52299,0.005,44000,0.485
0.0,0.50794,0.03,45000,0.47
0.0,0.51779,0.02,46000,0.48
0.0,0.504,0.025,47000,0.465
0.0,0.53473,0.01,48000,0.495
0.0,0.5134,0.02,49000,0.475
0.0,0.50327,0.02,50000,0.465
0.0,0.54691,0.025,51000,0.51
0.0,0.51217,0.025,52000,0.475
0.0,0.53397,0.02,53000,0.495
0.0,0.55418,0.02,54000,0.515
0.0,0.5533,0.03,55000,0.515
0.0,0.52772,0.02,56000,0.49
0.0,0.5482,0.02,57000,0.51
0.0,0.50758,0.015,58000,0.47
0.0,0.54962,0.02,59000,0.51
0.0,0.53366,0.01,60000,0.495
0.0,0.56417,0.03,61000,0.525
0.0,0.52839,0.015,62000,0.49
0.0,0.5581,0.035,63000,0.52
0.0,0.54837,0.02,64000,0.51
0.0,0.5477,0.02,65000,0.51
0.0,0.57484,0.02,66000,0.535
0.0,0.54356,0.015,67000,0.505
0.0,0.53932,0.025,68000,0.5
0.0,0.4785,0.02,69000,0.44
0.0,0.5595,0.025,70000,0.52
0.0,0.50336,0.015,71000,0.465
0.0,0.54161,0.02,72000,0.505
0.0,0.55913,0.03,73000,0.52
0.0,0.51368,0.025,74000,0.475
0.0,0.50268,0.055,75000,0.465
0.0,0.5134,0.025,76000,0.475
0.0,0.52267,0.025,77000,0.485
0.0,0.51921,0.045,78000,0.48
0.0,0.50231,0.03,79000,0.465
0.0,0.52792,0.035,80000,0.49
0.0,0.48785,0.025,81000,0.45
0.0,0.50866,0.015,82000,0.47
0.0,0.52341,0.02,83000,0.485
0.0,0.51821,0.02,84000,0.48
0.0,0.55856,0.02,85000,0.52
0.0,0.51352,0.03,86000,0.475
0.0,0.51511,0.025,87000,0.475
0.0,0.50233,0.04,88000,0.465
0.0,0.53986,0.025,89000,0.5
0.0,0.52541,0.035,90000,0.485
0.0,0.5027,0.03,91000,0.465
0.0,0.54301,0.03,92000,0.505
0.0,0.50359,0.035,93000,0.465
0.0,0.51437,0.025,94000,0.475
0.0,0.52861,0.025,95000,0.49
0.0,0.52788,0.035,96000,0.49
0.0,0.5194,0.03,97000,0.48
0.0,0.50966,0.035,98000,0.47
0.0,0.50339,0.035,99000,0.465
0.0,0.53608,0.045,100000,0.495
0.0,0.52479,0.025,101000,0.485
0.0,0.50072,0.035,102000,0.46
0.0,0.5201,0.025,103000,0.48
0.0,0.52121,0.03,104000,0.48
0.0,0.54511,0.025,105000,0.505
0.0,0.51,0.035,106000,0.47
0.0,0.5147,0.03,107000,0.475
