loss_train,avg_winning,avg_diff,avg_score,step_idx
0.0,0.214,0.019,0.19743,1000
0.0,0.219,0.018,0.20003,2000
0.0,0.219,0.021,0.19937,3000
0.0,0.208,0.022,0.18687,4000
0.0,0.2,0.018,0.17714,5000
0.0,0.198,0.02,0.17397,6000
0.0,0.2,0.022,0.1762,7000
0.0,0.2,0.025,0.17638,8000
0.0,0.21,0.023,0.18736,9000
0.0,0.206,0.017,0.18406,10000
0.0,0.202,0.025,0.17928,11000
0.0,0.2,0.02,0.17743,12000
0.0,0.199,0.021,0.17705,13000
0.0,0.21,0.026,0.18975,14000
0.0,0.216,0.018,0.19786,15000
0.0,0.212,0.021,0.19416,16000
0.0,0.233,0.022,0.21742,17000
0.0,0.227,0.023,0.21267,18000
0.0,0.24,0.015,0.22807,19000
0.0,0.25,0.017,0.24007,20000
0.0,0.284,0.012,0.27939,21000
0.0,0.281,0.023,0.27879,22000
0.0,0.269,0.011,0.26675,23000
0.0,0.26,0.012,0.25796,24000
0.0,0.256,0.02,0.25407,25000
0.0,0.242,0.018,0.24021,26000
0.0,0.263,0.022,0.26166,27000
0.0,0.239,0.022,0.2372,28000
0.0,0.233,0.03,0.23107,29000
0.0,0.236,0.026,0.2344,30000
0.0,0.196,0.023,0.19248,31000
0.0,0.146,0.025,0.14083,32000
0.0,0.127,0.03,0.12108,33000
0.0,0.118,0.026,0.11156,34000
0.0,0.095,0.017,0.08889,35000
0.0,0.107,0.031,0.10064,36000
0.0,0.09,0.023,0.08454,37000
0.0,0.095,0.038,0.08961,38000
0.0,0.081,0.036,0.07928,39000
0.0,0.098,0.031,0.09661,40000
0.0,0.1,0.041,0.10231,41000
0.0,0.121,0.03,0.12403,42000
0.0,0.117,0.027,0.12065,43000
0.0,0.126,0.038,0.12928,44000
0.0,0.138,0.023,0.14278,45000
0.0,0.148,0.023,0.15436,46000
0.0,0.163,0.033,0.17005,47000
0.0,0.176,0.029,0.18249,48000
0.0,0.186,0.03,0.19363,49000
