avg_score,step_idx,avg_winning,avg_diff,loss_train
0.21775,1000,0.232,0.021,0.0
0.22614,2000,0.241,0.018,0.0
0.23789,3000,0.251,0.012,0.0
0.22155,4000,0.236,0.021,0.0
0.23826,5000,0.251,0.02,0.0
0.25313,6000,0.266,0.019,0.0
0.23255,7000,0.247,0.02,0.0
0.23561,8000,0.25,0.015,0.0
0.23703,9000,0.252,0.015,0.0
0.2582,10000,0.272,0.021,0.0
0.2549,11000,0.268,0.022,0.0
0.27598,12000,0.287,0.011,0.0
0.26392,13000,0.274,0.023,0.0
0.26441,14000,0.275,0.017,0.0
0.2621,15000,0.273,0.019,0.0
0.26434,16000,0.276,0.009,0.0
0.26382,17000,0.275,0.017,0.0
0.26537,18000,0.275,0.018,0.0
0.25615,19000,0.264,0.008,0.0
0.27491,20000,0.282,0.013,0.0
0.26413,21000,0.271,0.018,0.0
0.28464,22000,0.29,0.009,0.0
0.29535,23000,0.3,0.021,0.0
0.28435,24000,0.288,0.008,0.0
0.28147,25000,0.284,0.024,0.0
0.25812,26000,0.261,0.011,0.0
0.28206,27000,0.285,0.015,0.0
0.30067,28000,0.304,0.015,0.0
0.26702,29000,0.272,0.012,0.0
0.29729,30000,0.301,0.011,0.0
0.3772,31000,0.37,0.011,0.0
0.43171,32000,0.418,0.023,0.0
0.43883,33000,0.424,0.014,0.0
0.44848,34000,0.433,0.018,0.0
0.4369,35000,0.422,0.013,0.0
0.43809,36000,0.424,0.013,0.0
0.44215,37000,0.427,0.014,0.0
0.445,38000,0.43,0.011,0.0
0.4542,39000,0.439,0.025,0.0
0.44366,40000,0.429,0.015,0.0
0.45605,41000,0.44,0.012,0.0
0.4564,42000,0.441,0.02,0.0
0.44955,43000,0.435,0.018,0.0
0.46838,44000,0.452,0.012,0.0
0.47086,45000,0.454,0.016,0.0
0.45627,46000,0.44,0.018,0.0
0.46825,47000,0.452,0.016,0.0
0.46983,48000,0.454,0.018,0.0
0.47718,49000,0.462,0.018,0.0
0.47266,50000,0.457,0.012,0.0
0.48271,51000,0.466,0.013,0.0
0.48728,52000,0.47,0.014,0.0
0.48028,53000,0.464,0.011,0.0
0.49154,54000,0.475,0.016,0.0
0.49267,55000,0.476,0.008,0.0
0.48224,56000,0.465,0.016,0.0
0.49159,57000,0.473,0.016,0.0
0.50199,58000,0.483,0.02,0.0
0.50978,59000,0.492,0.007,0.0
0.50116,60000,0.484,0.016,0.0
0.49281,61000,0.476,0.009,0.0
0.48863,62000,0.472,0.011,0.0
0.49725,63000,0.482,0.015,0.0
0.48118,64000,0.467,0.013,0.0
0.47702,65000,0.463,0.008,0.0
0.4961,66000,0.482,0.013,0.0
0.50867,67000,0.495,0.011,0.0
0.51445,68000,0.499,0.014,0.0
0.52241,69000,0.505,0.012,0.0
0.50851,70000,0.491,0.021,0.0
0.51825,71000,0.501,0.018,0.0
0.53091,72000,0.513,0.009,0.0
0.53563,73000,0.517,0.01,0.0
0.53512,74000,0.516,0.017,0.0
0.54306,75000,0.523,0.017,0.0
0.54362,76000,0.524,0.02,0.0
0.54648,77000,0.528,0.02,0.0
0.52856,78000,0.511,0.014,0.0
0.54687,79000,0.528,0.021,0.0
0.53762,80000,0.52,0.01,0.0
0.52675,81000,0.51,0.003,0.0
0.54036,82000,0.523,0.016,0.0
0.52084,83000,0.504,0.008,0.0
0.54529,84000,0.527,0.022,0.0
0.5539,85000,0.536,0.013,0.0
0.55358,86000,0.536,0.01,0.0
0.5288,87000,0.51,0.014,0.0
0.53987,88000,0.521,0.013,0.0
0.55295,89000,0.535,0.013,0.0
0.54283,90000,0.525,0.02,0.0
0.56901,91000,0.549,0.016,0.0
0.55947,92000,0.54,0.01,0.0
0.5516,93000,0.531,0.02,0.0
0.55703,94000,0.537,0.017,0.0
0.54807,95000,0.528,0.009,0.0
0.56233,96000,0.542,0.016,0.0
0.57001,97000,0.549,0.013,0.0
0.5677,98000,0.547,0.013,0.0
0.55928,99000,0.539,0.019,0.0
0.55403,100000,0.534,0.016,0.0
0.55352,101000,0.534,0.019,0.0
0.55396,102000,0.535,0.018,0.0
0.55682,103000,0.537,0.022,0.0
0.55998,104000,0.541,0.02,0.0
0.55559,105000,0.537,0.018,0.0
0.56238,106000,0.543,0.018,0.0
0.57178,107000,0.551,0.018,0.0
0.54827,108000,0.529,0.022,0.0
0.5519,109000,0.532,0.016,0.0
0.55834,110000,0.537,0.018,0.0
0.54995,111000,0.53,0.019,0.0
0.56665,112000,0.546,0.014,0.0
0.53814,113000,0.518,0.012,0.0
0.56882,114000,0.549,0.017,0.0
0.55846,115000,0.538,0.02,0.0
0.55779,116000,0.538,0.028,0.0
0.56073,117000,0.541,0.017,0.0
0.56947,118000,0.551,0.02,0.0
0.56831,119000,0.55,0.015,0.0
0.56895,120000,0.549,0.022,0.0
0.56331,121000,0.543,0.022,0.0
0.57223,122000,0.55,0.013,0.0
0.55848,123000,0.537,0.019,0.0
0.5734,124000,0.553,0.017,0.0
0.56826,125000,0.547,0.011,0.0
0.56698,126000,0.548,0.015,0.0
0.57593,127000,0.555,0.023,0.0
0.58311,128000,0.562,0.014,0.0
0.58632,129000,0.565,0.021,0.0
0.58783,130000,0.566,0.014,0.0
0.58938,131000,0.568,0.021,0.0
0.56091,132000,0.541,0.011,0.0
0.57735,133000,0.558,0.021,0.0
0.56959,134000,0.55,0.021,0.0
0.57797,135000,0.559,0.016,0.0
0.57254,136000,0.554,0.019,0.0
0.56622,137000,0.546,0.013,0.0
0.56533,138000,0.545,0.02,0.0
0.58639,139000,0.566,0.019,0.0
0.58146,140000,0.561,0.019,0.0
0.5849,141000,0.565,0.022,0.0
0.58876,142000,0.569,0.02,0.0
0.59185,143000,0.573,0.016,0.0
0.56397,144000,0.546,0.019,0.0
0.56431,145000,0.547,0.016,0.0
0.58112,146000,0.562,0.013,0.0
0.57771,147000,0.559,0.023,0.0
0.57365,148000,0.556,0.014,0.0
0.58745,149000,0.569,0.016,0.0
0.5865,150000,0.568,0.024,0.0
0.5746,151000,0.557,0.018,0.0
0.57153,152000,0.554,0.016,0.0
0.58311,153000,0.563,0.012,0.0
0.57359,154000,0.554,0.02,0.0
0.58112,155000,0.56,0.013,0.0
0.58868,156000,0.569,0.01,0.0
0.56628,157000,0.546,0.016,0.0
0.58092,158000,0.561,0.009,0.0
0.551,159000,0.532,0.014,0.0
0.57548,160000,0.557,0.012,0.0
0.58272,161000,0.564,0.017,0.0
0.59367,162000,0.574,0.015,0.0
0.58186,163000,0.564,0.017,0.0
0.58679,164000,0.569,0.022,0.0
0.58359,165000,0.565,0.016,0.0
0.58411,166000,0.566,0.015,0.0
0.57066,167000,0.552,0.014,0.0
0.58225,168000,0.562,0.015,0.0
0.59661,169000,0.576,0.016,0.0
0.59198,170000,0.572,0.017,0.0
0.60164,171000,0.582,0.015,0.0
0.59811,172000,0.579,0.012,0.0
0.6107,173000,0.59,0.016,0.0
0.60179,174000,0.581,0.016,0.0
0.59704,175000,0.575,0.012,0.0
0.59494,176000,0.575,0.015,0.0
