avg_diff,step_idx,avg_score,avg_winning,loss_train
0.024,1000,0.20752,0.221,0.0
0.017,2000,0.2631,0.269,0.0
0.013,3000,0.26773,0.274,0.0
0.013,4000,0.27654,0.281,0.0
0.016,5000,0.26176,0.266,0.0
0.015,6000,0.25316,0.259,0.0
0.013,7000,0.28133,0.285,0.0
0.016,8000,0.29282,0.296,0.0
0.018,9000,0.28312,0.286,0.0
0.017,10000,0.32301,0.323,0.0
0.012,11000,0.32964,0.327,0.0
0.008,12000,0.35367,0.349,0.0
0.015,13000,0.39196,0.382,0.0
0.02,14000,0.39687,0.387,0.0
0.019,15000,0.40731,0.395,0.0
0.015,16000,0.42393,0.414,0.0
0.015,17000,0.41497,0.409,0.0
0.017,18000,0.41293,0.406,0.0
0.015,19000,0.42626,0.419,0.0
0.012,20000,0.41988,0.411,0.0
0.014,21000,0.43485,0.422,0.0
0.016,22000,0.45702,0.443,0.0
0.011,23000,0.44824,0.436,0.0
0.017,24000,0.45146,0.438,0.0
0.019,25000,0.44664,0.433,0.0
0.009,26000,0.44872,0.436,0.0
0.008,27000,0.45086,0.439,0.0
0.006,28000,0.46214,0.45,0.0
0.014,29000,0.47147,0.458,0.0
0.01,30000,0.48323,0.469,0.0
0.016,31000,0.47358,0.459,0.0
0.013,32000,0.47902,0.465,0.0
0.008,33000,0.48234,0.467,0.0
0.006,34000,0.48623,0.471,0.0
0.008,35000,0.48439,0.468,0.0
0.014,36000,0.47688,0.46,0.0
0.003,37000,0.49287,0.476,0.0
0.013,38000,0.49888,0.483,0.0
0.009,39000,0.48687,0.474,0.0
0.007,40000,0.49319,0.479,0.0
0.016,41000,0.46783,0.456,0.0
0.015,42000,0.47407,0.461,0.0
0.008,43000,0.50547,0.49,0.0
0.009,44000,0.48748,0.473,0.0
0.012,45000,0.51223,0.497,0.0
0.011,46000,0.49356,0.478,0.0
0.007,47000,0.51595,0.499,0.0
0.014,48000,0.50384,0.488,0.0
0.009,49000,0.49812,0.485,0.0
0.008,50000,0.52921,0.512,0.0
0.012,51000,0.51011,0.492,0.0
0.01,52000,0.51334,0.495,0.0
0.006,53000,0.51182,0.493,0.0
0.01,54000,0.53904,0.519,0.0
0.011,55000,0.52418,0.505,0.0
0.02,56000,0.519,0.501,0.0
0.01,57000,0.512,0.494,0.0
0.017,58000,0.51932,0.503,0.0
0.014,59000,0.53196,0.512,0.0
0.008,60000,0.53034,0.511,0.0
0.011,61000,0.53584,0.517,0.0
0.01,62000,0.52376,0.507,0.0
0.017,63000,0.52301,0.506,0.0
0.012,64000,0.53018,0.511,0.0
0.017,65000,0.52804,0.51,0.0
0.012,66000,0.53585,0.516,0.0
0.013,67000,0.51516,0.495,0.0
0.017,68000,0.53502,0.515,0.0
0.012,69000,nan,0.523,0.0
0.012,70000,0.52832,0.509,0.0
0.013,71000,0.53005,0.51,0.0
0.009,72000,0.54028,0.521,0.0
0.011,73000,0.5217,0.503,0.0
0.012,74000,0.5438,0.524,0.0
0.009,75000,0.53155,0.512,0.0
0.011,76000,0.53546,0.517,0.0
0.019,77000,0.51691,0.498,0.0
0.013,78000,0.54218,0.521,0.0
0.008,79000,0.5504,0.531,0.0
0.017,80000,nan,0.528,0.0
0.009,81000,0.54621,0.529,0.0
0.009,82000,0.56013,0.542,0.0
0.014,83000,nan,0.52,0.0
0.013,84000,0.5619,0.542,0.0
0.015,85000,0.54526,0.526,0.0
