loss_train,avg_diff,avg_score,step_idx,avg_winning
0.0,0.02,0.23598,1000,0.247
0.0,0.016,0.26487,2000,0.272
0.0,0.019,0.2618,3000,0.267
0.0,0.023,0.29298,4000,0.296
0.0,0.013,0.27974,5000,0.284
0.0,0.015,0.28039,6000,0.284
0.0,0.016,0.27952,7000,0.283
0.0,0.014,0.29517,8000,0.297
0.0,0.011,0.33932,9000,0.336
0.0,0.016,0.37267,10000,0.366
0.0,0.025,0.3856,11000,0.377
0.0,0.013,0.38451,12000,0.375
0.0,0.012,0.40447,13000,0.394
0.0,0.019,0.40701,14000,0.398
0.0,0.017,0.40662,15000,0.398
0.0,0.016,0.3976,16000,0.388
0.0,0.018,0.41788,17000,0.406
0.0,0.023,0.43127,18000,0.421
0.0,0.019,0.43057,19000,0.421
0.0,0.019,0.45169,20000,0.441
0.0,0.019,0.45593,21000,0.445
0.0,0.014,0.4365,22000,0.427
0.0,0.016,0.43677,23000,0.426
0.0,0.016,0.43793,24000,0.428
0.0,0.012,0.42087,25000,0.411
0.0,0.01,0.42051,26000,0.41
0.0,0.014,0.45136,27000,0.439
0.0,0.016,0.4465,28000,0.435
0.0,0.021,0.43441,29000,0.422
0.0,0.018,0.44154,30000,0.431
0.0,0.013,0.44748,31000,0.436
0.0,0.018,0.45483,32000,0.443
0.0,0.019,0.45335,33000,0.44
0.0,0.012,0.47506,34000,0.461
0.0,0.009,0.45605,35000,0.441
0.0,0.014,0.4648,36000,0.449
0.0,0.012,0.45562,37000,0.441
0.0,0.015,0.47787,38000,0.461
0.0,0.013,0.46882,39000,0.453
0.0,0.016,0.4734,40000,0.458
0.0,0.017,0.47394,41000,0.459
0.0,0.017,0.47565,42000,0.462
0.0,0.016,0.46317,43000,0.45
0.0,0.012,0.46962,44000,0.458
0.0,0.009,0.47093,45000,0.459
0.0,0.013,0.48392,46000,0.471
0.0,0.016,0.49359,47000,0.479
0.0,0.011,0.5003,48000,0.485
0.0,0.011,0.4749,49000,0.458
0.0,0.013,0.48562,50000,0.469
0.0,0.012,0.47227,51000,0.458
0.0,0.011,0.46478,52000,0.449
0.0,0.012,0.49077,53000,0.474
0.0,0.014,0.50945,54000,0.492
0.0,0.014,0.4901,55000,0.473
0.0,0.013,0.48277,56000,0.467
0.0,0.014,0.50794,57000,0.491
0.0,0.013,0.51591,58000,0.5
0.0,0.019,0.50042,59000,0.483
0.0,0.011,0.5049,60000,0.488
0.0,0.014,0.51828,61000,0.503
0.0,0.016,0.5224,62000,0.506
0.0,0.011,0.51987,63000,0.503
0.0,0.015,0.52079,64000,0.504
0.0,0.023,0.51144,65000,0.495
0.0,0.016,0.51925,66000,0.504
0.0,0.016,0.53325,67000,0.517
0.0,0.009,0.52693,68000,0.511
0.0,0.01,0.53531,69000,0.519
0.0,0.009,0.53934,70000,0.524
0.0,0.011,0.54606,71000,0.529
0.0,0.014,0.52653,72000,0.508
0.0,0.014,0.52982,73000,0.511
0.0,0.017,0.54796,74000,0.528
0.0,0.014,0.55025,75000,0.531
0.0,0.013,0.54587,76000,0.526
0.0,0.015,0.53872,77000,0.52
0.0,0.017,0.52744,78000,0.508
0.0,0.015,0.53196,79000,0.512
0.0,0.016,0.53477,80000,0.516
0.0,0.014,0.55175,81000,0.534
0.0,0.01,0.5645,82000,0.546
0.0,0.011,0.5424,83000,0.525
0.0,0.015,0.53348,84000,0.516
0.0,0.008,0.55348,85000,0.536
0.0,0.011,0.54297,86000,0.525
0.0,0.015,0.53538,87000,0.517
0.0,0.016,0.55533,88000,0.537
0.0,0.011,0.56486,89000,0.546
0.0,0.008,0.55056,90000,0.531
0.0,0.017,0.5542,91000,0.536
0.0,0.016,0.55255,92000,0.534
0.0,0.017,0.55382,93000,0.535
0.0,0.019,0.52755,94000,0.51
0.0,0.016,0.55659,95000,0.538
0.0,0.013,0.55126,96000,0.532
0.0,0.016,0.53859,97000,0.521
0.0,0.013,0.55716,98000,0.538
0.0,0.015,0.54445,99000,0.525
0.0,0.015,0.54995,100000,0.53
0.0,0.02,0.53055,101000,0.511
0.0,0.02,0.53108,102000,0.513
0.0,0.014,0.5504,103000,0.532
0.0,0.014,0.55888,104000,0.541
0.0,0.014,0.55289,105000,0.535
0.0,0.013,0.54751,106000,0.529
0.0,0.013,0.53747,107000,0.518
0.0,0.018,0.55315,108000,0.534
0.0,0.019,0.56147,109000,0.542
0.0,0.019,0.55319,110000,0.533
0.0,0.01,0.55927,111000,0.538
0.0,0.015,0.56656,112000,0.545
0.0,0.015,0.56102,113000,0.54
0.0,0.013,0.54859,114000,0.528
0.0,0.017,0.56861,115000,0.547
0.0,0.015,0.56928,116000,0.547
0.0,0.011,0.55662,117000,0.536
0.0,0.012,0.56093,118000,0.54
0.0,0.016,0.56113,119000,0.54
0.0,0.01,0.54868,120000,0.529
0.0,0.015,0.54518,121000,0.526
0.0,0.015,0.56329,122000,0.542
0.0,0.015,0.56351,123000,0.543
0.0,0.02,0.55434,124000,0.535
0.0,0.01,0.56482,125000,0.544
0.0,0.014,0.55158,126000,0.533
0.0,0.019,0.57134,127000,0.551
0.0,0.013,0.55928,128000,0.54
0.0,0.017,0.54251,129000,0.524
0.0,0.014,0.55625,130000,0.537
0.0,0.014,0.57214,131000,0.553
0.0,0.02,0.55724,132000,0.538
0.0,0.019,0.56159,133000,0.542
0.0,0.022,0.56451,134000,0.544
0.0,0.009,0.56636,135000,0.546
0.0,0.018,0.55426,136000,0.533
0.0,0.016,0.55334,137000,0.532
0.0,0.017,0.56551,138000,0.544
0.0,0.02,0.56672,139000,0.545
0.0,0.013,0.56474,140000,0.543
0.0,0.014,0.56054,141000,0.54
0.0,0.005,0.56287,142000,0.544
0.0,0.018,0.55896,143000,0.539
0.0,0.016,0.56425,144000,0.544
0.0,0.014,0.55928,145000,0.539
0.0,0.016,0.56528,146000,0.545
0.0,0.018,0.55655,147000,0.537
0.0,0.01,0.56043,148000,0.542
0.0,0.01,0.54628,149000,0.527
0.0,0.012,0.56432,150000,0.544
0.0,0.012,0.56664,151000,0.546
0.0,0.013,0.54751,152000,0.528
0.0,0.015,0.5739,153000,0.554
0.0,0.008,0.55464,154000,0.535
0.0,0.015,0.55789,155000,0.538
0.0,0.015,0.55156,156000,0.531
0.0,0.014,0.57739,157000,0.557
0.0,0.013,0.56932,158000,0.548
0.0,0.013,0.57493,159000,0.553
0.0,0.02,0.55777,160000,0.537
0.0,0.014,0.55662,161000,0.537
0.0,0.02,0.55878,162000,0.54
0.0,0.017,0.55674,163000,0.537
0.0,0.01,0.57184,164000,0.552
0.0,0.011,0.55894,165000,0.539
0.0,0.014,0.57545,166000,0.556
0.0,0.015,0.58074,167000,0.56
0.0,0.019,0.56492,168000,0.544
0.0,0.014,0.56926,169000,0.55
0.0,0.017,0.58728,170000,0.567
0.0,0.016,0.57666,171000,0.557
0.0,0.017,0.58944,172000,0.572
0.0,0.016,0.55374,173000,0.535
0.0,0.014,0.57817,174000,0.557
0.0,0.013,0.58262,175000,0.562
0.0,0.018,0.60234,176000,0.58
0.0,0.017,0.58517,177000,0.563
