loss_train,avg_diff,avg_score,step_idx,avg_winning
0.0,0.024,0.21255,1000,0.229
0.0,0.013,0.21189,2000,0.228
0.0,0.019,0.20188,3000,0.22
0.0,0.018,0.19374,4000,0.214
0.0,0.014,0.20311,5000,0.221
0.0,0.022,0.20704,6000,0.225
0.0,0.015,0.20719,7000,0.224
0.0,0.016,0.23806,8000,0.252
0.0,0.015,0.23769,9000,0.25
0.0,0.019,0.2405,10000,0.254
0.0,0.023,0.23401,11000,0.249
0.0,0.019,0.2587,12000,0.271
0.0,0.02,0.24486,13000,0.258
0.0,0.017,0.25891,14000,0.272
0.0,0.013,0.25331,15000,0.265
0.0,0.009,0.24721,16000,0.26
0.0,0.015,0.2467,17000,0.261
0.0,0.015,0.24685,18000,0.259
0.0,0.015,nan,19000,0.273
0.0,0.014,nan,20000,0.263
0.0,0.019,0.25855,21000,0.267
0.0,0.01,0.28265,22000,0.288
0.0,0.013,0.2958,23000,0.299
0.0,0.014,0.29942,24000,0.301
0.0,0.015,0.30204,25000,0.304
0.0,0.016,0.29479,26000,0.298
0.0,0.016,0.30364,27000,0.306
0.0,0.016,0.29594,28000,0.299
0.0,0.015,0.30971,29000,0.313
0.0,0.016,0.30214,30000,0.305
0.0,0.016,0.28642,31000,0.292
0.0,0.013,0.2887,32000,0.292
0.0,0.012,0.29763,33000,0.301
0.0,0.009,0.30614,34000,0.309
0.0,0.015,0.29488,35000,0.298
0.0,0.015,0.30703,36000,0.309
0.0,0.012,0.32528,37000,0.325
0.0,0.012,0.34692,38000,0.345
0.0,0.006,0.4114,39000,0.401
0.0,0.014,0.42567,40000,0.415
0.0,0.015,0.45299,41000,0.44
0.0,0.015,0.45707,42000,0.444
0.0,0.015,0.42789,43000,0.418
0.0,0.013,0.45766,44000,0.446
0.0,0.009,0.45676,45000,0.444
0.0,0.011,0.45718,46000,0.444
0.0,0.017,0.45992,47000,0.446
0.0,0.01,0.47676,48000,0.463
0.0,0.014,0.47629,49000,0.462
0.0,0.013,0.4737,50000,0.459
0.0,0.013,0.46414,51000,0.451
0.0,0.013,0.47562,52000,0.46
0.0,0.008,0.47446,53000,0.459
0.0,0.012,0.46318,54000,0.448
0.0,0.011,0.48856,55000,0.472
0.0,0.01,0.48432,56000,0.469
0.0,0.005,0.49316,57000,0.477
0.0,0.008,0.51139,58000,0.493
0.0,0.005,0.50256,59000,0.484
0.0,0.004,0.50996,60000,0.492
0.0,0.009,0.51615,61000,0.498
0.0,0.007,0.51615,62000,0.498
0.0,0.003,0.50108,63000,0.483
0.0,0.01,0.521,64000,0.503
0.0,0.008,0.50573,65000,0.488
0.0,0.007,0.50473,66000,0.486
0.0,0.008,0.51117,67000,0.493
0.0,0.013,0.51511,68000,0.496
0.0,0.01,0.51308,69000,0.494
0.0,0.013,0.51852,70000,0.499
0.0,0.008,0.5087,71000,0.49
0.0,0.006,0.51054,72000,0.492
0.0,0.006,0.51955,73000,0.5
0.0,0.011,0.53026,74000,0.512
0.0,0.009,0.52707,75000,0.51
0.0,0.013,0.517,76000,0.499
0.0,0.01,0.51223,77000,0.494
0.0,0.002,0.53989,78000,0.521
0.0,0.01,0.53605,79000,0.517
0.0,0.012,0.52819,80000,0.509
0.0,0.01,0.52093,81000,0.502
0.0,0.011,0.50353,82000,0.485
0.0,0.004,0.51648,83000,0.497
0.0,0.012,0.51844,84000,0.499
0.0,0.014,0.53903,85000,0.519
0.0,0.008,0.51419,86000,0.495
0.0,0.007,0.53416,87000,0.515
0.0,0.015,0.52053,88000,0.501
0.0,0.011,0.52818,89000,0.508
0.0,0.015,0.53301,90000,0.512
0.0,0.017,0.52704,91000,0.507
0.0,0.01,0.54116,92000,0.521
0.0,0.013,0.52594,93000,0.506
0.0,0.012,0.50499,94000,0.486
0.0,0.019,0.51025,95000,0.491
0.0,0.006,0.54359,96000,0.523
0.0,0.01,0.52791,97000,0.508
0.0,0.017,0.51722,98000,0.498
0.0,0.012,0.51741,99000,0.497
0.0,0.012,0.50295,100000,0.483
0.0,0.012,0.52267,101000,0.503
0.0,0.012,0.50715,102000,0.488
0.0,0.015,0.521,103000,0.503
0.0,0.01,0.51942,104000,0.5
0.0,0.016,0.51897,105000,0.499
0.0,0.009,0.51879,106000,0.499
0.0,0.015,0.53443,107000,0.514
0.0,0.016,0.54298,108000,0.523
0.0,0.009,0.52922,109000,0.509
0.0,0.011,0.52256,110000,0.503
0.0,0.01,0.52922,111000,0.509
0.0,0.01,0.51894,112000,0.499
0.0,0.009,0.52357,113000,0.504
0.0,0.013,0.50345,114000,0.484
0.0,0.014,0.51998,115000,0.5
0.0,0.016,0.52079,116000,0.501
0.0,0.011,0.52574,117000,0.506
0.0,0.01,0.53939,118000,0.52
0.0,0.019,0.54756,119000,0.528
0.0,0.012,0.53148,120000,0.512
0.0,0.016,0.54571,121000,0.526
0.0,0.013,0.53274,122000,0.513
0.0,0.017,0.51495,123000,0.496
0.0,0.012,0.53,124000,0.511
0.0,0.008,0.53316,125000,0.513
0.0,0.022,0.52655,126000,0.509
0.0,0.015,0.54673,127000,0.527
0.0,0.015,0.53486,128000,0.516
0.0,0.012,0.54589,129000,0.526
0.0,0.01,0.5342,130000,0.515
0.0,0.018,0.53304,131000,0.513
0.0,0.015,0.55421,132000,0.534
0.0,0.015,0.54455,133000,0.524
0.0,0.023,0.52832,134000,0.508
0.0,0.021,0.54593,135000,0.525
0.0,0.008,0.5566,136000,0.536
0.0,0.017,0.54527,137000,0.525
0.0,0.012,0.54447,138000,0.524
0.0,0.015,0.54683,139000,0.527
0.0,0.017,0.52131,140000,0.504
0.0,0.01,0.58002,141000,0.56
0.0,0.016,0.55145,142000,0.532
