avg_score,loss_train,avg_diff,step_idx,avg_winning
0.28651,0.0,0.026,1000,0.263
0.26728,0.0,0.029,2000,0.246
0.26037,0.0,0.021,3000,0.241
0.22778,0.0,0.023,4000,0.21
0.21788,0.0,0.023,5000,0.201
0.23424,0.0,0.028,6000,0.217
0.22592,0.0,0.027,7000,0.209
0.22111,0.0,0.022,8000,0.205
0.22922,0.0,0.022,9000,0.213
0.22019,0.0,0.019,10000,0.204
0.21939,0.0,0.022,11000,0.204
0.21543,0.0,0.022,12000,0.2
0.22433,0.0,0.027,13000,0.208
0.22836,0.0,0.022,14000,0.211
0.23394,0.0,0.021,15000,0.216
0.25116,0.0,0.021,16000,0.231
0.26842,0.0,0.025,17000,0.247
0.26092,0.0,0.025,18000,0.239
0.27832,0.0,0.018,19000,0.255
0.26989,0.0,0.029,20000,0.247
0.27336,0.0,0.029,21000,0.25
0.26575,0.0,0.02,22000,0.243
0.26353,0.0,0.026,23000,0.241
0.27951,0.0,0.022,24000,0.257
0.25444,0.0,0.021,25000,0.232
0.26705,0.0,0.021,26000,0.243
0.26603,0.0,0.023,27000,0.242
0.26895,0.0,0.022,28000,0.244
0.28825,0.0,0.02,29000,0.263
0.26735,0.0,0.018,30000,0.242
0.2724,0.0,0.024,31000,0.246
0.26424,0.0,0.024,32000,0.238
0.27603,0.0,0.021,33000,0.249
0.26285,0.0,0.024,34000,0.237
0.26831,0.0,0.022,35000,0.242
0.27258,0.0,0.022,36000,0.247
0.26354,0.0,0.021,37000,0.238
0.27686,0.0,0.02,38000,0.252
0.27077,0.0,0.018,39000,0.245
0.26602,0.0,0.018,40000,0.24
0.27228,0.0,0.019,41000,0.246
0.27458,0.0,0.022,42000,0.249
0.26666,0.0,0.021,43000,0.241
0.2596,0.0,0.023,44000,0.235
0.2606,0.0,0.021,45000,0.235
0.26628,0.0,0.019,46000,0.241
0.24189,0.0,0.026,47000,0.216
0.26386,0.0,0.018,48000,0.238
0.26388,0.0,0.016,49000,0.238
0.27284,0.0,0.026,50000,0.248
0.27361,0.0,0.02,51000,0.249
0.26621,0.0,0.024,52000,0.24
0.26794,0.0,0.024,53000,0.241
0.25096,0.0,0.023,54000,0.223
0.26154,0.0,0.022,55000,0.234
0.26399,0.0,0.022,56000,0.236
0.26569,0.0,0.018,57000,0.238
0.25747,0.0,0.025,58000,0.23
0.25991,0.0,0.019,59000,0.233
0.25859,0.0,0.024,60000,0.232
0.25523,0.0,0.025,61000,0.229
0.2562,0.0,0.02,62000,0.229
0.26286,0.0,0.027,63000,0.236
0.25353,0.0,0.027,64000,0.227
0.26368,0.0,0.023,65000,0.237
0.26044,0.0,0.029,66000,0.232
0.24968,0.0,0.023,67000,0.223
0.26361,0.0,0.029,68000,0.236
0.24431,0.0,0.026,69000,0.216
