loss_train,step_idx,avg_diff,avg_winning,avg_score
0.0,1000,0.02,0.26,0.28601
0.0,2000,0.019,0.259,0.28404
0.0,3000,0.023,0.263,0.28725
0.0,4000,0.02,0.241,0.26309
0.0,5000,0.023,0.233,0.25316
0.0,6000,0.018,0.246,0.26663
0.0,7000,0.025,0.243,0.2632
0.0,8000,0.016,0.234,0.25304
0.0,9000,0.023,0.23,0.2497
0.0,10000,0.021,0.246,0.2671
0.0,11000,0.018,0.246,0.26701
0.0,12000,0.025,0.242,0.26266
0.0,13000,0.023,0.232,0.25266
0.0,14000,0.021,0.244,0.26448
0.0,15000,0.019,0.244,0.2637
0.0,16000,0.021,0.236,0.25542
0.0,17000,0.016,0.243,0.26322
0.0,18000,0.018,0.244,0.2642
0.0,19000,0.015,0.252,0.27298
0.0,20000,0.015,0.237,0.25932
0.0,21000,0.024,0.247,0.26983
0.0,22000,0.023,0.239,0.26177
0.0,23000,0.027,0.239,0.26306
0.0,24000,0.032,0.233,0.25647
0.0,25000,0.021,0.246,0.26918
0.0,26000,0.019,0.225,0.2473
0.0,27000,0.025,0.245,0.26678
0.0,28000,0.016,0.247,0.26976
0.0,29000,0.02,0.247,0.271
0.0,30000,0.024,0.249,0.27094
0.0,31000,0.028,0.241,0.26358
0.0,32000,0.023,0.234,0.25551
0.0,33000,0.028,0.232,0.25209
0.0,34000,0.024,0.226,0.24678
0.0,35000,0.025,0.229,0.25024
0.0,36000,0.025,0.225,0.24534
0.0,37000,0.025,0.222,0.24229
0.0,38000,0.021,0.227,0.24917
0.0,39000,0.021,0.233,0.25564
0.0,40000,0.027,0.226,0.24901
0.0,41000,0.024,0.233,0.25675
0.0,42000,0.019,0.234,0.25743
0.0,43000,0.018,0.242,0.26487
0.0,44000,0.022,0.234,0.25727
0.0,45000,0.022,0.236,0.25974
0.0,46000,0.024,0.233,0.25689
0.0,47000,0.03,0.238,0.2608
0.0,48000,0.029,0.239,0.26168
0.0,49000,0.019,0.252,0.27382
0.0,50000,0.023,0.226,0.24855
0.0,51000,0.024,0.241,0.26366
0.0,52000,0.02,0.24,0.26447
0.0,53000,0.023,0.239,0.26406
0.0,54000,0.023,0.233,0.25844
0.0,55000,0.022,0.233,0.25958
0.0,56000,0.019,0.235,0.26223
0.0,57000,0.02,0.228,0.25413
0.0,58000,0.023,0.246,0.27102
0.0,59000,0.022,0.236,0.26018
0.0,60000,0.033,0.241,0.26415
0.0,61000,0.021,0.241,0.26373
0.0,62000,0.024,0.245,0.26698
0.0,63000,0.021,0.238,0.26078
0.0,64000,0.018,0.239,0.26278
0.0,65000,0.02,0.233,0.25685
0.0,66000,0.02,0.244,0.2696
0.0,67000,0.024,0.219,0.24531
0.0,68000,0.015,0.246,0.2736
0.0,69000,0.026,0.232,0.25823
0.0,70000,0.021,0.231,0.2568
0.0,71000,0.024,0.221,0.24525
0.0,72000,0.028,0.225,0.24928
0.0,73000,0.024,0.233,0.25879
0.0,74000,0.021,0.23,0.25346
0.0,75000,0.021,0.233,0.25704
0.0,76000,0.021,0.234,0.2574
0.0,77000,0.024,0.233,0.25694
0.0,78000,0.02,0.226,0.24936
0.0,79000,0.019,0.231,0.25367
0.0,80000,0.025,0.261,0.28391
0.0,81000,0.02,0.272,0.29515
0.0,82000,0.024,0.283,0.30597
0.0,83000,0.024,0.294,0.31775
0.0,84000,0.02,0.366,0.38753
0.0,85000,0.018,0.377,0.39911
0.0,86000,0.021,0.382,0.40467
0.0,87000,0.025,0.369,0.39042
0.0,88000,0.016,0.369,0.38999
0.0,89000,0.017,0.37,0.39095
0.0,90000,0.019,0.372,0.39313
0.0,91000,0.017,0.388,0.40784
0.0,92000,0.024,0.374,0.39265
0.0,93000,0.02,0.366,0.38443
0.0,94000,0.02,0.368,0.38481
0.0,95000,0.016,0.374,0.39064
0.0,96000,0.021,0.369,0.38572
0.0,97000,0.019,0.371,0.3867
0.0,98000,0.018,0.372,0.388
0.0,99000,0.017,0.378,0.39514
0.0,100000,0.019,0.387,0.40455
0.0,101000,0.022,0.373,0.39077
0.0,102000,0.024,0.384,0.40097
0.0,103000,0.018,0.376,0.39359
0.0,104000,0.022,0.379,0.39726
0.0,105000,0.02,0.399,0.4175
0.0,106000,0.02,0.401,0.41959
0.0,107000,0.015,0.397,0.41575
0.0,108000,0.02,0.404,0.4226
0.0,109000,0.015,0.402,0.42063
0.0,110000,0.015,0.399,0.41706
0.0,111000,0.019,0.406,0.42228
0.0,112000,0.021,0.389,0.40434
0.0,113000,0.021,0.404,0.42101
0.0,114000,0.02,0.414,0.43147
0.0,115000,0.02,0.402,0.41908
0.0,116000,0.019,0.404,0.42203
0.0,117000,0.021,0.416,0.43369
0.0,118000,0.024,0.403,0.42101
0.0,119000,0.022,0.405,0.42368
0.0,120000,0.022,0.412,0.43077
0.0,121000,0.018,0.399,0.41724
0.0,122000,0.023,0.403,0.4223
0.0,123000,0.022,0.416,0.43477
0.0,124000,0.014,0.416,0.43456
0.0,125000,0.022,0.411,0.42975
0.0,126000,0.023,0.404,0.42299
0.0,127000,0.02,0.409,0.42762
0.0,128000,0.02,0.408,0.42777
