avg_diff,avg_winning,step_idx,loss_train,avg_score
0.02,0.254,1000,0.0,0.27848
0.018,0.223,2000,0.0,0.24461
0.031,0.249,3000,0.0,0.26874
0.027,0.229,4000,0.0,0.24773
0.019,0.226,5000,0.0,0.24391
0.023,0.239,6000,0.0,0.25935
0.025,0.235,7000,0.0,0.25343
0.025,0.223,8000,0.0,0.24149
0.021,0.23,9000,0.0,0.24724
0.023,0.214,10000,0.0,0.23065
0.024,0.228,11000,0.0,0.24566
0.026,0.237,12000,0.0,0.25595
0.026,0.242,13000,0.0,0.26128
0.026,0.24,14000,0.0,0.25925
0.023,0.251,15000,0.0,0.27119
0.022,0.243,16000,0.0,0.26328
0.021,0.257,17000,0.0,0.27806
0.026,0.259,18000,0.0,0.28155
0.024,0.239,19000,0.0,0.26249
0.021,0.244,20000,0.0,0.26747
0.029,0.254,21000,0.0,0.2771
0.023,0.249,22000,0.0,0.27145
0.018,0.251,23000,0.0,0.27299
0.025,0.245,24000,0.0,0.26718
0.018,0.251,25000,0.0,0.27354
0.024,0.238,26000,0.0,0.26172
0.017,0.234,27000,0.0,0.25789
0.02,0.253,28000,0.0,0.27792
0.016,0.25,29000,0.0,0.2751
0.03,0.249,30000,0.0,0.27454
0.023,0.246,31000,0.0,0.27192
0.03,0.238,32000,0.0,0.26308
0.024,0.235,33000,0.0,0.26174
0.022,0.242,34000,0.0,nan
0.02,0.246,35000,0.0,0.27222
0.028,0.237,36000,0.0,0.26192
0.023,0.232,37000,0.0,0.25683
0.025,0.241,38000,0.0,0.26541
0.028,0.243,39000,0.0,0.26781
0.018,0.244,40000,0.0,0.26932
0.03,0.239,41000,0.0,0.26278
0.024,0.241,42000,0.0,0.26548
0.026,0.239,43000,0.0,0.26388
0.027,0.228,44000,0.0,0.25383
0.02,0.237,45000,0.0,0.26375
0.022,0.233,46000,0.0,0.2595
0.021,0.239,47000,0.0,0.26571
0.02,0.238,48000,0.0,0.26394
0.016,0.229,49000,0.0,0.25457
0.023,0.233,50000,0.0,0.25792
0.022,0.238,51000,0.0,0.26156
0.023,0.231,52000,0.0,0.25558
0.025,0.223,53000,0.0,0.24758
0.026,0.249,54000,0.0,0.27659
0.021,0.226,55000,0.0,0.25359
0.02,0.225,56000,0.0,0.2518
0.018,0.221,57000,0.0,0.24787
0.019,0.231,58000,0.0,0.25768
0.02,0.229,59000,0.0,0.25496
0.012,0.235,60000,0.0,0.26389
0.023,0.24,61000,0.0,0.2675
0.014,0.234,62000,0.0,0.26078
0.02,0.258,63000,0.0,0.28297
0.026,0.246,64000,0.0,0.27093
0.029,0.246,65000,0.0,0.26993
0.027,0.265,66000,0.0,0.28956
0.03,0.26,67000,0.0,0.28311
0.023,0.253,68000,0.0,0.27594
0.019,0.255,69000,0.0,0.27867
0.022,0.268,70000,0.0,0.29214
0.017,0.276,71000,0.0,0.3002
0.024,0.262,72000,0.0,0.28682
0.029,0.284,73000,0.0,0.30815
0.02,0.283,74000,0.0,0.30664
0.03,0.283,75000,0.0,0.30701
0.025,0.3,76000,0.0,0.32393
0.027,0.306,77000,0.0,0.32917
0.026,0.293,78000,0.0,0.31593
0.019,0.301,79000,0.0,0.32333
0.013,0.312,80000,0.0,0.33517
0.014,0.333,81000,0.0,0.35558
0.021,0.309,82000,0.0,0.32914
0.028,0.356,83000,0.0,0.37794
0.024,0.337,84000,0.0,0.35858
0.017,0.35,85000,0.0,0.37152
0.02,0.352,86000,0.0,0.37316
0.024,0.347,87000,0.0,0.36751
0.02,0.33,88000,0.0,0.34999
0.025,0.355,89000,0.0,0.37668
0.024,0.34,90000,0.0,0.36095
0.026,0.352,91000,0.0,0.3733
0.024,0.34,92000,0.0,0.36146
0.02,0.326,93000,0.0,0.34599
0.015,0.341,94000,0.0,0.36125
0.024,0.328,95000,0.0,0.34816
0.024,0.336,96000,0.0,0.35647
0.022,0.339,97000,0.0,0.36032
0.022,0.339,98000,0.0,0.35976
0.024,0.326,99000,0.0,0.34745
0.027,0.33,100000,0.0,0.35125
0.027,0.314,101000,0.0,0.33562
0.031,0.337,102000,0.0,0.35914
0.024,0.337,103000,0.0,0.35948
